,Energy
10000,-21.599494572987197
10001,-21.599494575225542
10002,-21.599494577546032
10003,-21.599494575225542
10004,-21.599494572987197
10005,-21.599494575225542
10006,-21.599494577546032
10007,-21.59949457994707
10008,-21.599494582427013
10009,-21.599494584984164
10010,-21.599494582427013
10011,-21.599494584984164
10012,-21.599494582427013
10013,-21.59949457994707
10014,-21.599494582427013
10015,-21.599494584984164
10016,-21.599494582427013
10017,-21.599494584984164
10018,-21.599494582427013
10019,-21.59949457994707
10020,-21.599494577546032
10021,-21.599494575225542
10022,-21.599494572987197
10023,-21.599494570832523
10024,-21.599494572987197
10025,-21.599494575225542
10026,-21.599494577546032
10027,-21.59949457994707
10028,-21.599494577546032
10029,-21.59949457994707
10030,-21.599494577546032
10031,-21.59949457994707
10032,-21.599494577546032
10033,-21.59949457994707
10034,-21.599494582427013
10035,-21.59949457994707
10036,-21.599494577546032
10037,-21.59949457994707
10038,-21.599494577546032
10039,-21.59949457994707
10040,-21.599494582427013
10041,-21.599494584984164
10042,-21.599494587616764
10043,-21.599494584984164
10044,-21.599494582427013
10045,-21.59949457994707
10046,-21.599494582427013
10047,-21.599494584984164
10048,-21.599494587616764
10049,-21.599494584984164
10050,-21.599494582427013
10051,-21.59949457994707
10052,-21.599494582427013
10053,-21.599494584984164
10054,-21.599494587616764
10055,-21.599494584984164
10056,-21.599494582427013
10057,-21.599494584984164
10058,-21.599494587616764
10059,-21.599494584984164
10060,-21.599494582427013
10061,-21.599494584984164
10062,-21.599494582427013
10063,-21.59949457994707
10064,-21.599494577546032
10065,-21.59949457994707
10066,-21.599494577546032
10067,-21.59949457994707
10068,-21.599494577546032
10069,-21.59949457994707
10070,-21.599494577546032
10071,-21.599494575225542
10072,-21.599494572987197
10073,-21.599494570832523
10074,-21.599494568762996
10075,-21.59949456678004
10076,-21.59949456488502
10077,-21.59949456307922
10078,-21.59949456488502
10079,-21.59949456307922
10080,-21.599494561363887
10081,-21.599494559740194
10082,-21.599494561363887
10083,-21.599494559740194
10084,-21.599494561363887
10085,-21.59949456307922
10086,-21.599494561363887
10087,-21.59949456307922
10088,-21.59949456488502
10089,-21.59949456307922
10090,-21.599494561363887
10091,-21.59949456307922
10092,-21.59949456488502
10093,-21.59949456678004
10094,-21.59949456488502
10095,-21.59949456678004
10096,-21.599494568762996
10097,-21.599494570832523
10098,-21.599494568762996
