,total,1st,2nd
-0.5,0.7205,0.3461,1.0949
-1.0,0.73595,0.3449,1.127
0.0,0.71765,0.3534,1.0819
0.5,0.7228,0.3632,1.0824
1.0,0.72185,0.3753,1.0684
1.5,0.7236,0.3816,1.0656
2.0,0.7331,0.3849,1.0813
2.5,0.74185,0.3931,1.0906
3.0,0.73195,0.4027,1.0612
3.5,0.7078,0.4019,1.0137
4.0,0.69905,0.3965,1.0016
4.5,0.69735,0.3965,0.9982
5.0,0.6905,0.3953,0.9857
5.5,0.67685,0.3922,0.9615
6.0,0.663,0.394,0.932
6.5,0.65255,0.3857,0.9194
7.0,0.63635,0.3743,0.8984
7.5,0.61695,0.369,0.8649
8.0,0.59355,0.3569,0.8302
8.5,0.58455,0.3625,0.8066
9.0,0.58125,0.3653,0.7972
9.5,0.57455,0.3642,0.7849
10.0,0.5687,0.358,0.7794
10.5,0.56125,0.3483,0.7742
11.0,0.55735,0.3504,0.7643
11.5,0.56315,0.3629,0.7634
12.0,0.5568,0.3699,0.7437
12.5,0.5379,0.3637,0.7121
13.0,0.51705,0.358,0.6761
-1.5,0.7452,0.3482,1.1422
-2.0,0.74325,0.3429,1.1436
-2.5,0.7217,0.3278,1.1156
-3.0,0.70975,0.3246,1.0949
-3.5,0.7168,0.3208,1.1128
-4.0,0.7018,0.3028,1.1008
-4.5,0.6848,0.294,1.0756
-5.0,0.66315,0.2837,1.0426
-5.5,0.644,0.2732,1.0148
-6.0,0.6363,0.2685,1.0041
13.5,0.4995,0.3535,0.6455
14.0,0.48205,0.3469,0.6172
14.5,0.4654,0.3424,0.5884
15.0,0.44235,0.3311,0.5536
15.5,0.42085,0.3179,0.5238
16.0,0.40095,0.2951,0.5068
16.5,0.3863,0.2748,0.4978
17.0,0.3814,0.2674,0.4954
17.5,0.36255,0.2454,0.4797
18.0,0.3443,0.2282,0.4604
18.5,0.329,0.2193,0.4387
19.0,0.3191,0.2179,0.4203
19.5,0.3058,0.2194,0.3922
20.0,0.29185,0.2075,0.3762
20.5,0.28935,0.2045,0.3742
21.0,0.28585,0.208,0.3637
21.5,0.2671,0.1943,0.3399
22.0,0.24315,0.1717,0.3146
22.5,0.2304,0.1545,0.3063
23.0,0.2209,0.1421,0.2997
23.5,0.21165,0.1306,0.2927
24.0,0.2024,0.1192,0.2856
24.5,0.1938,0.11,0.2776
25.0,0.18345,0.1032,0.2637
25.5,0.1729,0.0965,0.2493
