,total,1st,2nd
26.0,0.1694,0.0882,0.2506
26.5,0.16495,0.0788,0.2511
27.0,0.15875,0.0781,0.2394
27.5,0.1507,0.0788,0.2226
28.0,0.14165,0.0705,0.2128
28.5,0.1348,0.0619,0.2077
29.0,0.1293,0.0584,0.2002
29.5,0.1199,0.0493,0.1905
30.0,0.1133,0.044,0.1826
30.5,0.106,0.0417,0.1703
31.0,0.09715,0.0387,0.1556
31.5,0.0914,0.0369,0.1459
32.0,0.08785,0.0344,0.1413
32.5,0.0821,0.0316,0.1326
33.0,0.0724,0.0294,0.1154
33.5,0.0664,0.0273,0.1055
34.0,0.0603,0.0286,0.092
34.5,0.05495,0.0301,0.0798
35.0,0.05335,0.031,0.0757
35.5,0.05225,0.0318,0.0727
36.0,0.0474,0.0304,0.0644
36.5,0.044,0.0271,0.0609
37.0,0.0418,0.0233,0.0603
37.5,0.0396,0.0232,0.056
38.0,0.03965,0.0249,0.0544
-6.5,0.6218,0.2578,0.9858
-7.0,0.6135,0.2519,0.9751
-7.5,0.60545,0.251,0.9599
-8.0,0.59185,0.24,0.9437
-8.5,0.5866,0.2266,0.9466
-9.0,0.5866,0.2245,0.9487
-9.5,0.5806,0.236,0.9252
-10.0,0.5816,0.2498,0.9134
-10.5,0.58135,0.2507,0.912
-11.0,0.56235,0.2381,0.8866
-11.5,0.54555,0.2252,0.8659
-12.0,0.53765,0.2245,0.8508
-12.5,0.52445,0.2255,0.8234
-13.0,0.50535,0.2219,0.7888
-13.5,0.4886,0.2064,0.7708
-14.0,0.478,0.2028,0.7532
-14.5,0.46395,0.1983,0.7296
-15.0,0.4506,0.1891,0.7121
-15.5,0.43525,0.1834,0.6871
-16.0,0.4169,0.1856,0.6482
-16.5,0.40085,0.1879,0.6138
-17.0,0.3819,0.1766,0.5872
-17.5,0.36255,0.1676,0.5575
-18.0,0.3544,0.161,0.5478
-18.5,0.34305,0.1501,0.536
-19.0,0.3273,0.1489,0.5057
-19.5,0.32195,0.154,0.4899
-20.0,0.309,0.146,0.472
-20.5,0.29145,0.1394,0.4435
-21.0,0.2762,0.1368,0.4156
-21.5,0.2641,0.1332,0.395
-22.0,0.25255,0.125,0.3801
-22.5,0.24205,0.1178,0.3663
-23.0,0.22905,0.1044,0.3537
-23.5,0.2193,0.0958,0.3428
-24.0,0.21175,0.0993,0.3242
-24.5,0.2048,0.0973,0.3123
-25.0,0.20435,0.0966,0.3121
-25.5,0.20505,0.0887,0.3214
-26.0,0.2073,0.081,0.3336
-26.5,0.2033,0.0796,0.327
-27.0,0.1943,0.0754,0.3132
-27.5,0.18285,0.07,0.2957
-28.0,0.1747,0.0701,0.2793
-28.5,0.16575,0.075,0.2565
-29.0,0.15985,0.0764,0.2433
-29.5,0.15605,0.0759,0.2362
-30.0,0.14895,0.073,0.2249
-30.5,0.14715,0.0767,0.2176
-31.0,0.1433,0.078,0.2086
-31.5,0.13725,0.0715,0.203
-32.0,0.1308,0.0667,0.1949
-32.5,0.12345,0.0648,0.1821
-33.0,0.12165,0.0661,0.1772
-33.5,0.11655,0.0634,0.1697
-34.0,0.1068,0.0588,0.1548
-34.5,0.09855,0.0529,0.1442
-35.0,0.09605,0.0566,0.1355
-35.5,0.0934,0.0611,0.1257
-36.0,0.0889,0.0603,0.1175
-36.5,0.0809,0.057,0.1048
-37.0,0.07145,0.0501,0.0928
-37.5,0.06515,0.0504,0.0799
-38.0,0.0612,0.0488,0.0736
-38.5,0.06005,0.0462,0.0739
-39.0,0.0592,0.0463,0.0721
-39.5,0.0572,0.0465,0.0679
-40.0,0.0537,0.0442,0.0632
-40.5,0.049,0.0395,0.0585
-41.0,0.048,0.0405,0.0555
-41.5,0.0483,0.0423,0.0543
-42.0,0.0467,0.0427,0.0507
-42.5,0.0465,0.044,0.049
-43.0,0.04465,0.0459,0.0434
-43.5,0.0416,0.0463,0.0369
-44.0,0.04055,0.0428,0.0383
-44.5,0.03995,0.0397,0.0402
-45.0,0.04145,0.0399,0.043
-45.5,0.0445,0.0457,0.0433
-46.0,0.0444,0.0512,0.0376
-46.5,0.0425,0.0516,0.0334
-47.0,0.0403,0.0494,0.0312
-47.5,0.03825,0.0461,0.0304
-48.0,0.0405,0.0496,0.0314
-48.5,0.0426,0.053,0.0322
-49.0,0.0401,0.0493,0.0309
-49.5,0.037,0.0434,0.0306
-50.0,0.03455,0.0388,0.0303
-50.5,0.03155,0.0375,0.0256
-51.0,0.02855,0.0339,0.0232
-51.5,0.02585,0.0281,0.0236
-52.0,0.027,0.0294,0.0246
-52.5,0.0301,0.0314,0.0288
-53.0,0.0302,0.0316,0.0288
-53.5,0.0282,0.0309,0.0255
-54.0,0.0257,0.0265,0.0249
-54.5,0.026,0.0257,0.0263
-55.0,0.0267,0.0262,0.0272
-55.5,0.0241,0.023,0.0252
-56.0,0.02285,0.0232,0.0225
-56.5,0.0229,0.0257,0.0201
-57.0,0.02245,0.0262,0.0187
-57.5,0.0225,0.0251,0.0199
-58.0,0.02365,0.0251,0.0222
-58.5,0.0236,0.0249,0.0223
-59.0,0.0229,0.0255,0.0203
-59.5,0.02535,0.0302,0.0205
-60.0,0.0281,0.0357,0.0205
-60.5,0.02635,0.035,0.0177
-61.0,0.0224,0.03,0.0148
-61.5,0.0199,0.0267,0.0131
-62.0,0.0179,0.0245,0.0113
-62.5,0.0168,0.0239,0.0097
-63.0,0.01595,0.0245,0.0074
-63.5,0.01525,0.025,0.0055
-64.0,0.01435,0.0241,0.0046
-64.5,0.01375,0.0243,0.0032
-65.0,0.01495,0.0267,0.0032
-65.5,0.01615,0.0284,0.0039
-66.0,0.01755,0.031,0.0041
-66.5,0.0182,0.032,0.0044
-67.0,0.01875,0.0331,0.0044
-67.5,0.0213,0.0385,0.0041
-68.0,0.025,0.044,0.006
-68.5,0.0268,0.0458,0.0078
-69.0,0.02705,0.0449,0.0092
-69.5,0.02695,0.0434,0.0105
-70.0,0.024,0.0391,0.0089
-70.5,0.02205,0.0366,0.0075
-71.0,0.0221,0.0359,0.0083
-71.5,0.02235,0.0353,0.0094
-72.0,0.0204,0.0325,0.0083
-72.5,0.0185,0.0281,0.0089
-73.0,0.01825,0.0256,0.0109
-73.5,0.021,0.0286,0.0134
-74.0,0.0226,0.0311,0.0141
-74.5,0.02235,0.032,0.0127
-75.0,0.02185,0.0316,0.0121
-75.5,0.02005,0.0291,0.011
-76.0,0.01785,0.0271,0.0086
-76.5,0.0183,0.0274,0.0092
-77.0,0.0212,0.0301,0.0123
-77.5,0.02325,0.0336,0.0129
-78.0,0.0215,0.0308,0.0122
-78.5,0.02035,0.0305,0.0102
-79.0,0.022,0.0327,0.0113
-79.5,0.02405,0.0335,0.0146
-80.0,0.0255,0.0368,0.0142
-80.5,0.02895,0.0446,0.0133
-81.0,0.03265,0.0498,0.0155
-81.5,0.0344,0.0529,0.0159
-82.0,0.0359,0.0555,0.0163
-82.5,0.03815,0.06,0.0163
-83.0,0.03925,0.0615,0.017
-83.5,0.04405,0.0684,0.0197
-84.0,0.0473,0.0732,0.0214
-84.5,0.0487,0.0745,0.0229
-85.0,0.0518,0.0785,0.0251
-85.5,0.0541,0.0807,0.0275
-86.0,0.0537,0.0783,0.0291
-86.5,0.05465,0.082,0.0273
-87.0,0.05845,0.0938,0.0231
-87.5,0.06115,0.1012,0.0211
-88.0,0.06345,0.1038,0.0231
-88.5,0.0709,0.1149,0.0269
-89.0,0.0754,0.1186,0.0322
-89.5,0.0756,0.1151,0.0361
-90.0,0.074,0.1103,0.0377
-90.5,0.07435,0.1115,0.0372
-91.0,0.0785,0.1166,0.0404
-91.5,0.08325,0.1231,0.0434
-92.0,0.08995,0.1368,0.0431
-92.5,0.0924,0.1444,0.0404
-93.0,0.0941,0.1503,0.0379
-93.5,0.0986,0.1579,0.0393
-94.0,0.1024,0.1648,0.04
-94.5,0.10825,0.1746,0.0419
-95.0,0.1128,0.1837,0.0419
-95.5,0.12005,0.1984,0.0417
-96.0,0.1237,0.2088,0.0386
-96.5,0.12945,0.2198,0.0391
-97.0,0.1345,0.2272,0.0418
-97.5,0.14215,0.2402,0.0441
-98.0,0.15485,0.2648,0.0449
-98.5,0.16755,0.2923,0.0428
-99.0,0.18445,0.3248,0.0441
-99.5,0.1913,0.336,0.0466
-100.0,0.1923,0.3344,0.0502
-100.5,0.20115,0.3454,0.0569
-101.0,0.2163,0.3692,0.0634
-101.5,0.2361,0.4007,0.0715
-102.0,0.2521,0.4272,0.077
-102.5,0.25955,0.4388,0.0803
-103.0,0.26665,0.4492,0.0841
-103.5,0.2791,0.4686,0.0896
-104.0,0.2922,0.4886,0.0958
-104.5,0.28975,0.4822,0.0973
-105.0,0.2889,0.4808,0.097
-105.5,0.30055,0.5014,0.0997
-106.0,0.31545,0.5207,0.1102
-106.5,0.32895,0.5424,0.1155
-107.0,0.33985,0.5634,0.1163
-107.5,0.3456,0.5758,0.1154
-108.0,0.3567,0.5902,0.1232
-108.5,0.36905,0.6078,0.1303
-109.0,0.38325,0.6304,0.1361
-109.5,0.40075,0.6595,0.142
-110.0,0.41535,0.6818,0.1489
-110.5,0.4268,0.6988,0.1548
-111.0,0.44265,0.7238,0.1615
-111.5,0.45585,0.7466,0.1651
-112.0,0.46525,0.7716,0.1589
-112.5,0.4733,0.7834,0.1632
-113.0,0.48125,0.7861,0.1764
-113.5,0.4863,0.79,0.1826
-114.0,0.49415,0.7973,0.191
-114.5,0.5021,0.8051,0.1991
-115.0,0.5061,0.8094,0.2028
-115.5,0.5149,0.8225,0.2073
-116.0,0.5195,0.8293,0.2097
-116.5,0.52415,0.8364,0.2119
-117.0,0.5361,0.8524,0.2198
-117.5,0.54545,0.8645,0.2264
-118.0,0.5431,0.8632,0.223
-118.5,0.5395,0.8584,0.2206
-119.0,0.5415,0.8566,0.2264
-119.5,0.5408,0.8533,0.2283
-120.0,0.5437,0.8617,0.2257
-120.5,0.5525,0.8704,0.2346
-121.0,0.5634,0.8744,0.2524
-121.5,0.56245,0.8679,0.257
-122.0,0.5452,0.8486,0.2418
-122.5,0.531,0.8244,0.2376
-123.0,0.52065,0.8041,0.2372
-123.5,0.51615,0.797,0.2353
-124.0,0.51685,0.7965,0.2372
-124.5,0.5141,0.7972,0.231
-125.0,0.5126,0.7999,0.2253
-125.5,0.51245,0.7955,0.2294
-126.0,0.5131,0.7968,0.2294
-126.5,0.5022,0.7857,0.2187
-127.0,0.4901,0.768,0.2122
-127.5,0.47525,0.748,0.2025
-128.0,0.46035,0.7258,0.1949
-128.5,0.4515,0.7101,0.1929
-129.0,0.44505,0.7004,0.1897
-129.5,0.43365,0.6858,0.1815
-130.0,0.4193,0.6603,0.1783
-130.5,0.4077,0.6378,0.1776
-131.0,0.3974,0.6264,0.1684
-131.5,0.39175,0.6236,0.1599
-132.0,0.3926,0.6259,0.1593
-132.5,0.38415,0.6112,0.1571
-133.0,0.3673,0.5821,0.1525
-133.5,0.35325,0.5604,0.1461
-134.0,0.3453,0.5496,0.141
-134.5,0.33825,0.541,0.1355
-135.0,0.328,0.5301,0.1259
-135.5,0.31685,0.5214,0.1123
-136.0,0.3024,0.5009,0.1039
-136.5,0.2931,0.4796,0.1066
-137.0,0.28625,0.4663,0.1062
-137.5,0.26875,0.437,0.1005
-138.0,0.24845,0.4013,0.0956
-138.5,0.23655,0.3835,0.0896
-139.0,0.2349,0.3796,0.0902
-139.5,0.23215,0.3737,0.0906
-140.0,0.2294,0.3656,0.0932
-140.5,0.22555,0.3563,0.0948
-141.0,0.22125,0.3489,0.0936
-141.5,0.21625,0.3429,0.0896
-142.0,0.20655,0.3283,0.0848
-142.5,0.19795,0.313,0.0829
-143.0,0.1879,0.2998,0.076
-143.5,0.18125,0.2963,0.0662
-144.0,0.17625,0.2892,0.0633
-144.5,0.16625,0.2727,0.0598
-145.0,0.16105,0.2629,0.0592
-145.5,0.16035,0.2618,0.0589
-146.0,0.15535,0.254,0.0567
-146.5,0.1471,0.2387,0.0555
-147.0,0.13665,0.2234,0.0499
-147.5,0.131,0.2152,0.0468
-148.0,0.1261,0.2083,0.0439
-148.5,0.1176,0.1906,0.0446
-149.0,0.113,0.1767,0.0493
-149.5,0.1077,0.168,0.0474
-150.0,0.09895,0.1603,0.0376
-150.5,0.0895,0.1488,0.0302
-151.0,0.08,0.1343,0.0257
-151.5,0.074,0.1267,0.0213
-152.0,0.07,0.1222,0.0178
-152.5,0.0677,0.1189,0.0165
-153.0,0.0666,0.1173,0.0159
-153.5,0.06365,0.1147,0.0126
-154.0,0.06075,0.1111,0.0104
-154.5,0.05685,0.1051,0.0086
-155.0,0.05295,0.1009,0.005
-155.5,0.04935,0.0959,0.0028
-156.0,0.04315,0.0847,0.0016
-156.5,0.04035,0.0794,0.0013
-157.0,0.0394,0.0779,0.0009
-157.5,0.03825,0.0762,0.0003
-158.0,0.03765,0.0753,
-158.5,0.03555,0.0711,
-159.0,0.0359,0.0718,
-159.5,0.03525,0.0705,
-160.0,0.03135,0.0627,
-160.5,0.02715,0.0543,
-161.0,0.0258,0.0516,
-161.5,0.02355,0.0471,
-162.0,0.02085,0.0417,
-162.5,0.02125,0.0425,
-163.0,0.0212,0.0424,
-163.5,0.0202,0.0404,
-164.0,0.0174,0.0348,
-164.5,0.0139,0.0278,
-165.0,0.01385,0.0277,
-165.5,0.01505,0.0301,
-166.0,0.0143,0.0286,
-166.5,0.01615,0.0323,
-167.0,0.0179,0.0358,
-167.5,0.01865,0.0373,
-168.0,0.019,0.038,
-168.5,0.01785,0.0357,
-169.0,0.0167,0.0334,
-169.5,0.01745,0.0349,
-170.0,0.01955,0.0391,
-170.5,0.0199,0.0398,
-171.0,0.0188,0.0376,
-171.5,0.0171,0.0342,
-172.0,0.01675,0.0335,
-172.5,0.01905,0.0381,
-173.0,0.02075,0.0415,
-173.5,0.01845,0.0369,
-174.0,0.01495,0.0299,
-174.5,0.0146,0.0292,
-175.0,0.0153,0.0306,
-175.5,0.01525,0.0305,
-176.0,0.01335,0.0267,
-176.5,0.01115,0.0223,
-177.0,0.00955,0.0191,
-177.5,0.00825,0.0165,
-178.0,0.0086,0.0172,
-178.5,0.00865,0.0173,
-179.0,0.00875,0.0175,
-179.5,0.0105,0.021,
-180.0,0.0112,0.0224,
-180.5,0.01185,0.0237,
-181.0,0.0118,0.0236,
-181.5,0.0116,0.0232,
-182.0,0.01205,0.0241,
-182.5,0.01205,0.0241,
-183.0,0.0127,0.0254,
-183.5,0.0133,0.0266,
-184.0,0.0135,0.027,
-184.5,0.01295,0.0259,
-185.0,0.01255,0.0251,
-185.5,0.0123,0.0246,
-186.0,0.01145,0.0229,
-186.5,0.0106,0.0212,
-187.0,0.0106,0.0212,
-187.5,0.0103,0.0206,
-188.0,0.00915,0.0183,
-188.5,0.0089,0.0178,
-189.0,0.0083,0.0166,
-189.5,0.00725,0.0145,
-190.0,0.0069,0.0138,
-190.5,0.0061,0.0122,
-191.0,0.00585,0.0117,
-191.5,0.00665,0.0133,
-192.0,0.006,0.012,
-192.5,0.006,0.012,
-193.0,0.00755,0.0151,
-193.5,0.0067,0.0134,
-194.0,0.0048,0.0096,
-194.5,0.0036,0.0072,
-195.0,0.00295,0.0059,
-195.5,0.00355,0.0071,
-196.0,0.0047,0.0094,
-196.5,0.0056,0.0112,
-197.0,0.0068,0.0136,
-197.5,0.00725,0.0145,
-198.0,0.0061,0.0122,
-198.5,0.00535,0.0107,
-199.0,0.0052,0.0104,
-199.5,0.00445,0.0089,
-200.0,0.00395,0.0079,
-200.5,0.004,0.008,
-201.0,0.00435,0.0087,
-201.5,0.00455,0.0091,
-202.0,0.00415,0.0083,
-202.5,0.00395,0.0079,
-203.0,0.0029,0.0058,
-203.5,0.00185,0.0037,
-204.0,0.0019,0.0038,
-204.5,0.00205,0.0041,
-205.0,0.00175,0.0035,
-205.5,0.00135,0.0027,
-206.0,0.00075,0.0015,
-206.5,0.00075,0.0015,
-207.0,0.00085,0.0017,
-207.5,0.00135,0.0027,
-208.0,0.0015,0.003,
-208.5,0.00105,0.0021,
-209.0,0.00085,0.0017,
-209.5,0.0008,0.0016,
-210.0,0.001,0.002,
-210.5,0.00155,0.0031,
-211.0,0.0015,0.003,
-211.5,0.00105,0.0021,
-212.0,0.0008,0.0016,
-212.5,0.0005,0.001,
-213.0,0.0002,0.0004,
-213.5,0.00015,0.0003,
-214.0,0.0001,0.0002,
-214.5,0.00025,0.0005,
-215.0,0.00035,0.0007,
-215.5,0.00015,0.0003,
38.5,0.0386,0.0266,0.0506
39.0,0.03575,0.0275,0.044
39.5,0.0315,0.0263,0.0367
40.0,0.02945,0.0232,0.0357
40.5,0.0296,0.0218,0.0374
41.0,0.0283,0.0213,0.0353
41.5,0.02995,0.0217,0.0382
42.0,0.03115,0.024,0.0383
42.5,0.02985,0.0236,0.0361
43.0,0.02735,0.0207,0.034
43.5,0.02635,0.0209,0.0318
44.0,0.02535,0.0218,0.0289
44.5,0.0233,0.0199,0.0267
45.0,0.02145,0.0201,0.0228
45.5,0.02095,0.0219,0.02
46.0,0.01975,0.0206,0.0189
46.5,0.0172,0.0191,0.0153
47.0,0.01535,0.0176,0.0131
47.5,0.0152,0.0165,0.0139
48.0,0.0159,0.0175,0.0143
48.5,0.01595,0.0177,0.0142
49.0,0.01585,0.0183,0.0134
49.5,0.0141,0.0153,0.0129
50.0,0.01255,0.0121,0.013
50.5,0.01225,0.0124,0.0121
51.0,0.01105,0.0127,0.0094
51.5,0.0091,0.0123,0.0059
52.0,0.008,0.0116,0.0044
52.5,0.0076,0.0117,0.0035
53.0,0.008,0.0122,0.0038
53.5,0.00665,0.0099,0.0034
54.0,0.00565,0.0091,0.0022
54.5,0.00575,0.0099,0.0016
55.0,0.0056,0.0103,0.0009
55.5,0.0053,0.0098,0.0008
56.0,0.0047,0.009,0.0004
56.5,0.0034,0.0068,
57.0,0.00155,0.0031,
57.5,0.0006,0.0012,
58.0,0.0003,0.0006,
58.5,0.0005,0.001,
59.0,0.0006,0.0012,
59.5,0.00035,0.0007,
60.0,0.00015,0.0003,
60.5,5e-05,0.0001,
