,Angle
10000,40.5
10001,41.0
10002,41.5
10003,41.0
10004,40.5
10005,41.0
10006,41.5
10007,42.0
10008,41.5
10009,41.0
10010,41.5
10011,42.0
10012,41.5
10013,41.0
10014,40.5
10015,41.0
10016,41.5
10017,41.0
10018,41.5
10019,42.0
10020,42.5
10021,42.0
10022,42.5
10023,42.0
10024,42.5
10025,43.0
10026,43.5
10027,43.0
10028,42.5
10029,43.0
10030,42.5
10031,42.0
10032,42.5
10033,43.0
10034,42.5
10035,43.0
10036,42.5
10037,43.0
10038,43.5
10039,43.0
10040,42.5
10041,42.0
10042,42.5
10043,43.0
10044,42.5
10045,42.0
10046,41.5
10047,42.0
10048,42.5
10049,43.0
10050,43.5
10051,43.0
10052,42.5
10053,43.0
10054,43.5
10055,43.0
10056,43.5
10057,43.0
10058,42.5
10059,42.0
10060,42.5
10061,42.0
10062,41.5
10063,42.0
10064,41.5
10065,41.0
10066,41.5
10067,41.0
10068,41.5
10069,41.0
10070,41.5
10071,42.0
10072,41.5
10073,42.0
10074,42.5
10075,43.0
10076,42.5
10077,43.0
10078,43.5
10079,43.0
10080,43.5
10081,44.0
10082,44.5
10083,45.0
10084,44.5
10085,45.0
10086,45.5
10087,45.0
10088,45.5
10089,46.0
10090,45.5
10091,45.0
10092,44.5
10093,44.0
10094,44.5
10095,45.0
10096,45.5
10097,45.0
10098,44.5
10099,45.0
10100,45.5
10101,46.0
10102,45.5
10103,46.0
10104,45.5
10105,46.0
10106,45.5
10107,45.0
10108,45.5
10109,46.0
10110,46.5
10111,46.0
10112,45.5
10113,45.0
10114,44.5
10115,45.0
10116,45.5
10117,45.0
10118,45.5
10119,45.0
10120,44.5
10121,44.0
10122,44.5
10123,45.0
10124,45.5
10125,46.0
10126,46.5
10127,46.0
10128,45.5
10129,45.0
10130,44.5
10131,44.0
10132,43.5
10133,43.0
10134,42.5
10135,42.0
10136,41.5
10137,42.0
10138,42.5
10139,42.0
10140,42.5
10141,42.0
10142,41.5
10143,42.0
10144,41.5
10145,41.0
10146,41.5
10147,41.0
10148,40.5
10149,40.0
10150,39.5
10151,40.0
10152,39.5
10153,39.0
10154,38.5
10155,38.0
10156,38.5
10157,39.0
10158,39.5
10159,39.0
10160,38.5
10161,39.0
10162,39.5
10163,39.0
10164,39.5
10165,40.0
10166,39.5
10167,40.0
10168,40.5
10169,41.0
10170,41.5
10171,42.0
10172,42.5
10173,42.0
10174,41.5
10175,42.0
10176,41.5
10177,42.0
10178,42.5
10179,43.0
10180,42.5
10181,42.0
10182,41.5
10183,41.0
10184,41.5
10185,41.0
10186,40.5
10187,40.0
10188,39.5
10189,39.0
10190,38.5
10191,38.0
10192,38.5
10193,39.0
10194,39.5
10195,39.0
10196,38.5
10197,38.0
10198,38.5
10199,39.0
10200,38.5
10201,38.0
10202,38.5
10203,38.0
10204,37.5
10205,38.0
10206,38.5
10207,39.0
10208,38.5
10209,38.0
10210,38.5
10211,38.0
10212,37.5
10213,37.0
10214,37.5
10215,37.0
10216,36.5
10217,36.0
10218,36.5
10219,37.0
10220,36.5
10221,36.0
10222,35.5
10223,36.0
10224,36.5
10225,36.0
10226,36.5
10227,36.0
10228,35.5
10229,35.0
10230,35.5
10231,36.0
10232,36.5
10233,37.0
10234,36.5
10235,37.0
10236,37.5
10237,37.0
10238,37.5
10239,37.0
10240,36.5
10241,37.0
10242,36.5
10243,37.0
10244,36.5
10245,37.0
10246,37.5
10247,38.0
10248,38.5
10249,39.0
10250,38.5
10251,39.0
10252,39.5
10253,40.0
