,Angle
10000,1.0
10001,0.5
10002,1.0
10003,1.5
10004,2.0
10005,1.5
10006,1.0
10007,1.5
10008,2.0
10009,2.5
10010,2.0
10011,2.5
10012,2.5
10013,3.0
10014,3.0
10015,2.5
10016,3.0
10017,3.0
10018,3.0
10019,3.5
10020,4.0
10021,3.5
10022,3.0
10023,3.0
10024,3.5
10025,4.0
10026,3.5
10027,3.0
10028,2.5
10029,2.0
10030,1.5
10031,1.0
10032,1.5
10033,2.0
10034,2.5
10035,2.0
10036,1.5
10037,1.0
10038,0.5
10039,1.0
10040,0.5
10041,0.0
10042,119.5
10043,0.0
10044,119.5
10045,0.0
10046,0.5
10047,0.0
10048,0.5
10049,0.0
10050,119.5
10051,0.0
10052,0.5
10053,0.0
10054,0.5
10055,1.0
10056,0.5
10057,1.0
10058,0.5
10059,0.0
10060,119.5
10061,119.0
10062,118.5
10063,118.0
10064,117.5
10065,118.0
10066,117.5
10067,117.0
10068,117.0
10069,117.5
10070,118.0
10071,118.5
10072,119.0
10073,118.5
10074,119.0
10075,118.5
10076,118.0
10077,118.5
10078,118.0
10079,117.5
10080,117.0
10081,116.5
10082,116.0
10083,116.5
10084,117.0
10085,116.5
10086,117.0
10087,117.5
10088,118.0
10089,117.5
10090,117.0
10091,117.0
10092,116.5
10093,117.0
10094,117.5
10095,117.0
10096,116.5
10097,116.5
10098,117.0
10099,117.5
10100,117.0
10101,116.5
10102,117.0
10103,117.5
10104,118.0
10105,118.5
10106,118.0
10107,118.0
10108,117.5
10109,118.0
10110,118.5
10111,119.0
10112,119.5
10113,119.0
10114,119.5
10115,0.0
10116,0.5
10117,1.0
10118,1.5
10119,1.0
10120,0.5
10121,0.0
10122,0.5
10123,0.0
10124,0.0
10125,0.5
10126,0.0
10127,0.5
10128,0.0
10129,0.5
10130,1.0
10131,1.5
10132,2.0
10133,1.5
10134,1.0
10135,0.5
10136,1.0
10137,1.5
10138,1.0
10139,0.5
10140,0.0
10141,119.5
10142,119.0
10143,119.5
10144,119.0
10145,118.5
