,Energy
10000,-64.7991344794997
10001,-64.79913463299954
10002,-64.79913477927182
10003,-64.79913477927182
10004,-64.79913491821634
10005,-64.79913477927182
10006,-64.79913463299954
10007,-64.79913463299954
10008,-64.79913477927182
10009,-64.79913491821634
10010,-64.79913504973784
10011,-64.79913491821634
10012,-64.79913477927182
10013,-64.79913491821634
10014,-64.79913477927182
10015,-64.79913491821634
10016,-64.79913477927182
10017,-64.79913491821634
10018,-64.79913491821634
10019,-64.79913477927182
10020,-64.79913463299954
10021,-64.79913477927182
10022,-64.79913463299954
10023,-64.79913477927182
10024,-64.79913463299954
10025,-64.79913477927182
10026,-64.79913491821634
10027,-64.79913491821634
10028,-64.79913477927182
10029,-64.79913491821634
10030,-64.79913504973784
10031,-64.79913517374618
10032,-64.79913504973784
10033,-64.79913504973784
10034,-64.79913517374618
10035,-64.79913529015641
10036,-64.79913517374618
10037,-64.79913504973784
10038,-64.79913517374618
10039,-64.79913504973784
10040,-64.79913491821634
10041,-64.79913504973784
10042,-64.79913504973784
10043,-64.79913517374618
10044,-64.79913529015641
10045,-64.79913539888871
10046,-64.79913529015641
10047,-64.79913517374618
10048,-64.79913529015641
10049,-64.79913517374618
10050,-64.79913517374618
10051,-64.79913504973784
10052,-64.79913517374618
10053,-64.79913529015641
10054,-64.79913517374618
10055,-64.79913529015641
10056,-64.79913539888871
10057,-64.79913529015641
10058,-64.79913517374618
10059,-64.79913529015641
10060,-64.79913539888871
10061,-64.79913529015641
10062,-64.79913539888871
10063,-64.79913539888871
10064,-64.79913549986856
10065,-64.79913539888871
10066,-64.79913549986856
10067,-64.79913559302679
10068,-64.79913559302679
10069,-64.79913549986856
10070,-64.79913539888871
10071,-64.79913529015641
10072,-64.79913539888871
10073,-64.79913549986856
10074,-64.79913539888871
10075,-64.79913549986856
10076,-64.79913559302679
10077,-64.7991356782995
10078,-64.79913559302679
10079,-64.79913549986856
10080,-64.79913559302679
10081,-64.79913549986856
10082,-64.79913559302679
10083,-64.79913549986856
10084,-64.79913549986856
10085,-64.79913549986856
10086,-64.79913559302679
10087,-64.7991356782995
10088,-64.7991356782995
10089,-64.7991357556283
10090,-64.79913582496016
10091,-64.7991357556283
10092,-64.7991356782995
10093,-64.79913559302679
10094,-64.79913549986856
10095,-64.79913559302679
10096,-64.79913549986856
10097,-64.79913539888871
10098,-64.79913549986856
10099,-64.79913539888871
10100,-64.79913529015641
10101,-64.79913517374618
10102,-64.79913529015641
10103,-64.79913529015641
10104,-64.79913539888871
10105,-64.79913529015641
10106,-64.79913539888871
10107,-64.79913549986856
10108,-64.79913539888871
10109,-64.79913529015641
10110,-64.79913539888871
10111,-64.79913529015641
10112,-64.79913539888871
10113,-64.79913529015641
10114,-64.79913539888871
10115,-64.79913549986856
10116,-64.79913559302679
10117,-64.79913549986856
10118,-64.79913539888871
10119,-64.79913549986856
10120,-64.79913549986856
10121,-64.79913539888871
10122,-64.79913529015641
10123,-64.79913517374618
10124,-64.79913529015641
10125,-64.79913517374618
10126,-64.79913529015641
10127,-64.79913517374618
10128,-64.79913529015641
10129,-64.79913517374618
10130,-64.79913529015641
10131,-64.79913539888871
10132,-64.79913529015641
10133,-64.79913539888871
10134,-64.79913529015641
10135,-64.79913539888871
10136,-64.79913529015641
10137,-64.79913539888871
10138,-64.79913529015641
10139,-64.79913517374618
10140,-64.79913529015641
10141,-64.79913529015641
10142,-64.79913539888871
10143,-64.79913529015641
10144,-64.79913539888871
10145,-64.79913549986856
10146,-64.79913559302679
10147,-64.79913549986856
10148,-64.79913539888871
10149,-64.79913549986856
10150,-64.79913559302679
10151,-64.79913549986856
10152,-64.79913539888871
10153,-64.79913549986856
10154,-64.79913559302679
10155,-64.79913549986856
10156,-64.79913539888871
10157,-64.79913549986856
10158,-64.79913539888871
10159,-64.79913549986856
10160,-64.79913559302679
10161,-64.79913549986856
10162,-64.79913549986856
10163,-64.79913559302679
10164,-64.7991356782995
10165,-64.7991357556283
10166,-64.79913582496016
10167,-64.79913588624757
10168,-64.79913582496016
10169,-64.79913588624757
10170,-64.79913593944855
10171,-64.79913598452659
10172,-64.79913593944855
10173,-64.79913598452659
10174,-64.79913602145083
10175,-64.79913605019597
10176,-64.79913607074229
10177,-64.79913608307572
10178,-64.7991360871878
10179,-64.79913608307572
10180,-64.79913607074229
10181,-64.79913608307572
10182,-64.7991360871878
10183,-64.79913608307572
10184,-64.79913607074229
10185,-64.79913608307572
10186,-64.79913607074229
10187,-64.79913605019597
10188,-64.79913602145083
10189,-64.79913598452659
10190,-64.79913602145083
10191,-64.79913598452659
10192,-64.79913593944853
10193,-64.79913588624757
10194,-64.79913588624757
10195,-64.79913582496016
10196,-64.7991357556283
10197,-64.7991357556283
10198,-64.7991356782995
10199,-64.7991357556283
10200,-64.79913582496016
10201,-64.79913588624757
10202,-64.79913582496016
10203,-64.7991357556283
10204,-64.79913582496016
10205,-64.7991357556283
10206,-64.79913582496016
10207,-64.7991357556283
10208,-64.7991356782995
10209,-64.7991357556283
10210,-64.79913582496016
10211,-64.79913588624757
10212,-64.79913582496016
10213,-64.79913588624757
10214,-64.79913593944853
10215,-64.79913598452659
10216,-64.79913593944853
10217,-64.79913588624757
10218,-64.79913593944853
10219,-64.79913598452659
10220,-64.79913602145083
10221,-64.79913598452659
10222,-64.79913602145083
10223,-64.79913605019597
10224,-64.79913602145083
10225,-64.79913598452659
10226,-64.79913593944853
10227,-64.79913588624757
10228,-64.79913582496016
10229,-64.7991357556283
10230,-64.79913582496016
10231,-64.79913588624757
10232,-64.79913593944853
10233,-64.79913593944853
10234,-64.79913588624757
10235,-64.79913593944853
10236,-64.79913588624757
10237,-64.79913582496016
10238,-64.7991357556283
10239,-64.7991357556283
10240,-64.79913582496016
10241,-64.79913588624757
10242,-64.79913593944853
10243,-64.79913598452659
10244,-64.79913602145083
10245,-64.79913598452659
10246,-64.79913593944853
10247,-64.79913598452659
10248,-64.79913593944853
10249,-64.79913588624757
10250,-64.79913593944853
10251,-64.79913588624757
10252,-64.79913593944853
10253,-64.79913598452659
10254,-64.79913593944853
10255,-64.79913588624757
10256,-64.79913593944853
10257,-64.79913598452659
10258,-64.79913593944853
10259,-64.79913598452659
10260,-64.79913593944853
10261,-64.79913588624757
10262,-64.79913593944853
10263,-64.79913598452659
10264,-64.79913593944853
10265,-64.79913593944853
10266,-64.79913593944853
10267,-64.79913598452659
10268,-64.79913593944853
10269,-64.79913598452659
10270,-64.79913602145083
10271,-64.79913605019597
10272,-64.79913607074229
10273,-64.79913605019597
10274,-64.79913607074229
10275,-64.79913605019597
10276,-64.79913607074229
10277,-64.79913605019597
10278,-64.79913602145083
10279,-64.79913598452659
10280,-64.79913602145083
10281,-64.79913605019597
10282,-64.79913607074229
10283,-64.79913608307572
10284,-64.7991360871878
10285,-64.79913608307572
10286,-64.79913607074229
10287,-64.79913608307572
10288,-64.79913607074229
10289,-64.79913608307572
10290,-64.79913607074229
10291,-64.79913608307572
10292,-64.79913607074229
10293,-64.79913605019597
10294,-64.79913602145083
10295,-64.79913605019597
10296,-64.79913607074229
10297,-64.79913605019597
10298,-64.79913607074229
10299,-64.79913605019597
10300,-64.79913607074229
10301,-64.79913608307572
10302,-64.79913607074229
10303,-64.79913605019597
10304,-64.79913607074229
10305,-64.79913608307572
10306,-64.79913607074229
10307,-64.79913608307572
10308,-64.79913607074229
10309,-64.79913605019597
10310,-64.79913602145083
10311,-64.79913598452659
10312,-64.79913602145083
10313,-64.79913605019597
10314,-64.79913607074229
10315,-64.79913605019597
10316,-64.79913607074229
10317,-64.79913608307572
10318,-64.7991360871878
10319,-64.79913608307572
10320,-64.7991360871878
10321,-64.79913608307572
10322,-64.7991360871878
10323,-64.79913608307572
