,occurences
-0.02618,0.83125
-0.05234,0.8376
-0.07846,0.84045
0.0,0.81935
0.02618,0.8269
0.05234,0.83035
0.07846,0.8318
0.10453,0.83345
0.13053,0.8313
0.15643,0.8213
0.18224,0.8091
0.20791,0.8124
0.23345,0.81805
0.25882,0.8233
0.28402,0.8361
0.30902,0.8423
0.33381,0.84535
0.35837,0.8551
0.38268,0.85765
0.40674,0.8633
0.43051,0.8645
0.45399,0.8674
0.47716,0.87075
0.5,0.8577
0.5225,0.8488
0.54464,0.8385
0.56641,0.8309
0.58779,0.8208
0.60876,0.80655
0.62932,0.80335
0.64945,0.8097
0.66913,0.8209
0.68835,0.82725
0.70711,0.8232
0.72537,0.8124
0.74314,0.80865
0.76041,0.821
-0.10453,0.847
-0.13053,0.84285
-0.15643,0.8304
-0.18224,0.8302
-0.20791,0.8253
-0.23345,0.81065
-0.25882,0.80385
-0.28402,0.803
-0.30902,0.81815
-0.33381,0.8325
-0.35837,0.8454
-0.38268,0.8452
-0.40674,0.8402
-0.43051,0.8502
-0.45399,0.85475
-0.47716,0.85645
-0.5,0.8619
-0.5225,0.8695
-0.54464,0.86625
-0.56641,0.86695
-0.58779,0.87405
-0.60876,0.8656
-0.62932,0.84995
-0.64945,0.8302
-0.66913,0.8197
-0.68835,0.8148
-0.70711,0.80715
-0.72537,0.8062
-0.74314,0.80985
-0.76041,0.8138
-0.77715,0.79095
-0.79335,0.7676
-0.80902,0.7727
-0.82413,0.76325
-0.83867,0.75845
-0.85264,0.77585
-0.86603,0.78305
-0.87882,0.778
-0.89101,0.77335
-0.90259,0.7803
-0.91355,0.7959
-0.92388,0.8091
-0.93358,0.8156
-0.94264,0.81525
-0.95106,0.81705
-0.95882,0.82315
-0.96593,0.8307
-0.97237,0.83145
-0.97815,0.83105
-0.98325,0.82895
-0.98769,0.82705
-0.99144,0.8312
-0.99452,0.82365
-0.99692,0.8083
-0.99863,0.8151
-0.99966,0.8278
-1.0,0.4145
0.77715,0.8228
0.79335,0.81
0.80902,0.80235
0.82413,0.8046
0.83867,0.8166
0.85264,0.8267
0.86603,0.8215
0.87882,0.8198
0.89101,0.8095
0.90259,0.8135
0.91355,0.83145
0.92388,0.84605
0.93358,0.87295
0.94264,0.8898
0.95106,0.88985
0.95882,0.8855
0.96593,0.88725
0.97237,0.881
0.97815,0.88395
0.98325,0.8927
0.98769,0.9013
0.99144,0.90765
0.99452,0.9013
0.99692,0.9019
0.99863,0.92105
0.99966,0.92225
1.0,0.45665
