,total,1st,2nd
65.0,0.0056,0.0073,0.0039
65.5,0.0075,0.0091,0.0059
66.0,0.0088,0.0109,0.0067
66.5,0.0096,0.0115,0.0077
67.0,0.01075,0.0128,0.0087
67.5,0.01115,0.0117,0.0106
68.0,0.0105,0.0086,0.0124
68.5,0.0101,0.0074,0.0128
69.0,0.00955,0.0065,0.0126
69.5,0.00975,0.0067,0.0128
70.0,0.0114,0.0076,0.0152
70.5,0.0128,0.0077,0.0179
71.0,0.01195,0.0072,0.0167
71.5,0.00915,0.0062,0.0121
72.0,0.00835,0.0064,0.0103
72.5,0.0082,0.0068,0.0096
73.0,0.0076,0.006,0.0092
73.5,0.0079,0.0042,0.0116
74.0,0.0106,0.0038,0.0174
74.5,0.01265,0.0047,0.0206
75.0,0.01425,0.0052,0.0233
75.5,0.01635,0.0058,0.0269
76.0,0.0176,0.0061,0.0291
76.5,0.0173,0.0064,0.0282
-50.5,0.00395,0.0079,
-51.0,0.00325,0.0065,
-51.5,0.00305,0.0061,
-52.0,0.003,0.006,
-52.5,0.0032,0.0064,
-53.0,0.0032,0.0064,
-53.5,0.0034,0.0068,
-54.0,0.00335,0.0067,
-54.5,0.003,0.006,
-55.0,0.003,0.006,
-55.5,0.00255,0.0051,
-56.0,0.00265,0.0053,
-56.5,0.0032,0.0064,
-57.0,0.00315,0.0063,
-57.5,0.00325,0.0065,
-58.0,0.00285,0.0057,
-58.5,0.00185,0.0037,
-59.0,0.0015,0.003,
-59.5,0.0015,0.003,
-60.0,0.00185,0.0037,
-60.5,0.0022,0.0044,
-61.0,0.0021,0.0042,
-61.5,0.0022,0.0044,
-62.0,0.0021,0.0042,
-62.5,0.0015,0.003,
-63.0,0.00145,0.0029,
-63.5,0.00165,0.0033,
-64.0,0.00135,0.0027,
-64.5,0.0013,0.0026,
-65.0,0.00155,0.0031,
-65.5,0.0022,0.0044,
-66.0,0.00265,0.0053,
-66.5,0.00225,0.0045,
-67.0,0.0017,0.0034,
-67.5,0.002,0.004,
-68.0,0.00285,0.0057,
-68.5,0.0029,0.0058,
-69.0,0.00295,0.0059,
-69.5,0.00425,0.0085,
-70.0,0.0056,0.0112,
-70.5,0.00725,0.0145,
-71.0,0.0083,0.0166,
-71.5,0.0087,0.0174,
-72.0,0.00915,0.0183,
-72.5,0.0105,0.021,
-73.0,0.01035,0.0207,
-73.5,0.0101,0.0202,
-74.0,0.0092,0.0184,
-74.5,0.0084,0.0168,
-75.0,0.01065,0.0213,
-75.5,0.01275,0.0255,
-76.0,0.01485,0.0297,
-76.5,0.01725,0.0345,
-77.0,0.01745,0.0349,
-77.5,0.0154,0.0308,
-78.0,0.01445,0.0289,
-78.5,0.0161,0.0322,
-79.0,0.0181,0.0362,
-79.5,0.01965,0.0393,
-80.0,0.01985,0.0397,
-80.5,0.01915,0.0383,
-81.0,0.01945,0.0389,
-81.5,0.01865,0.0373,
-82.0,0.0199,0.0398,
-82.5,0.0202,0.0404,
-83.0,0.0215,0.043,
-83.5,0.025,0.05,
-84.0,0.0281,0.0562,
-84.5,0.0286,0.0572,
-85.0,0.0283,0.0566,
-85.5,0.02715,0.0543,
-86.0,0.028,0.056,
-86.5,0.03055,0.0611,
-87.0,0.03345,0.0669,
-87.5,0.0355,0.071,
-88.0,0.03835,0.0767,
-88.5,0.0401,0.0802,
-89.0,0.0403,0.0806,
-89.5,0.04225,0.0845,
-90.0,0.0463,0.0926,
-90.5,0.0501,0.1002,
-91.0,0.05095,0.1019,
-91.5,0.0503,0.1006,
-92.0,0.05185,0.1037,
-92.5,0.05395,0.1079,
-93.0,0.05595,0.1119,
-93.5,0.05985,0.1197,
-94.0,0.0628,0.1256,
-94.5,0.06355,0.1271,
-95.0,0.0645,0.129,
-95.5,0.0688,0.1376,
-96.0,0.0742,0.1484,
-96.5,0.08465,0.1693,
-97.0,0.09145,0.1829,
-97.5,0.0945,0.189,
-98.0,0.09815,0.1963,
-98.5,0.1053,0.2106,
-99.0,0.11255,0.2251,
-99.5,0.11715,0.2343,
-100.0,0.12225,0.2445,
-100.5,0.12955,0.2591,
-101.0,0.14215,0.2843,
-101.5,0.15395,0.3079,
-102.0,0.1652,0.3304,
-102.5,0.1747,0.3494,
-103.0,0.181,0.362,
-103.5,0.18625,0.3725,
-104.0,0.19035,0.3807,
-104.5,0.1878,0.3756,
-105.0,0.1863,0.3726,
-105.5,0.19185,0.3837,
-106.0,0.2022,0.4044,
-106.5,0.22005,0.4401,
-107.0,0.23405,0.4681,
-107.5,0.2326,0.4652,
-108.0,0.2377,0.4754,
-108.5,0.25175,0.5035,
-109.0,0.2629,0.5258,
-109.5,0.27175,0.5435,
-110.0,0.27735,0.5547,
-110.5,0.28355,0.5671,
-111.0,0.29195,0.5839,
-111.5,0.2931,0.5862,
-112.0,0.2867,0.5734,
-112.5,0.28935,0.5787,
-113.0,0.3002,0.6004,
-113.5,0.30785,0.6157,
-114.0,0.31795,0.6359,
-114.5,0.33265,0.6653,
-115.0,0.34715,0.6943,
-115.5,0.3546,0.7092,
-116.0,0.3599,0.7198,
-116.5,0.3704,0.7408,
-117.0,0.376,0.752,
-117.5,0.3811,0.7622,
-118.0,0.387,0.774,
-118.5,0.3925,0.785,
-119.0,0.38805,0.7761,
-119.5,0.37315,0.7463,
-120.0,0.3619,0.7238,
-120.5,0.3618,0.7236,
-121.0,0.3692,0.7384,
-121.5,0.36705,0.7341,
-122.0,0.3581,0.7162,
-122.5,0.3448,0.6896,
-123.0,0.3355,0.671,
-123.5,0.3357,0.6714,
-124.0,0.331,0.662,
-124.5,0.3217,0.6434,
-125.0,0.3104,0.6208,
-125.5,0.3027,0.6054,
-126.0,0.3066,0.6132,
-126.5,0.3135,0.627,
-127.0,0.31935,0.6387,
-127.5,0.31555,0.6311,
-128.0,0.3018,0.6036,
-128.5,0.28625,0.5725,
-129.0,0.27615,0.5523,
-129.5,0.2642,0.5284,
-130.0,0.25705,0.5141,
-130.5,0.2515,0.503,
-131.0,0.2425,0.485,
-131.5,0.2325,0.465,
-132.0,0.22905,0.4581,
-132.5,0.2241,0.4482,
-133.0,0.20945,0.4189,
-133.5,0.2015,0.403,
-134.0,0.20295,0.4059,
-134.5,0.1954,0.3908,
-135.0,0.18835,0.3767,
-135.5,0.1898,0.3796,
-136.0,0.18605,0.3721,
-136.5,0.17925,0.3585,
-137.0,0.1761,0.3522,
-137.5,0.1718,0.3436,
-138.0,0.1636,0.3272,
-138.5,0.1545,0.309,
-139.0,0.1447,0.2894,
-139.5,0.1409,0.2818,
-140.0,0.13255,0.2651,
-140.5,0.1262,0.2524,
-141.0,0.1242,0.2484,
-141.5,0.11655,0.2331,
-142.0,0.10715,0.2143,
-142.5,0.1031,0.2062,
-143.0,0.1013,0.2026,
-143.5,0.09745,0.1949,
-144.0,0.09115,0.1823,
-144.5,0.08435,0.1687,
-145.0,0.0785,0.157,
-145.5,0.0747,0.1494,
-146.0,0.06945,0.1389,
-146.5,0.06575,0.1315,
-147.0,0.06095,0.1219,
-147.5,0.05635,0.1127,
-148.0,0.05575,0.1115,
-148.5,0.05295,0.1059,
-149.0,0.0496,0.0992,
-149.5,0.0507,0.1014,
-150.0,0.0491,0.0982,
-150.5,0.0453,0.0906,
-151.0,0.04055,0.0811,
-151.5,0.035,0.07,
-152.0,0.0329,0.0658,
-152.5,0.03225,0.0645,
-153.0,0.03035,0.0607,
-153.5,0.0255,0.051,
-154.0,0.023,0.046,
-154.5,0.02255,0.0451,
-155.0,0.0207,0.0414,
-155.5,0.0187,0.0374,
-156.0,0.01965,0.0393,
-156.5,0.0196,0.0392,
-157.0,0.0179,0.0358,
-157.5,0.018,0.036,
-158.0,0.01965,0.0393,
-158.5,0.02125,0.0425,
-159.0,0.02005,0.0401,
-159.5,0.0191,0.0382,
-160.0,0.0205,0.041,
-160.5,0.02045,0.0409,
-161.0,0.0201,0.0402,
-161.5,0.0192,0.0384,
-162.0,0.0177,0.0354,
-162.5,0.0163,0.0326,
-163.0,0.0158,0.0316,
-163.5,0.0144,0.0288,
-164.0,0.0123,0.0246,
-164.5,0.011,0.022,
-165.0,0.0105,0.021,
-165.5,0.01,0.02,
-166.0,0.0105,0.021,
-166.5,0.0114,0.0228,
-167.0,0.01045,0.0209,
-167.5,0.00965,0.0193,
-168.0,0.00865,0.0173,
-168.5,0.00725,0.0145,
-169.0,0.0065,0.013,
-169.5,0.0069,0.0138,
-170.0,0.0073,0.0146,
-170.5,0.00765,0.0153,
-171.0,0.0077,0.0154,
-171.5,0.0067,0.0134,
-172.0,0.0062,0.0124,
-172.5,0.0048,0.0096,
-173.0,0.00385,0.0077,
-173.5,0.0039,0.0078,
-174.0,0.0033,0.0066,
-174.5,0.00295,0.0059,
-175.0,0.0027,0.0054,
-175.5,0.0028,0.0056,
-176.0,0.00295,0.0059,
-176.5,0.0028,0.0056,
-177.0,0.00255,0.0051,
-177.5,0.002,0.004,
-178.0,0.0015,0.003,
-178.5,0.00165,0.0033,
-179.0,0.00225,0.0045,
-179.5,0.00245,0.0049,
-180.0,0.00215,0.0043,
-180.5,0.0019,0.0038,
-181.0,0.00175,0.0035,
-181.5,0.00145,0.0029,
-182.0,0.00095,0.0019,
-182.5,0.00055,0.0011,
-183.0,0.0007,0.0014,
-183.5,0.00085,0.0017,
-184.0,0.00065,0.0013,
-184.5,0.00045,0.0009,
-185.0,0.0003,0.0006,
-185.5,0.0002,0.0004,
-186.0,0.0001,0.0002,
-186.5,0.0003,0.0006,
-187.0,0.0005,0.001,
-187.5,0.0004,0.0008,
-188.0,0.0002,0.0004,
-188.5,0.0001,0.0002,
-189.0,5e-05,0.0001,
77.0,0.01765,0.007,0.0283
77.5,0.01865,0.0073,0.03
78.0,0.01875,0.0074,0.0301
78.5,0.01815,0.0058,0.0305
79.0,0.01885,0.0048,0.0329
79.5,0.0189,0.0042,0.0336
80.0,0.01825,0.0047,0.0318
80.5,0.02155,0.0063,0.0368
81.0,0.0254,0.007,0.0438
81.5,0.0251,0.0074,0.0428
82.0,0.02545,0.0082,0.0427
82.5,0.0284,0.0098,0.047
83.0,0.03105,0.0118,0.0503
83.5,0.03365,0.0129,0.0544
84.0,0.03655,0.0152,0.0579
84.5,0.0405,0.0172,0.0638
85.0,0.04215,0.016,0.0683
85.5,0.04185,0.0141,0.0696
86.0,0.0414,0.013,0.0698
86.5,0.04175,0.0112,0.0723
87.0,0.04245,0.0106,0.0743
87.5,0.04405,0.0113,0.0768
88.0,0.04145,0.0116,0.0713
88.5,0.0423,0.0132,0.0714
89.0,0.04905,0.0167,0.0814
89.5,0.0532,0.0188,0.0876
90.0,0.0565,0.0231,0.0899
90.5,0.0609,0.0286,0.0932
91.0,0.06725,0.0324,0.1021
91.5,0.077,0.0353,0.1187
92.0,0.08275,0.0359,0.1296
92.5,0.08605,0.0401,0.132
93.0,0.08995,0.0403,0.1396
93.5,0.09185,0.0406,0.1431
94.0,0.09105,0.0426,0.1395
94.5,0.0958,0.0452,0.1464
95.0,0.10095,0.0477,0.1542
95.5,0.1032,0.0496,0.1568
96.0,0.10655,0.0509,0.1622
96.5,0.11095,0.0536,0.1683
97.0,0.11695,0.0585,0.1754
97.5,0.12055,0.0586,0.1825
98.0,0.1218,0.0636,0.18
98.5,0.12155,0.0708,0.1723
99.0,0.1209,0.0688,0.173
99.5,0.126,0.0673,0.1847
100.0,0.1339,0.0676,0.2002
100.5,0.1415,0.0778,0.2052
101.0,0.14905,0.0877,0.2104
101.5,0.15615,0.0867,0.2256
102.0,0.1587,0.085,0.2324
102.5,0.164,0.0919,0.2361
103.0,0.1739,0.1013,0.2465
103.5,0.17895,0.103,0.2549
104.0,0.1859,0.1045,0.2673
104.5,0.19135,0.1086,0.2741
105.0,0.2003,0.1101,0.2905
105.5,0.20575,0.1094,0.3021
106.0,0.20605,0.1085,0.3036
106.5,0.21285,0.1133,0.3124
107.0,0.2207,0.121,0.3204
107.5,0.23335,0.1247,0.342
108.0,0.23805,0.1197,0.3564
108.5,0.2401,0.1205,0.3597
109.0,0.25055,0.1233,0.3778
109.5,0.2585,0.1281,0.3889
110.0,0.2629,0.1323,0.3935
110.5,0.2637,0.1342,0.3932
111.0,0.26695,0.1419,0.392
111.5,0.27755,0.1544,0.4007
112.0,0.2832,0.1687,0.3977
112.5,0.28065,0.1705,0.3908
113.0,0.279,0.1668,0.3912
113.5,0.2853,0.1683,0.4023
114.0,0.2984,0.1734,0.4234
114.5,0.3149,0.1844,0.4454
115.0,0.3279,0.1878,0.468
115.5,0.3408,0.1967,0.4849
116.0,0.353,0.2092,0.4968
116.5,0.36185,0.2249,0.4988
117.0,0.36375,0.2368,0.4907
117.5,0.36015,0.233,0.4873
118.0,0.3597,0.2304,0.489
118.5,0.36185,0.2374,0.4863
119.0,0.3612,0.2434,0.479
119.5,0.3608,0.2501,0.4715
120.0,0.3551,0.2463,0.4639
120.5,0.3433,0.2319,0.4547
121.0,0.3455,0.2322,0.4588
121.5,0.35915,0.2447,0.4736
122.0,0.3698,0.2547,0.4849
122.5,0.3774,0.2591,0.4957
123.0,0.38695,0.2628,0.5111
123.5,0.3926,0.2565,0.5287
124.0,0.38745,0.2434,0.5315
124.5,0.37885,0.2321,0.5256
125.0,0.3744,0.2203,0.5285
125.5,0.3601,0.2094,0.5108
126.0,0.35335,0.2067,0.5
126.5,0.3438,0.1942,0.4934
127.0,0.3312,0.1837,0.4787
127.5,0.33045,0.182,0.4789
128.0,0.32355,0.1738,0.4733
128.5,0.31515,0.1703,0.46
129.0,0.3127,0.1707,0.4547
129.5,0.31135,0.1725,0.4502
130.0,0.30325,0.1728,0.4337
130.5,0.30685,0.1702,0.4435
131.0,0.30975,0.1744,0.4451
131.5,0.3048,0.1708,0.4388
132.0,0.29525,0.1541,0.4364
132.5,0.28405,0.1423,0.4258
133.0,0.2783,0.1383,0.4183
133.5,0.27565,0.1315,0.4198
134.0,0.273,0.1294,0.4166
134.5,0.26625,0.1312,0.4013
135.0,0.25135,0.1215,0.3812
135.5,0.23825,0.1119,0.3646
136.0,0.2325,0.1113,0.3537
136.5,0.2239,0.113,0.3348
137.0,0.2227,0.1202,0.3252
137.5,0.22225,0.1219,0.3226
138.0,0.21525,0.1198,0.3107
138.5,0.21405,0.1244,0.3037
139.0,0.20405,0.1247,0.2834
139.5,0.1932,0.1208,0.2656
140.0,0.1822,0.1142,0.2502
140.5,0.16755,0.1013,0.2338
141.0,0.1581,0.0948,0.2214
141.5,0.1499,0.0947,0.2051
142.0,0.141,0.0899,0.1921
142.5,0.1364,0.0849,0.1879
143.0,0.1307,0.0789,0.1825
143.5,0.12085,0.071,0.1707
144.0,0.10985,0.0623,0.1574
144.5,0.10375,0.0571,0.1504
145.0,0.09695,0.0502,0.1437
145.5,0.08985,0.0407,0.139
146.0,0.08825,0.0361,0.1404
146.5,0.08555,0.0337,0.1374
147.0,0.07795,0.03,0.1259
147.5,0.0689,0.026,0.1118
148.0,0.0656,0.026,0.1052
148.5,0.06265,0.0256,0.0997
149.0,0.0594,0.0245,0.0943
149.5,0.0587,0.0249,0.0925
150.0,0.0565,0.0254,0.0876
150.5,0.04965,0.0261,0.0732
151.0,0.04505,0.0258,0.0643
151.5,0.04575,0.0265,0.065
152.0,0.0446,0.0255,0.0637
152.5,0.04255,0.0211,0.064
153.0,0.04275,0.0211,0.0644
153.5,0.0429,0.0235,0.0623
154.0,0.04055,0.0233,0.0578
154.5,0.03835,0.024,0.0527
155.0,0.0327,0.021,0.0444
155.5,0.03045,0.0202,0.0407
156.0,0.0295,0.0208,0.0382
156.5,0.027,0.0202,0.0338
157.0,0.0257,0.0178,0.0336
157.5,0.02535,0.0149,0.0358
158.0,0.0259,0.0144,0.0374
158.5,0.02615,0.0143,0.038
159.0,0.02675,0.0157,0.0378
159.5,0.02825,0.0186,0.0379
160.0,0.0284,0.0184,0.0384
160.5,0.0271,0.016,0.0382
161.0,0.0256,0.0157,0.0355
161.5,0.02385,0.0194,0.0283
162.0,0.02345,0.0236,0.0233
162.5,0.0219,0.0244,0.0194
163.0,0.0197,0.0227,0.0167
163.5,0.01825,0.0194,0.0171
164.0,0.0172,0.0169,0.0175
164.5,0.0173,0.0173,0.0173
165.0,0.017,0.0166,0.0174
165.5,0.0167,0.0151,0.0183
166.0,0.017,0.0137,0.0203
166.5,0.01595,0.0131,0.0188
167.0,0.014,0.013,0.015
167.5,0.01295,0.0127,0.0132
168.0,0.01115,0.0093,0.013
168.5,0.0097,0.0068,0.0126
169.0,0.00945,0.0057,0.0132
169.5,0.01015,0.0064,0.0139
170.0,0.0104,0.0074,0.0134
170.5,0.01045,0.008,0.0129
171.0,0.0105,0.0086,0.0124
171.5,0.0113,0.0088,0.0138
172.0,0.0119,0.0102,0.0136
172.5,0.01475,0.0125,0.017
173.0,0.0164,0.0134,0.0194
173.5,0.01705,0.0131,0.021
174.0,0.0189,0.0141,0.0237
174.5,0.01855,0.015,0.0221
175.0,0.01615,0.0149,0.0174
175.5,0.0149,0.0138,0.016
176.0,0.0138,0.0106,0.017
176.5,0.01275,0.0089,0.0166
177.0,0.0127,0.0096,0.0158
177.5,0.0123,0.0101,0.0145
178.0,0.01315,0.0105,0.0158
178.5,0.01365,0.0097,0.0176
179.0,0.0135,0.0071,0.0199
179.5,0.0154,0.0063,0.0245
180.0,0.0182,0.0063,0.0301
180.5,0.01835,0.0065,0.0302
181.0,0.01695,0.0079,0.026
181.5,0.01795,0.0093,0.0266
182.0,0.01835,0.0086,0.0281
182.5,0.0175,0.0073,0.0277
183.0,0.01715,0.0073,0.027
183.5,0.0165,0.0076,0.0254
184.0,0.01545,0.0076,0.0233
184.5,0.0133,0.0073,0.0193
185.0,0.0127,0.007,0.0184
185.5,0.01475,0.0072,0.0223
186.0,0.01505,0.0071,0.023
186.5,0.0145,0.0075,0.0215
187.0,0.0152,0.0073,0.0231
187.5,0.0168,0.0076,0.026
188.0,0.0189,0.0086,0.0292
188.5,0.02015,0.0104,0.0299
189.0,0.0198,0.0117,0.0279
189.5,0.01925,0.0111,0.0274
190.0,0.01905,0.0092,0.0289
190.5,0.0201,0.0084,0.0318
191.0,0.0197,0.0068,0.0326
191.5,0.01745,0.0041,0.0308
192.0,0.017,0.0026,0.0314
192.5,0.0169,0.0023,0.0315
193.0,0.0164,0.0016,0.0312
193.5,0.0166,0.0007,0.0325
194.0,0.01805,0.0002,0.0359
194.5,0.01855,,0.0371
195.0,0.0172,,0.0344
195.5,0.01665,,0.0333
196.0,0.01625,,0.0325
196.5,0.01585,,0.0317
197.0,0.01595,,0.0319
197.5,0.01565,,0.0313
198.0,0.01595,,0.0319
198.5,0.0163,,0.0326
199.0,0.01645,,0.0329
199.5,0.01795,,0.0359
200.0,0.02185,,0.0437
200.5,0.024,,0.048
201.0,0.0236,,0.0472
201.5,0.02215,,0.0443
202.0,0.02245,,0.0449
202.5,0.02365,,0.0473
203.0,0.02655,,0.0531
203.5,0.0291,,0.0582
204.0,0.03015,,0.0603
204.5,0.03285,,0.0657
205.0,0.0355,,0.071
205.5,0.03615,,0.0723
206.0,0.0351,,0.0702
206.5,0.03465,,0.0693
207.0,0.033,,0.066
207.5,0.03145,,0.0629
208.0,0.033,,0.066
208.5,0.03375,,0.0675
209.0,0.032,,0.064
209.5,0.0339,,0.0678
210.0,0.0383,,0.0766
210.5,0.0377,,0.0754
211.0,0.03865,,0.0773
211.5,0.04265,,0.0853
212.0,0.0484,,0.0968
212.5,0.05545,,0.1109
213.0,0.0641,,0.1282
213.5,0.0693,,0.1386
214.0,0.07345,,0.1469
214.5,0.0772,,0.1544
215.0,0.07895,,0.1579
215.5,0.0805,,0.161
216.0,0.08065,,0.1613
216.5,0.08085,,0.1617
217.0,0.0851,,0.1702
217.5,0.08745,,0.1749
218.0,0.0884,,0.1768
218.5,0.0903,,0.1806
219.0,0.092,,0.184
219.5,0.0945,,0.189
220.0,0.09845,,0.1969
220.5,0.10355,,0.2071
221.0,0.10965,,0.2193
221.5,0.11485,,0.2297
222.0,0.11885,,0.2377
222.5,0.12495,,0.2499
223.0,0.13145,,0.2629
223.5,0.1399,,0.2798
224.0,0.1445,,0.289
224.5,0.14465,,0.2893
225.0,0.14555,,0.2911
225.5,0.14835,,0.2967
226.0,0.1512,,0.3024
226.5,0.15065,,0.3013
227.0,0.14965,,0.2993
227.5,0.15265,,0.3053
228.0,0.15395,,0.3079
228.5,0.15195,,0.3039
