,total,1st,2nd
-0.5,0.217,0.434,
0.0,0.21545,0.4309,
0.5,0.2169,0.4338,
-1.0,0.21475,0.4295,
-1.5,0.21465,0.4293,
-2.0,0.21355,0.4271,
-2.5,0.2115,0.423,
-3.0,0.2056,0.4112,
-3.5,0.1985,0.397,
-4.0,0.195,0.39,
-4.5,0.19215,0.3843,
-5.0,0.19285,0.3857,
-5.5,0.1894,0.3788,
1.0,0.22745,0.4549,
1.5,0.2336,0.4672,
2.0,0.23465,0.4693,
2.5,0.23625,0.4725,
3.0,0.2402,0.4804,
-6.0,0.1826,0.3652,
3.5,0.2379,0.4758,
4.0,0.2293,0.4586,
4.5,0.219,0.438,
5.0,0.2049,0.4098,
-6.5,0.1761,0.3522,
-7.0,0.16635,0.3327,
-7.5,0.162,0.324,
-8.0,0.15785,0.3157,
-8.5,0.1565,0.313,
-9.0,0.15565,0.3113,
-9.5,0.14955,0.2991,
-10.0,0.145,0.29,
-10.5,0.1382,0.2764,
-11.0,0.1376,0.2752,
-11.5,0.13945,0.2789,
-12.0,0.1341,0.2682,
-12.5,0.1287,0.2574,
-13.0,0.12095,0.2419,
-13.5,0.11435,0.2287,
-14.0,0.1169,0.2338,
-14.5,0.1194,0.2388,
5.5,0.19505,0.3901,
6.0,0.19115,0.3823,
6.5,0.18645,0.3729,
7.0,0.1803,0.3606,
7.5,0.17565,0.3513,
8.0,0.16765,0.3353,
8.5,0.16145,0.3229,
9.0,0.15595,0.3119,
9.5,0.1598,0.3196,
10.0,0.1614,0.3228,
10.5,0.1552,0.3104,
11.0,0.15425,0.3085,
11.5,0.1525,0.305,
12.0,0.14215,0.2843,
12.5,0.13365,0.2673,
13.0,0.1297,0.2594,
13.5,0.12425,0.2485,
14.0,0.1162,0.2324,
14.5,0.1077,0.2154,
15.0,0.1002,0.2004,
15.5,0.09615,0.1923,
16.0,0.09205,0.1841,
-15.0,0.11615,0.2323,
-15.5,0.11365,0.2273,
-16.0,0.11545,0.2309,
-16.5,0.11565,0.2313,
-17.0,0.1145,0.229,
-17.5,0.10895,0.2179,
-18.0,0.1014,0.2028,
-18.5,0.0984,0.1968,
-19.0,0.0967,0.1934,
-19.5,0.0941,0.1882,
-20.0,0.0899,0.1798,
-20.5,0.08275,0.1655,
-21.0,0.08125,0.1625,
-21.5,0.08425,0.1685,
-22.0,0.08025,0.1605,
-22.5,0.07235,0.1447,
-23.0,0.0666,0.1332,
-23.5,0.05885,0.1177,
-24.0,0.05255,0.1051,
-24.5,0.0504,0.1008,
-25.0,0.047,0.094,
-25.5,0.0454,0.0908,
-26.0,0.0442,0.0884,
-26.5,0.04355,0.0871,
-27.0,0.0444,0.0888,
-27.5,0.04375,0.0875,
-28.0,0.04055,0.0811,
-28.5,0.0359,0.0718,
-29.0,0.03485,0.0697,
-29.5,0.03505,0.0701,
-30.0,0.03285,0.0657,
-30.5,0.029,0.058,
-31.0,0.02595,0.0519,
-31.5,0.02585,0.0517,
-32.0,0.024,0.048,
-32.5,0.0221,0.0442,
-33.0,0.0224,0.0448,
-33.5,0.02355,0.0471,
-34.0,0.0259,0.0518,
-34.5,0.02505,0.0501,
-35.0,0.02245,0.0449,
-35.5,0.0208,0.0416,
-36.0,0.02125,0.0425,
-36.5,0.0207,0.0414,
-37.0,0.01915,0.0383,
-37.5,0.0166,0.0332,
-38.0,0.01615,0.0323,
-38.5,0.01555,0.0311,
-39.0,0.0139,0.0278,
-39.5,0.01345,0.0269,
-40.0,0.0118,0.0236,
-40.5,0.01255,0.0251,
16.5,0.0926,0.1852,
17.0,0.0927,0.1854,
17.5,0.08985,0.1797,
18.0,0.08895,0.1779,
18.5,0.0851,0.1702,
19.0,0.0806,0.1612,
19.5,0.083,0.166,
20.0,0.08465,0.1693,
20.5,0.0793,0.1586,
21.0,0.0716,0.1432,
21.5,0.0671,0.1342,
22.0,0.0634,0.1268,
22.5,0.05795,0.1159,
23.0,0.05215,0.1043,
23.5,0.0455,0.091,
24.0,0.0439,0.0878,
24.5,0.0451,0.0902,
25.0,0.0459,0.0918,
25.5,0.04425,0.0885,
26.0,0.04155,0.0831,
26.5,0.0388,0.0776,
27.0,0.03515,0.0703,
27.5,0.032,0.064,
28.0,0.0317,0.0634,
28.5,0.0355,0.071,
29.0,0.0357,0.0714,
29.5,0.03375,0.0675,
30.0,0.03365,0.0673,
30.5,0.03135,0.0627,
31.0,0.0263,0.0526,
31.5,0.0221,0.0442,
32.0,0.02065,0.0413,
32.5,0.02065,0.0413,
33.0,0.01945,0.0389,
33.5,0.0172,0.0344,
34.0,0.0173,0.0346,
34.5,0.0166,0.0332,
35.0,0.01605,0.0321,
35.5,0.01575,0.0315,
36.0,0.0166,0.0332,
36.5,0.0174,0.0348,
37.0,0.0166,0.0332,
37.5,0.01545,0.0309,
38.0,0.0145,0.029,
38.5,0.01255,0.0251,
39.0,0.01115,0.0223,
39.5,0.01045,0.0209,
40.0,0.0102,0.0204,
40.5,0.0108,0.0216,
41.0,0.01045,0.0206,0.0003
41.5,0.0096,0.0186,0.0006
42.0,0.01025,0.0197,0.0008
42.5,0.01005,0.0184,0.0017
43.0,0.01025,0.0182,0.0023
43.5,0.0096,0.0168,0.0024
44.0,0.00825,0.0135,0.003
44.5,0.0079,0.0122,0.0036
45.0,0.00785,0.0121,0.0036
45.5,0.00695,0.0111,0.0028
46.0,0.0061,0.0099,0.0023
46.5,0.00635,0.0108,0.0019
47.0,0.0071,0.0122,0.002
47.5,0.00875,0.015,0.0025
48.0,0.0103,0.0174,0.0032
48.5,0.0117,0.0187,0.0047
49.0,0.0135,0.0204,0.0066
49.5,0.01425,0.0204,0.0081
50.0,0.0137,0.0189,0.0085
50.5,0.0125,0.0161,0.0089
51.0,0.0121,0.0139,0.0103
51.5,0.0102,0.0102,0.0102
-41.0,0.0134,0.0268,
-41.5,0.01115,0.0223,
-42.0,0.0097,0.0194,
-42.5,0.00975,0.0195,
-43.0,0.00935,0.0187,
-43.5,0.00945,0.0189,
-44.0,0.00975,0.0195,
-44.5,0.0099,0.0198,
-45.0,0.01165,0.0233,
-45.5,0.0114,0.0228,
-46.0,0.01005,0.0201,
-46.5,0.00965,0.0193,
-47.0,0.0098,0.0196,
-47.5,0.0099,0.0198,
-48.0,0.00925,0.0185,
-48.5,0.00815,0.0163,
-49.0,0.0074,0.0148,
-49.5,0.0061,0.0122,
-50.0,0.00455,0.0091,
52.0,0.0083,0.0064,0.0102
52.5,0.008,0.0061,0.0099
53.0,0.00875,0.0067,0.0108
53.5,0.00925,0.0074,0.0111
54.0,0.00865,0.0067,0.0106
54.5,0.0092,0.005,0.0134
55.0,0.00985,0.0044,0.0153
55.5,0.0086,0.0034,0.0138
56.0,0.0078,0.003,0.0126
56.5,0.00745,0.0036,0.0113
57.0,0.0069,0.0039,0.0099
57.5,0.00705,0.004,0.0101
58.0,0.00685,0.0038,0.0099
58.5,0.00605,0.0037,0.0084
59.0,0.0053,0.0037,0.0069
59.5,0.00445,0.003,0.0059
60.0,0.00385,0.0025,0.0052
60.5,0.0035,0.0026,0.0044
61.0,0.0034,0.0021,0.0047
61.5,0.0036,0.0015,0.0057
62.0,0.00365,0.002,0.0053
62.5,0.0031,0.0029,0.0033
63.0,0.00335,0.0041,0.0026
63.5,0.0044,0.0053,0.0035
64.0,0.0045,0.0059,0.0031
64.5,0.00445,0.0064,0.0025
