,Angle
10000,8.5
10001,9.0
10002,9.5
10003,10.0
10004,10.5
10005,11.0
10006,10.5
10007,11.0
10008,11.5
10009,11.0
10010,10.5
10011,11.0
10012,10.5
10013,11.0
10014,10.5
10015,11.0
10016,11.5
10017,11.0
10018,11.5
10019,12.0
10020,12.5
10021,13.0
10022,12.5
10023,12.0
10024,11.5
10025,11.0
10026,10.5
10027,10.0
10028,10.5
10029,10.0
10030,10.5
10031,11.0
10032,10.5
10033,11.0
10034,11.5
10035,12.0
10036,11.5
10037,11.0
10038,10.5
10039,10.0
10040,10.5
10041,10.0
10042,9.5
10043,10.0
10044,9.5
10045,10.0
10046,10.5
10047,10.0
10048,10.5
10049,11.0
10050,10.5
10051,11.0
10052,10.5
10053,11.0
10054,11.5
10055,11.0
10056,10.5
10057,11.0
10058,10.5
10059,11.0
10060,10.5
10061,10.0
10062,10.5
10063,11.0
10064,11.5
10065,11.0
10066,11.5
10067,11.0
10068,11.5
10069,11.0
10070,11.5
10071,12.0
10072,11.5
10073,12.0
10074,11.5
10075,11.0
10076,10.5
10077,10.0
10078,10.5
10079,10.0
10080,10.5
10081,10.0
10082,10.5
10083,11.0
10084,11.5
10085,11.0
10086,11.5
10087,12.0
10088,12.5
10089,12.0
10090,11.5
10091,11.0
10092,10.5
10093,10.0
10094,10.5
10095,10.0
10096,10.5
10097,11.0
10098,10.5
10099,10.0
10100,10.5
10101,11.0
10102,11.5
10103,11.0
10104,10.5
10105,11.0
10106,10.5
10107,10.0
10108,9.5
10109,10.0
10110,9.5
10111,10.0
10112,10.5
10113,11.0
10114,10.5
10115,10.0
10116,10.5
10117,11.0
10118,10.5
10119,11.0
10120,11.5
10121,11.0
10122,10.5
10123,10.0
10124,10.5
10125,10.0
10126,10.5
10127,11.0
10128,11.5
10129,12.0
10130,12.5
10131,13.0
10132,12.5
10133,13.0
10134,13.5
10135,13.0
10136,13.5
10137,13.0
10138,12.5
10139,13.0
10140,12.5
10141,13.0
10142,12.5
10143,12.0
10144,11.5
10145,12.0
10146,12.5
10147,13.0
10148,12.5
10149,13.0
10150,13.5
10151,14.0
10152,14.5
10153,14.0
10154,13.5
10155,14.0
10156,14.5
10157,14.0
10158,14.5
10159,15.0
10160,14.5
10161,14.0
10162,14.5
10163,14.0
10164,14.5
10165,15.0
10166,15.5
10167,15.0
10168,14.5
10169,15.0
10170,14.5
10171,14.0
10172,14.5
10173,14.0
10174,13.5
10175,13.0
10176,13.5
10177,13.0
10178,12.5
10179,13.0
10180,13.5
10181,13.0
10182,13.5
10183,13.0
10184,12.5
10185,12.0
10186,11.5
10187,11.0
10188,10.5
10189,11.0
10190,10.5
10191,10.0
10192,10.5
10193,10.0
10194,9.5
10195,9.0
10196,9.5
10197,9.0
10198,8.5
10199,9.0
10200,9.5
10201,10.0
10202,9.5
10203,10.0
10204,10.5
10205,10.0
10206,9.5
10207,9.0
10208,8.5
10209,9.0
10210,8.5
10211,9.0
10212,8.5
10213,9.0
10214,9.5
10215,10.0
10216,10.5
10217,10.0
10218,10.5
10219,10.0
10220,10.5
10221,10.0
10222,9.5
10223,10.0
10224,9.5
10225,9.0
10226,9.5
10227,9.0
10228,9.5
10229,9.0
10230,9.5
10231,10.0
10232,10.5
10233,10.0
10234,10.5
10235,10.0
10236,9.5
10237,9.0
10238,8.5
10239,9.0
10240,9.5
10241,9.0
10242,8.5
10243,8.0
10244,7.5
10245,8.0
10246,8.5
10247,8.0
10248,8.5
10249,8.0
10250,7.5
10251,7.0
10252,7.5
10253,7.0
10254,6.5
10255,7.0
10256,6.5
10257,7.0
10258,6.5
10259,7.0
10260,7.5
10261,7.0
10262,7.5
10263,8.0
10264,8.5
10265,9.0
10266,8.5
10267,9.0
10268,9.5
10269,10.0
10270,9.5
10271,10.0
10272,9.5
10273,9.0
10274,8.5
10275,8.0
10276,8.5
10277,8.0
10278,8.5
10279,9.0
10280,9.5
10281,10.0
10282,9.5
10283,9.0
10284,8.5
10285,8.0
10286,7.5
10287,7.0
10288,6.5
10289,6.0
10290,5.5
10291,6.0
10292,6.5
10293,7.0
10294,7.5
10295,8.0
10296,7.5
10297,7.0
10298,6.5
10299,7.0
10300,6.5
10301,7.0
10302,6.5
10303,6.0
10304,6.5
10305,7.0
10306,7.5
10307,8.0
10308,8.5
10309,8.0
10310,8.5
10311,9.0
10312,8.5
10313,9.0
10314,8.5
10315,9.0
10316,9.5
10317,10.0
10318,9.5
10319,9.0
10320,9.5
10321,10.0
10322,9.5
10323,9.0
10324,8.5
10325,9.0
10326,8.5
10327,9.0
10328,9.5
10329,9.0
10330,9.5
10331,9.0
10332,9.5
10333,9.0
10334,8.5
10335,9.0
10336,8.5
10337,9.0
10338,8.5
10339,9.0
10340,9.5
10341,9.0
10342,9.5
10343,9.0
10344,9.5
10345,9.0
10346,8.5
10347,9.0
10348,9.5
10349,10.0
10350,9.5
10351,10.0
10352,9.5
10353,9.0
10354,8.5
10355,8.0
10356,7.5
10357,7.0
10358,7.5
10359,7.0
