,Angle
10000,-35.5
10001,-36.0
10002,-36.5
10003,-37.0
10004,-37.5
10005,-38.0
10006,-38.5
10007,-38.0
10008,-37.5
10009,-37.0
10010,-36.5
10011,-36.0
10012,-36.5
10013,-36.0
10014,-36.5
10015,-36.0
10016,-35.5
10017,-36.0
10018,-35.5
10019,-36.0
10020,-35.5
10021,-35.0
10022,-34.5
10023,-34.0
10024,-34.5
10025,-34.0
10026,-33.5
10027,-34.0
10028,-33.5
10029,-33.0
10030,-33.5
10031,-34.0
10032,-33.5
10033,-34.0
10034,-34.5
10035,-34.0
10036,-34.5
10037,-35.0
10038,-35.5
10039,-36.0
10040,-36.5
10041,-37.0
10042,-36.5
10043,-36.0
10044,-35.5
10045,-35.0
10046,-35.5
10047,-36.0
10048,-35.5
10049,-35.0
10050,-35.5
10051,-35.0
10052,-34.5
10053,-34.0
10054,-33.5
10055,-34.0
10056,-33.5
10057,-33.0
10058,-32.5
10059,-33.0
10060,-33.5
10061,-34.0
10062,-33.5
10063,-33.0
10064,-32.5
10065,-32.0
10066,-32.5
10067,-33.0
10068,-32.5
10069,-32.0
10070,-31.5
10071,-32.0
10072,-31.5
10073,-32.0
10074,-31.5
10075,-32.0
10076,-31.5
10077,-31.0
10078,-31.5
10079,-31.0
10080,-31.5
10081,-32.0
10082,-31.5
10083,-32.0
10084,-32.5
10085,-33.0
10086,-33.5
10087,-33.0
10088,-33.5
10089,-34.0
10090,-34.5
10091,-35.0
10092,-35.5
10093,-35.0
10094,-34.5
10095,-34.0
10096,-33.5
10097,-33.0
10098,-32.5
10099,-33.0
10100,-33.5
10101,-33.0
10102,-32.5
10103,-33.0
10104,-32.5
10105,-32.0
10106,-31.5
10107,-31.0
10108,-31.5
10109,-32.0
10110,-31.5
10111,-32.0
10112,-31.5
10113,-32.0
10114,-32.5
10115,-32.0
10116,-31.5
10117,-31.0
10118,-31.5
10119,-31.0
10120,-30.5
10121,-31.0
10122,-31.5
10123,-32.0
10124,-32.5
10125,-33.0
10126,-33.5
10127,-33.0
10128,-32.5
10129,-33.0
10130,-32.5
10131,-33.0
10132,-32.5
10133,-32.0
10134,-31.5
10135,-31.0
10136,-31.5
10137,-32.0
10138,-31.5
10139,-32.0
10140,-31.5
10141,-32.0
10142,-31.5
10143,-32.0
10144,-31.5
10145,-31.0
10146,-30.5
10147,-31.0
10148,-30.5
10149,-31.0
10150,-31.5
10151,-32.0
10152,-32.5
10153,-32.0
10154,-31.5
10155,-31.0
10156,-30.5
10157,-30.0
10158,-30.5
10159,-31.0
10160,-31.5
10161,-31.0
10162,-30.5
10163,-31.0
10164,-30.5
10165,-30.0
10166,-30.5
10167,-31.0
10168,-30.5
10169,-31.0
10170,-30.5
10171,-30.0
10172,-30.5
10173,-31.0
10174,-30.5
10175,-31.0
10176,-30.5
10177,-31.0
10178,-31.5
10179,-31.0
10180,-30.5
10181,-31.0
10182,-31.5
10183,-32.0
10184,-31.5
10185,-32.0
10186,-32.5
10187,-33.0
10188,-33.5
10189,-34.0
10190,-34.5
10191,-35.0
10192,-34.5
10193,-35.0
10194,-35.5
10195,-36.0
10196,-36.5
10197,-37.0
10198,-37.5
10199,-37.0
10200,-36.5
10201,-37.0
10202,-36.5
10203,-37.0
10204,-37.5
10205,-37.0
10206,-36.5
10207,-37.0
10208,-36.5
10209,-37.0
10210,-36.5
10211,-36.0
10212,-35.5
10213,-35.0
10214,-35.5
10215,-36.0
10216,-35.5
10217,-36.0
10218,-35.5
10219,-35.0
10220,-34.5
10221,-35.0
10222,-35.5
10223,-35.0
10224,-35.5
10225,-36.0
10226,-36.5
10227,-37.0
10228,-36.5
10229,-37.0
10230,-36.5
10231,-37.0
10232,-36.5
10233,-37.0
10234,-36.5
10235,-36.0
10236,-35.5
10237,-35.0
10238,-34.5
10239,-35.0
10240,-34.5
10241,-35.0
10242,-34.5
10243,-34.0
10244,-33.5
10245,-33.0
10246,-33.5
10247,-33.0
10248,-33.5
10249,-33.0
10250,-32.5
10251,-32.0
10252,-32.5
10253,-32.0
10254,-32.5
10255,-33.0
10256,-32.5
10257,-32.0
10258,-32.5
10259,-32.0
10260,-32.5
10261,-32.0
10262,-32.5
10263,-32.0
10264,-31.5
10265,-32.0
10266,-31.5
10267,-32.0
10268,-31.5
10269,-31.0
10270,-31.5
10271,-31.0
10272,-30.5
10273,-31.0
10274,-30.5
