,Angle
10000,41.0
10001,41.5
10002,41.0
10003,40.5
10004,40.0
10005,40.5
10006,41.0
10007,40.5
10008,40.0
10009,39.5
10010,40.0
10011,40.5
10012,40.0
10013,40.5
10014,40.0
10015,39.5
10016,39.0
10017,39.5
10018,39.0
10019,38.5
10020,39.0
10021,39.5
10022,40.0
10023,40.5
10024,41.0
10025,41.5
10026,42.0
10027,42.5
10028,43.0
10029,43.5
10030,43.0
10031,43.5
10032,44.0
10033,43.5
10034,43.0
10035,43.5
10036,44.0
10037,44.5
10038,44.0
10039,44.5
10040,45.0
10041,45.5
10042,46.0
10043,46.5
10044,47.0
10045,47.5
10046,47.0
10047,47.5
10048,47.0
10049,46.5
10050,47.0
10051,47.5
10052,47.0
10053,47.5
10054,47.0
10055,46.5
10056,47.0
10057,46.5
10058,46.0
10059,45.5
10060,46.0
10061,46.5
10062,47.0
10063,47.5
10064,48.0
10065,48.5
10066,48.0
10067,47.5
10068,47.0
10069,46.5
10070,46.0
10071,46.5
10072,47.0
10073,46.5
10074,46.0
10075,45.5
10076,45.0
10077,45.5
10078,46.0
10079,46.5
10080,47.0
10081,46.5
10082,46.0
10083,45.5
10084,46.0
10085,45.5
10086,46.0
10087,45.5
10088,45.0
10089,44.5
10090,44.0
10091,43.5
10092,44.0
10093,44.5
10094,45.0
10095,44.5
10096,45.0
10097,44.5
10098,45.0
10099,44.5
10100,44.0
10101,44.5
10102,44.0
10103,43.5
10104,43.0
10105,42.5
10106,42.0
10107,42.5
10108,43.0
10109,43.5
10110,43.0
10111,42.5
10112,43.0
10113,43.5
10114,44.0
10115,44.5
10116,45.0
10117,44.5
10118,44.0
10119,43.5
10120,43.0
10121,43.5
10122,44.0
10123,44.5
10124,44.0
10125,43.5
10126,44.0
10127,43.5
10128,44.0
10129,44.5
10130,44.0
10131,44.5
10132,45.0
10133,45.5
10134,45.0
10135,45.5
10136,46.0
10137,45.5
10138,46.0
10139,46.5
10140,46.0
10141,45.5
10142,45.0
10143,44.5
10144,44.0
10145,44.5
10146,45.0
10147,44.5
10148,44.0
10149,43.5
10150,44.0
10151,44.5
10152,45.0
10153,45.5
10154,46.0
10155,45.5
10156,46.0
10157,45.5
10158,45.0
10159,45.5
10160,45.0
10161,45.5
10162,46.0
10163,45.5
10164,45.0
10165,44.5
10166,44.0
10167,44.5
10168,44.0
10169,44.5
10170,44.0
10171,44.5
10172,44.0
10173,43.5
10174,43.0
10175,43.5
10176,44.0
10177,43.5
10178,44.0
10179,44.5
10180,45.0
10181,44.5
10182,44.0
10183,44.5
10184,45.0
10185,44.5
10186,44.0
10187,44.5
10188,45.0
10189,44.5
10190,45.0
10191,44.5
10192,44.0
10193,44.5
10194,45.0
10195,44.5
10196,44.0
10197,43.5
10198,43.0
10199,43.5
10200,43.0
10201,42.5
10202,43.0
10203,42.5
10204,43.0
10205,43.5
10206,43.0
10207,43.5
10208,44.0
10209,44.5
10210,45.0
10211,45.5
10212,46.0
10213,45.5
10214,45.0
10215,44.5
10216,45.0
10217,45.5
10218,46.0
10219,45.5
10220,45.0
10221,44.5
10222,45.0
10223,44.5
10224,44.0
10225,43.5
10226,43.0
10227,43.5
10228,43.0
10229,43.5
10230,43.0
10231,43.5
10232,44.0
10233,44.5
10234,44.0
10235,44.5
10236,45.0
10237,44.5
10238,45.0
10239,44.5
10240,44.0
10241,44.5
10242,44.0
10243,43.5
10244,44.0
10245,43.5
10246,43.0
10247,43.5
10248,43.0
10249,43.5
10250,44.0
10251,44.5
10252,45.0
10253,45.5
10254,46.0
10255,45.5
10256,46.0
10257,45.5
10258,46.0
10259,45.5
10260,45.0
10261,45.5
10262,46.0
10263,45.5
10264,46.0
10265,45.5
10266,45.0
10267,45.5
10268,46.0
10269,45.5
10270,46.0
10271,46.5
10272,46.0
10273,45.5
10274,46.0
10275,45.5
10276,46.0
10277,45.5
10278,45.0
10279,44.5
10280,44.0
10281,44.5
10282,44.0
10283,43.5
10284,43.0
10285,43.5
10286,43.0
10287,42.5
10288,43.0
10289,43.5
10290,44.0
10291,44.5
10292,44.0
10293,43.5
10294,44.0
10295,43.5
10296,43.0
10297,42.5
10298,42.0
10299,41.5
10300,41.0
10301,40.5
10302,40.0
10303,39.5
10304,40.0
10305,39.5
10306,39.0
10307,39.5
10308,39.0
10309,39.5
10310,39.0
10311,39.5
10312,40.0
10313,40.5
10314,41.0
10315,41.5
10316,42.0
10317,42.5
10318,43.0
10319,42.5
10320,42.0
10321,42.5
10322,43.0
10323,43.5
10324,43.0
10325,42.5
10326,43.0
10327,43.5
10328,44.0
10329,44.5
10330,44.0
10331,44.5
10332,44.0
10333,44.5
10334,45.0
10335,45.5
10336,46.0
10337,46.5
10338,46.0
10339,46.5
10340,46.0
10341,46.5
10342,47.0
10343,46.5
10344,46.0
10345,45.5
10346,46.0
10347,46.5
10348,46.0
10349,45.5
10350,45.0
10351,44.5
10352,44.0
10353,43.5
10354,43.0
10355,43.5
10356,43.0
10357,43.5
10358,44.0
10359,43.5
10360,44.0
10361,44.5
10362,44.0
10363,43.5
10364,44.0
10365,43.5
10366,43.0
10367,43.5
10368,44.0
10369,44.5
10370,44.0
