,Angle
10000,-8.5
10001,-8.0
10002,-8.5
10003,-9.0
10004,-8.5
10005,-8.0
10006,-7.5
10007,-7.0
10008,-6.5
10009,-6.0
10010,-6.5
10011,-7.0
10012,-7.5
10013,-8.0
10014,-8.5
10015,-8.0
10016,-7.5
10017,-7.0
10018,-6.5
10019,-7.0
10020,-7.5
10021,-7.0
10022,-7.5
10023,-8.0
10024,-8.5
10025,-8.0
10026,-7.5
10027,-8.0
10028,-8.5
10029,-8.0
10030,-7.5
10031,-8.0
10032,-7.5
10033,-7.0
10034,-6.5
10035,-7.0
10036,-6.5
10037,-7.0
10038,-7.5
10039,-7.0
10040,-7.5
10041,-8.0
10042,-7.5
10043,-7.0
10044,-6.5
10045,-7.0
10046,-7.5
10047,-8.0
10048,-7.5
10049,-7.0
10050,-7.5
10051,-7.0
10052,-7.5
10053,-7.0
10054,-6.5
10055,-7.0
10056,-7.5
10057,-7.0
10058,-6.5
10059,-7.0
10060,-6.5
10061,-7.0
10062,-6.5
10063,-7.0
10064,-6.5
10065,-6.0
10066,-6.5
10067,-6.0
10068,-6.5
10069,-6.0
10070,-6.5
10071,-7.0
10072,-6.5
10073,-7.0
10074,-6.5
10075,-6.0
10076,-6.5
10077,-7.0
10078,-6.5
10079,-7.0
10080,-6.5
10081,-6.0
10082,-5.5
10083,-6.0
10084,-5.5
10085,-5.0
10086,-5.5
10087,-5.0
10088,-5.5
10089,-6.0
10090,-5.5
10091,-5.0
10092,-4.5
10093,-4.0
10094,-4.5
10095,-5.0
10096,-5.5
10097,-5.0
10098,-5.5
10099,-5.0
10100,-4.5
10101,-5.0
10102,-4.5
10103,-5.0
10104,-5.5
10105,-5.0
10106,-4.5
10107,-4.0
10108,-3.5
10109,-4.0
10110,-4.5
10111,-5.0
10112,-5.5
10113,-6.0
10114,-6.5
10115,-6.0
10116,-5.5
10117,-5.0
10118,-4.5
10119,-4.0
10120,-4.5
10121,-5.0
10122,-4.5
10123,-4.0
10124,-4.5
10125,-5.0
10126,-5.5
10127,-6.0
10128,-6.5
10129,-6.0
10130,-5.5
10131,-5.0
10132,-5.5
10133,-5.0
10134,-4.5
10135,-4.0
10136,-4.5
10137,-4.0
10138,-3.5
10139,-4.0
10140,-3.5
10141,-3.0
10142,-2.5
10143,-2.0
10144,-2.5
10145,-3.0
10146,-2.5
10147,-2.0
10148,-1.5
10149,-2.0
10150,-2.5
10151,-2.0
10152,-2.5
10153,-3.0
10154,-3.5
10155,-4.0
10156,-4.5
10157,-5.0
10158,-5.5
10159,-5.0
10160,-4.5
10161,-4.0
10162,-3.5
10163,-4.0
10164,-4.5
10165,-4.0
10166,-4.5
10167,-5.0
10168,-5.5
10169,-5.0
10170,-4.5
10171,-4.0
10172,-3.5
10173,-3.0
10174,-2.5
10175,-2.0
10176,-2.5
10177,-2.0
10178,-2.5
10179,-2.0
10180,-1.5
10181,-1.0
10182,-0.5
10183,0.0
10184,0.5
10185,0.0
10186,-0.5
10187,-1.0
10188,-0.5
10189,0.0
10190,0.5
10191,1.0
10192,0.5
10193,1.0
10194,0.5
10195,0.0
10196,0.5
10197,0.0
10198,0.5
10199,1.0
10200,1.5
10201,1.0
10202,1.5
10203,2.0
10204,1.5
10205,1.0
10206,0.5
10207,0.0
10208,-0.5
10209,-1.0
10210,-0.5
10211,-1.0
10212,-0.5
10213,0.0
10214,-0.5
10215,-1.0
10216,-0.5
10217,-1.0
10218,-1.5
10219,-1.0
10220,-1.5
10221,-2.0
10222,-1.5
10223,-1.0
10224,-1.5
10225,-1.0
10226,-0.5
10227,-1.0
10228,-0.5
10229,-1.0
10230,-1.5
10231,-1.0
10232,-1.5
10233,-1.0
10234,-0.5
10235,-1.0
10236,-0.5
10237,0.0
10238,-0.5
10239,0.0
10240,-0.5
10241,-1.0
10242,-1.5
10243,-2.0
10244,-1.5
10245,-1.0
10246,-1.5
10247,-2.0
10248,-1.5
10249,-2.0
10250,-2.5
10251,-2.0
10252,-2.5
10253,-3.0
10254,-2.5
10255,-2.0
10256,-2.5
10257,-3.0
10258,-3.5
10259,-4.0
10260,-4.5
10261,-4.0
10262,-4.5
10263,-4.0
10264,-4.5
10265,-5.0
10266,-5.5
10267,-6.0
10268,-5.5
10269,-5.0
10270,-5.5
10271,-6.0
10272,-5.5
10273,-6.0
10274,-5.5
10275,-5.0
10276,-5.5
10277,-5.0
10278,-5.5
10279,-5.0
10280,-5.5
10281,-5.0
10282,-4.5
10283,-5.0
10284,-4.5
10285,-4.0
10286,-3.5
10287,-4.0
10288,-3.5
10289,-3.0
10290,-3.5
10291,-4.0
10292,-3.5
10293,-4.0
10294,-4.5
10295,-4.0
10296,-3.5
10297,-4.0
10298,-4.5
10299,-4.0
10300,-3.5
10301,-3.0
10302,-2.5
10303,-3.0
10304,-3.5
10305,-3.0
10306,-3.5
10307,-4.0
10308,-3.5
10309,-4.0
10310,-4.5
10311,-5.0
10312,-5.5
10313,-6.0
10314,-6.5
10315,-6.0
10316,-5.5
10317,-6.0
10318,-5.5
10319,-6.0
10320,-6.5
10321,-7.0
10322,-6.5
10323,-7.0
10324,-7.5
10325,-7.0
10326,-7.5
10327,-7.0
10328,-6.5
10329,-6.0
10330,-6.5
10331,-6.0
10332,-5.5
10333,-5.0
10334,-4.5
10335,-5.0
10336,-5.5
10337,-5.0
10338,-4.5
10339,-5.0
10340,-5.5
10341,-6.0
10342,-5.5
10343,-5.0
10344,-4.5
10345,-5.0
10346,-4.5
10347,-4.0
10348,-4.5
10349,-5.0
10350,-4.5
10351,-5.0
10352,-5.5
10353,-6.0
10354,-6.5
10355,-6.0
10356,-6.5
10357,-7.0
