,0
-0.5,5.3962
0.0,5.46715
0.5,5.43335
1.0,5.2692
-1.0,5.2746
-1.5,5.0444
1.5,4.9724
2.0,4.63515
2.5,4.30085
3.0,3.88905
3.5,3.43845
-2.0,4.70225
-2.5,4.30025
-3.0,3.86865
-3.5,3.4097
-4.0,2.97385
-4.5,2.5604
-5.0,2.15155
-5.5,1.7708
-6.0,1.43135
-6.5,1.12895
4.0,2.9872
4.5,2.55615
5.0,2.17275
5.5,1.78365
6.0,1.45005
6.5,1.1485
7.0,0.884
-7.0,0.8568
-7.5,0.647
-8.0,0.4748
-8.5,0.34415
-9.0,0.24475
-9.5,0.17105
-10.0,0.121
7.5,0.6835
8.0,0.52555
8.5,0.39485
9.0,0.2926
9.5,0.20995
-10.5,0.08265
10.0,0.1483
10.5,0.09795
11.0,0.0611
11.5,0.0373
12.0,0.02455
12.5,0.01675
13.0,0.01035
13.5,0.0065
14.0,0.00385
-11.0,0.0573
-11.5,0.03705
-12.0,0.02105
-12.5,0.01045
14.5,0.0017
-13.0,0.0057
-13.5,0.00315
-14.0,0.00265
-14.5,0.00175
-15.0,0.00105
-15.5,0.00045
15.0,0.00085
15.5,0.0004
-16.0,0.00015
16.0,0.0001
16.5,5e-05
