,Energy
10000,-64.7991360871878
10001,-64.79913608307572
10002,-64.79913607074229
10003,-64.79913608307572
10004,-64.79913607074229
10005,-64.79913605019597
10006,-64.79913602145083
10007,-64.79913598452659
10008,-64.79913602145083
10009,-64.79913605019597
10010,-64.79913605019597
10011,-64.79913607074229
10012,-64.79913605019597
10013,-64.79913607074229
10014,-64.79913605019597
10015,-64.79913602145083
10016,-64.79913598452659
10017,-64.79913593944855
10018,-64.79913588624757
10019,-64.79913593944855
10020,-64.79913588624757
10021,-64.79913593944855
10022,-64.79913588624757
10023,-64.79913593944855
10024,-64.79913588624757
10025,-64.79913582496016
10026,-64.7991357556283
10027,-64.7991356782995
10028,-64.7991357556283
10029,-64.7991357556283
10030,-64.79913582496016
10031,-64.79913582496016
10032,-64.7991357556283
10033,-64.79913582496016
10034,-64.79913588624757
10035,-64.79913582496016
10036,-64.7991357556283
10037,-64.79913582496016
10038,-64.7991357556283
10039,-64.79913582496016
10040,-64.7991357556283
10041,-64.79913582496016
10042,-64.79913582496016
10043,-64.79913588624757
10044,-64.79913593944855
10045,-64.79913598452659
10046,-64.79913593944855
10047,-64.79913588624757
10048,-64.79913582496016
10049,-64.79913582496016
10050,-64.79913588624757
10051,-64.79913582496016
10052,-64.7991357556283
10053,-64.7991357556283
10054,-64.7991356782995
10055,-64.7991357556283
10056,-64.79913582496016
10057,-64.7991357556283
10058,-64.79913582496016
10059,-64.7991357556283
10060,-64.79913582496016
10061,-64.7991357556283
10062,-64.79913582496016
10063,-64.79913588624757
10064,-64.79913582496016
10065,-64.7991357556283
10066,-64.79913582496016
10067,-64.7991357556283
10068,-64.7991356782995
10069,-64.7991356782995
10070,-64.7991357556283
10071,-64.79913582496016
10072,-64.79913588624757
10073,-64.79913593944855
10074,-64.79913598452659
10075,-64.79913602145083
10076,-64.79913598452659
10077,-64.79913593944855
10078,-64.79913588624757
10079,-64.79913582496016
10080,-64.79913588624757
10081,-64.79913582496016
10082,-64.79913588624757
10083,-64.79913593944855
10084,-64.79913588624757
10085,-64.79913593944855
10086,-64.79913598452659
10087,-64.79913593944855
10088,-64.79913588624757
10089,-64.79913593944855
10090,-64.79913598452659
10091,-64.79913593944855
10092,-64.79913598452659
10093,-64.79913602145083
10094,-64.79913598452659
10095,-64.79913593944855
10096,-64.79913593944855
10097,-64.79913588624757
10098,-64.79913582496016
10099,-64.79913588624757
10100,-64.79913582496016
10101,-64.7991357556283
10102,-64.7991356782995
10103,-64.79913559302679
10104,-64.7991356782995
10105,-64.7991357556283
10106,-64.79913582496016
10107,-64.79913588624757
10108,-64.79913582496016
10109,-64.79913588624757
10110,-64.79913593944855
10111,-64.79913598452659
10112,-64.79913593944855
10113,-64.79913588624757
10114,-64.79913593944855
10115,-64.79913588624757
10116,-64.79913593944855
10117,-64.79913598452659
10118,-64.79913602145083
10119,-64.79913605019597
10120,-64.79913602145083
10121,-64.79913598452659
10122,-64.79913602145083
10123,-64.79913605019597
10124,-64.79913607074229
10125,-64.79913605019597
10126,-64.79913602145083
10127,-64.79913605019597
10128,-64.79913602145083
10129,-64.79913605019597
10130,-64.79913607074229
10131,-64.79913605019597
10132,-64.79913607074229
10133,-64.79913607074229
10134,-64.79913605019597
10135,-64.79913605019597
10136,-64.79913607074229
10137,-64.79913608307572
10138,-64.7991360871878
10139,-64.79913608307572
10140,-64.79913607074229
10141,-64.79913605019597
10142,-64.79913602145083
10143,-64.79913605019597
10144,-64.79913607074229
10145,-64.79913605019597
10146,-64.79913602145083
10147,-64.79913598452659
10148,-64.79913602145083
10149,-64.79913605019597
10150,-64.79913602145083
10151,-64.79913605019597
10152,-64.79913607074229
10153,-64.79913608307572
10154,-64.7991360871878
10155,-64.79913608307572
10156,-64.7991360871878
10157,-64.79913608307572
10158,-64.7991360871878
10159,-64.79913608307572
10160,-64.7991360871878
10161,-64.79913608307572
10162,-64.7991360871878
10163,-64.79913608307572
10164,-64.79913607074229
10165,-64.79913608307572
10166,-64.7991360871878
10167,-64.79913608307572
10168,-64.79913607074229
10169,-64.79913608307572
10170,-64.79913607074229
10171,-64.79913605019597
10172,-64.79913607074229
10173,-64.79913605019597
10174,-64.79913602145083
10175,-64.79913598452659
10176,-64.79913602145083
10177,-64.79913598452659
10178,-64.79913593944853
10179,-64.79913588624757
10180,-64.79913582496016
10181,-64.7991357556283
10182,-64.7991357556283
10183,-64.7991356782995
10184,-64.7991357556283
10185,-64.79913582496016
10186,-64.79913588624757
10187,-64.79913582496016
10188,-64.79913588624757
10189,-64.79913582496016
10190,-64.79913588624757
10191,-64.79913582496016
10192,-64.7991357556283
10193,-64.7991357556283
10194,-64.79913582496016
10195,-64.7991357556283
10196,-64.7991356782995
10197,-64.7991356782995
10198,-64.79913559302679
10199,-64.7991356782995
10200,-64.79913559302679
10201,-64.7991356782995
10202,-64.79913559302679
10203,-64.79913549986856
10204,-64.79913559302679
10205,-64.7991356782995
10206,-64.7991357556283
10207,-64.79913582496016
10208,-64.79913588624757
10209,-64.79913582496016
10210,-64.7991357556283
10211,-64.79913582496016
10212,-64.7991357556283
10213,-64.79913582496016
10214,-64.79913588624757
10215,-64.79913593944853
10216,-64.79913598452659
10217,-64.79913593944853
10218,-64.79913588624757
10219,-64.79913582496016
10220,-64.7991357556283
10221,-64.7991356782995
10222,-64.79913559302679
10223,-64.79913549986856
10224,-64.79913559302679
10225,-64.7991356782995
10226,-64.7991357556283
10227,-64.79913582496016
10228,-64.79913588624757
10229,-64.79913588624757
10230,-64.79913593944853
10231,-64.79913598452659
10232,-64.79913602145083
10233,-64.79913605019597
10234,-64.79913607074229
10235,-64.79913608307572
10236,-64.7991360871878
10237,-64.79913608307572
10238,-64.7991360871878
10239,-64.79913608307572
10240,-64.79913607074229
10241,-64.79913608307572
10242,-64.79913607074229
10243,-64.79913605019597
10244,-64.79913602145083
10245,-64.79913598452659
10246,-64.79913593944855
10247,-64.79913598452659
10248,-64.79913593944855
10249,-64.79913588624757
10250,-64.79913593944855
10251,-64.79913598452659
10252,-64.79913593944855
10253,-64.79913588624757
10254,-64.79913593944855
10255,-64.79913593944855
10256,-64.79913588624757
10257,-64.79913582496016
10258,-64.7991357556283
10259,-64.79913582496016
10260,-64.7991357556283
10261,-64.79913582496016
10262,-64.79913588624757
10263,-64.79913582496016
10264,-64.79913582496016
10265,-64.7991357556283
10266,-64.7991356782995
10267,-64.7991357556283
10268,-64.79913582496016
10269,-64.7991357556283
10270,-64.79913582496016
10271,-64.79913588624757
10272,-64.79913582496016
10273,-64.7991357556283
10274,-64.7991356782995
10275,-64.79913559302679
10276,-64.7991356782995
10277,-64.79913559302679
10278,-64.79913549986856
10279,-64.79913559302679
10280,-64.7991356782995
10281,-64.79913559302679
