,occurences
0.99966,1.10285
0.99863,1.10985
0.99692,1.1118
1.0,0.5422
0.99452,1.12235
0.99144,1.1268
0.98769,1.11365
0.98325,1.09805
0.97815,1.09765
0.97237,1.08635
0.96593,1.0726
0.95882,1.0741
0.95106,1.08495
0.94264,1.0835
0.93358,1.0815
0.92388,1.07045
0.91355,1.0656
0.90259,1.0759
0.89101,1.09385
0.87882,1.1065
0.86603,1.10065
0.85264,1.0977
0.83867,1.085
0.82413,1.07325
0.80902,1.0618
0.79335,1.04045
0.77715,1.02355
0.76041,1.01315
0.74314,1.0184
0.72537,1.0187
0.70711,1.00635
0.68835,0.99865
0.66913,1.0027
0.64945,1.01185
0.62932,0.99145
0.60876,0.9617
0.58779,0.95325
0.56641,0.9426
0.54464,0.94185
0.5225,0.9595
0.5,0.958
0.47716,0.94995
0.45399,0.9438
0.43051,0.945
0.40674,0.94735
0.38268,0.95245
0.35837,0.97575
0.33381,0.98575
0.30902,0.97615
0.28402,0.9691
0.25882,0.95785
0.23345,0.93765
0.20791,0.9301
0.18224,0.9261
0.15643,0.9158
0.13053,0.91155
0.10453,0.89585
0.07846,0.88125
0.05234,0.88645
0.02618,0.88055
0.0,0.87115
-0.02618,0.8695
-0.05234,0.8497
-0.07846,0.82895
-0.10453,0.8291
-0.13053,0.8273
-0.15643,0.81255
-0.18224,0.79555
-0.20791,0.7849
-0.23345,0.7748
-0.25882,0.7601
-0.28402,0.73955
-0.30902,0.73075
-0.33381,0.7193
-0.35837,0.7128
-0.38268,0.7027
-0.40674,0.68
-0.43051,0.6488
-0.45399,0.63905
-0.47716,0.64785
-0.5,0.64655
-0.5225,0.64305
-0.54464,0.6332
-0.56641,0.62525
-0.58779,0.6218
-0.60876,0.6159
-0.62932,0.6223
-0.64945,0.62295
-0.66913,0.6158
-0.68835,0.61995
-0.70711,0.624
-0.72537,0.62335
-0.74314,0.6222
-0.76041,0.62675
-0.77715,0.62975
-0.79335,0.6317
-0.80902,0.63305
-0.82413,0.6246
-0.83867,0.61975
-0.85264,0.6206
-0.86603,0.61895
-0.87882,0.6207
-0.89101,0.6283
-0.90259,0.6388
-0.91355,0.6379
-0.92388,0.6324
-0.93358,0.619
-0.94264,0.59435
-0.95106,0.5755
-0.95882,0.565
-0.96593,0.55455
-0.97237,0.54235
-0.97815,0.54005
-0.98325,0.54125
-0.98769,0.53805
-0.99144,0.54735
-0.99452,0.5581
-0.99692,0.56045
-0.99863,0.5581
-0.99966,0.5553
-1.0,0.27715
