,Count,Count2
0.0,0.003854,0.003273
0.5,0.003849,0.003269
1.0,0.003861,0.003204
1.5,0.00392,0.003084
2.0,0.003895,0.002996
2.5,0.003861,0.002934
3.0,0.003864,0.002915
3.5,0.003915,0.002926
4.0,0.003939,0.002957
4.5,0.00391,0.003015
5.0,0.003757,0.003105
5.5,0.003592,0.003194
6.0,0.00346,0.003236
6.5,0.003348,0.003224
7.0,0.003347,0.003249
7.5,0.003377,0.003326
8.0,0.00337,0.003301
8.5,0.003379,0.003229
9.0,0.003369,0.003236
9.5,0.003389,0.003284
10.0,0.003449,0.003358
10.5,0.003497,0.003396
11.0,0.003522,0.003452
11.5,0.003423,0.003548
12.0,0.003318,0.003621
12.5,0.003185,0.0037
13.0,0.00312,0.003772
13.5,0.003166,0.003814
14.0,0.003278,0.003892
14.5,0.003399,0.003929
15.0,0.003433,0.003864
15.5,0.003529,0.003811
16.0,0.003643,0.003842
16.5,0.003702,0.003888
17.0,0.003782,0.003885
17.5,0.003839,0.003842
18.0,0.003866,0.003745
18.5,0.003926,0.003777
19.0,0.003917,0.003852
19.5,0.003839,0.003873
20.0,0.00385,0.003906
20.5,0.003959,0.003928
21.0,0.004034,0.003948
21.5,0.004048,0.003952
22.0,0.004052,0.003844
22.5,0.004073,0.003712
23.0,0.004093,0.0036
23.5,0.004046,0.003411
24.0,0.003891,0.003214
24.5,0.003753,0.003122
25.0,0.003746,0.003155
25.5,0.003707,0.003171
26.0,0.003651,0.003126
26.5,0.003669,0.003069
27.0,0.00377,0.003046
27.5,0.00391,0.003089
28.0,0.003991,0.003267
28.5,0.004111,0.003388
29.0,0.004323,0.00347
29.5,0.004482,0.003596
30.0,0.004449,0.003603
30.5,0.004387,0.003573
31.0,0.004526,0.003465
31.5,0.004536,0.003391
32.0,0.004511,0.003435
32.5,0.004629,0.003545
33.0,0.004616,0.003571
33.5,0.004527,0.00361
34.0,0.004531,0.0038
34.5,0.004706,0.003865
