,Angle
10000,28.5
10001,28.0
10002,28.5
10003,28.0
10004,27.5
10005,27.0
10006,26.5
10007,27.0
10008,27.5
10009,28.0
10010,28.5
10011,29.0
10012,28.5
10013,28.0
10014,28.5
10015,29.0
10016,28.5
10017,28.0
10018,27.5
10019,28.0
10020,28.5
10021,29.0
10022,29.5
10023,29.0
10024,29.5
10025,29.0
10026,28.5
10027,29.0
10028,28.5
10029,28.0
10030,27.5
10031,28.0
10032,28.5
10033,29.0
10034,29.5
10035,30.0
10036,29.5
10037,29.0
10038,29.5
10039,29.0
10040,29.5
10041,30.0
10042,30.5
10043,30.0
10044,29.5
10045,29.0
10046,29.5
10047,30.0
10048,30.5
10049,30.0
10050,29.5
10051,30.0
10052,29.5
10053,30.0
10054,30.5
10055,31.0
10056,30.5
10057,30.0
10058,30.5
10059,31.0
10060,31.5
10061,32.0
10062,32.5
10063,33.0
10064,33.5
10065,33.0
10066,32.5
10067,32.0
10068,32.5
10069,32.0
10070,32.5
10071,33.0
10072,32.5
10073,33.0
10074,32.5
10075,32.0
10076,32.5
10077,32.0
10078,31.5
10079,31.0
10080,30.5
10081,31.0
10082,31.5
10083,31.0
10084,31.5
10085,31.0
10086,31.5
10087,32.0
10088,32.5
10089,33.0
10090,32.5
10091,32.0
10092,31.5
10093,32.0
10094,31.5
10095,32.0
10096,32.5
10097,33.0
10098,32.5
10099,33.0
10100,33.5
10101,33.0
10102,32.5
10103,33.0
10104,32.5
10105,33.0
10106,33.5
10107,34.0
10108,33.5
10109,34.0
10110,33.5
10111,34.0
10112,34.5
10113,34.0
10114,34.5
10115,34.0
10116,34.5
10117,35.0
10118,34.5
10119,34.0
10120,34.5
10121,34.0
10122,33.5
10123,34.0
10124,33.5
10125,34.0
10126,34.5
10127,35.0
10128,35.5
10129,36.0
10130,36.5
10131,37.0
10132,37.5
10133,37.0
10134,36.5
10135,36.0
10136,35.5
10137,36.0
10138,35.5
10139,35.0
10140,35.5
10141,36.0
10142,36.5
10143,36.0
10144,36.5
10145,36.0
10146,35.5
10147,36.0
10148,35.5
10149,35.0
10150,35.5
10151,35.0
10152,35.5
10153,35.0
10154,35.5
10155,36.0
10156,35.5
10157,36.0
10158,35.5
10159,36.0
10160,36.5
10161,37.0
10162,36.5
10163,37.0
10164,36.5
10165,37.0
10166,36.5
10167,36.0
10168,35.5
10169,36.0
10170,35.5
10171,36.0
10172,35.5
10173,35.0
10174,34.5
10175,35.0
10176,35.5
10177,35.0
10178,34.5
10179,35.0
10180,34.5
10181,35.0
10182,34.5
10183,34.0
10184,34.5
10185,34.0
10186,34.5
10187,34.0
10188,33.5
10189,33.0
10190,32.5
10191,32.0
10192,31.5
10193,31.0
10194,31.5
10195,32.0
10196,32.5
10197,33.0
10198,33.5
10199,33.0
10200,32.5
10201,33.0
10202,32.5
10203,32.0
10204,32.5
10205,32.0
10206,31.5
10207,31.0
10208,31.5
10209,32.0
10210,32.5
10211,32.0
10212,31.5
10213,32.0
10214,32.5
10215,32.0
10216,31.5
10217,32.0
10218,32.5
10219,33.0
10220,32.5
10221,32.0
10222,32.5
10223,33.0
10224,32.5
10225,32.0
10226,32.5
10227,33.0
10228,32.5
10229,33.0
10230,32.5
10231,33.0
10232,32.5
10233,33.0
10234,33.5
10235,33.0
10236,33.5
10237,34.0
10238,33.5
10239,34.0
10240,34.5
10241,35.0
10242,35.5
10243,36.0
10244,35.5
10245,36.0
10246,36.5
10247,37.0
10248,36.5
10249,36.0
10250,35.5
10251,35.0
10252,34.5
10253,34.0
10254,34.5
10255,35.0
10256,35.5
10257,35.0
10258,35.5
10259,35.0
10260,34.5
10261,34.0
10262,33.5
10263,33.0
10264,32.5
10265,33.0
10266,33.5
10267,33.0
10268,32.5
10269,32.0
10270,32.5
10271,32.0
10272,32.5
10273,33.0
10274,32.5
10275,32.0
10276,32.5
10277,32.0
10278,31.5
10279,31.0
10280,30.5
10281,31.0
10282,30.5
10283,30.0
10284,29.5
10285,30.0
10286,29.5
10287,29.0
10288,29.5
10289,29.0
10290,28.5
10291,29.0
10292,28.5
10293,28.0
10294,27.5
10295,28.0
10296,28.5
10297,28.0
10298,28.5
10299,29.0
10300,29.5
10301,30.0
10302,30.5
10303,31.0
10304,31.5
10305,32.0
10306,32.5
10307,32.0
10308,32.5
10309,33.0
10310,32.5
10311,32.0
10312,32.5
10313,33.0
10314,33.5
10315,34.0
10316,33.5
10317,34.0
10318,34.5
10319,35.0
10320,35.5
10321,36.0
10322,35.5
10323,36.0
10324,36.5
10325,37.0
10326,36.5
10327,37.0
10328,36.5
10329,37.0
10330,37.5
10331,37.0
10332,37.5
10333,38.0
10334,38.5
10335,39.0
10336,38.5
10337,38.0
10338,37.5
10339,38.0
10340,38.5
10341,39.0
10342,39.5
10343,40.0
10344,39.5
10345,40.0
10346,39.5
10347,40.0
10348,40.5
10349,40.0
10350,40.5
10351,41.0
10352,40.5
10353,40.0
10354,39.5
10355,40.0
10356,39.5
10357,40.0
10358,40.5
10359,41.0
10360,40.5
10361,40.0
10362,39.5
10363,39.0
10364,39.5
10365,39.0
10366,38.5
10367,38.0
10368,38.5
10369,38.0
10370,37.5
10371,37.0
10372,37.5
10373,38.0
10374,38.5
10375,38.0
10376,37.5
10377,38.0
10378,37.5
10379,37.0
10380,37.5
10381,38.0
10382,38.5
10383,39.0
10384,38.5
10385,39.0
10386,38.5
10387,38.0
10388,37.5
10389,37.0
