,Energy
10000,-64.79913602145083
10001,-64.79913598452659
10002,-64.79913593944853
10003,-64.79913598452659
10004,-64.79913593944853
10005,-64.79913588624757
10006,-64.79913588624757
10007,-64.79913593944853
10008,-64.79913598452659
10009,-64.79913602145083
10010,-64.79913605019597
10011,-64.79913607074229
10012,-64.79913608307572
10013,-64.7991360871878
10014,-64.79913608307572
10015,-64.7991360871878
10016,-64.79913608307572
10017,-64.79913607074229
10018,-64.79913605019597
10019,-64.79913607074229
10020,-64.79913605019597
10021,-64.79913602145083
10022,-64.79913605019597
10023,-64.79913602145083
10024,-64.79913605019597
10025,-64.79913607074229
10026,-64.79913605019597
10027,-64.79913602145083
10028,-64.79913605019597
10029,-64.79913602145083
10030,-64.79913605019597
10031,-64.79913602145083
10032,-64.79913605019597
10033,-64.79913602145083
10034,-64.79913605019597
10035,-64.79913602145083
10036,-64.79913598452659
10037,-64.79913593944855
10038,-64.79913588624757
10039,-64.79913582496016
10040,-64.79913588624757
10041,-64.79913582496016
10042,-64.79913588624757
10043,-64.79913582496016
10044,-64.7991357556283
10045,-64.79913582496016
10046,-64.79913588624757
10047,-64.79913593944855
10048,-64.79913588624757
10049,-64.79913582496016
10050,-64.7991357556283
10051,-64.7991357556283
10052,-64.79913582496016
10053,-64.79913588624757
10054,-64.79913593944855
10055,-64.79913588624757
10056,-64.79913582496016
10057,-64.79913582496016
10058,-64.79913588624757
10059,-64.79913593944855
10060,-64.79913598452659
10061,-64.79913602145083
10062,-64.79913598452659
10063,-64.79913593944855
10064,-64.79913598452659
10065,-64.79913602145083
10066,-64.79913598452659
10067,-64.79913602145083
10068,-64.79913605019597
10069,-64.79913602145083
10070,-64.79913605019597
10071,-64.79913602145083
10072,-64.79913605019597
10073,-64.79913607074229
10074,-64.79913608307572
10075,-64.7991360871878
10076,-64.79913608307572
10077,-64.7991360871878
10078,-64.79913608307572
10079,-64.7991360871878
10080,-64.79913608307572
10081,-64.79913607074229
10082,-64.79913605019597
10083,-64.79913607074229
10084,-64.79913608307572
10085,-64.7991360871878
10086,-64.79913608307572
10087,-64.79913607074229
10088,-64.79913608307572
10089,-64.79913607074229
10090,-64.79913608307572
10091,-64.79913607074229
10092,-64.79913608307572
10093,-64.79913607074229
10094,-64.79913605019597
10095,-64.79913607074229
10096,-64.79913605019597
10097,-64.79913602145083
10098,-64.79913605019597
10099,-64.79913607074229
10100,-64.79913608307572
10101,-64.79913607074229
10102,-64.79913605019597
10103,-64.79913602145083
10104,-64.79913598452659
10105,-64.79913593944853
10106,-64.79913588624757
10107,-64.79913582496016
10108,-64.79913588624757
10109,-64.79913593944853
10110,-64.79913588624757
10111,-64.79913593944853
10112,-64.79913598452659
10113,-64.79913593944853
10114,-64.79913588624757
10115,-64.79913582496016
10116,-64.7991357556283
10117,-64.7991357556283
10118,-64.79913582496016
10119,-64.79913588624757
10120,-64.79913582496016
10121,-64.7991357556283
10122,-64.79913582496016
10123,-64.79913588624757
10124,-64.79913582496016
10125,-64.79913588624757
10126,-64.79913593944853
10127,-64.79913593944853
10128,-64.79913593944853
10129,-64.79913598452659
10130,-64.79913602145083
10131,-64.79913598452659
10132,-64.79913593944853
10133,-64.79913588624757
10134,-64.79913582496016
10135,-64.79913582496016
10136,-64.7991357556283
10137,-64.7991357556283
10138,-64.7991357556283
10139,-64.79913582496016
10140,-64.7991357556283
10141,-64.79913582496016
10142,-64.7991357556283
10143,-64.79913582496016
10144,-64.79913588624757
10145,-64.79913582496016
10146,-64.79913588624757
10147,-64.79913582496016
10148,-64.79913588624757
10149,-64.79913593944853
10150,-64.79913598452659
10151,-64.79913593944853
10152,-64.79913598452659
10153,-64.79913602145083
10154,-64.79913605019597
10155,-64.79913607074229
10156,-64.79913605019597
10157,-64.79913602145083
10158,-64.79913598452659
10159,-64.79913602145083
10160,-64.79913605019597
10161,-64.79913607074229
10162,-64.79913608307572
10163,-64.7991360871878
10164,-64.79913608307572
10165,-64.7991360871878
10166,-64.79913608307572
10167,-64.79913607074229
10168,-64.79913605019597
10169,-64.79913602145083
10170,-64.79913598452659
10171,-64.79913602145083
10172,-64.79913605019597
10173,-64.79913605019597
10174,-64.79913602145083
10175,-64.79913605019597
10176,-64.79913602145083
10177,-64.79913598452659
10178,-64.79913593944853
10179,-64.79913588624757
10180,-64.79913582496016
10181,-64.79913588624757
10182,-64.79913593944853
10183,-64.79913588624757
10184,-64.79913582496016
10185,-64.79913588624757
10186,-64.79913593944853
10187,-64.79913598452659
10188,-64.79913602145083
10189,-64.79913605019597
10190,-64.79913602145083
10191,-64.79913605019597
10192,-64.79913607074229
10193,-64.79913605019597
10194,-64.79913607074229
10195,-64.79913605019597
10196,-64.79913607074229
10197,-64.79913605019597
10198,-64.79913607074229
10199,-64.79913608307572
10200,-64.7991360871878
10201,-64.79913608307572
10202,-64.79913607074229
10203,-64.79913608307572
10204,-64.7991360871878
10205,-64.79913608307572
10206,-64.7991360871878
10207,-64.79913608307572
10208,-64.7991360871878
10209,-64.79913608307572
10210,-64.79913607074229
10211,-64.79913608307572
10212,-64.7991360871878
10213,-64.79913608307572
10214,-64.7991360871878
10215,-64.79913608307572
10216,-64.7991360871878
10217,-64.79913608307572
10218,-64.79913607074229
10219,-64.79913605019597
10220,-64.79913602145083
10221,-64.79913605019597
10222,-64.79913605019597
10223,-64.79913607074229
10224,-64.79913605019597
10225,-64.79913607074229
10226,-64.79913605019597
10227,-64.79913607074229
10228,-64.79913608307572
10229,-64.79913607074229
10230,-64.79913605019597
10231,-64.79913602145083
10232,-64.79913605019597
10233,-64.79913602145083
10234,-64.79913605019597
10235,-64.79913607074229
10236,-64.79913608307572
10237,-64.79913607074229
10238,-64.79913605019597
10239,-64.79913607074229
10240,-64.79913605019597
10241,-64.79913607074229
10242,-64.79913608307572
10243,-64.79913607074229
10244,-64.79913608307572
10245,-64.79913607074229
10246,-64.79913605019597
10247,-64.79913602145083
10248,-64.79913598452659
10249,-64.79913598452659
10250,-64.79913593944855
10251,-64.79913598452659
10252,-64.79913593944855
10253,-64.79913598452659
10254,-64.79913602145083
10255,-64.79913598452659
10256,-64.79913593944855
10257,-64.79913598452659
10258,-64.79913602145083
10259,-64.79913605019597
10260,-64.79913607074229
10261,-64.79913608307572
10262,-64.79913607074229
10263,-64.79913608307572
10264,-64.79913607074229
10265,-64.79913608307572
10266,-64.7991360871878
10267,-64.79913608307572
10268,-64.7991360871878
10269,-64.79913608307572
10270,-64.79913607074229
10271,-64.79913608307572
10272,-64.79913607074229
10273,-64.79913608307572
10274,-64.79913607074229
10275,-64.79913605019597
10276,-64.79913607074229
10277,-64.79913605019597
10278,-64.79913602145083
10279,-64.79913605019597
10280,-64.79913602145083
10281,-64.79913598452659
10282,-64.79913602145083
10283,-64.79913605019597
10284,-64.79913602145083
10285,-64.79913605019597
10286,-64.79913605019597
10287,-64.79913605019597
10288,-64.79913607074229
10289,-64.79913608307572
10290,-64.79913607074229
10291,-64.79913608307572
10292,-64.7991360871878
10293,-64.79913608307572
10294,-64.79913607074229
10295,-64.79913608307572
10296,-64.7991360871878
