,occurences
0.999847786523272,0.07445
0.9998481213006483,0.06645
0.9998476951563913,0.03945
0.9998486379589867,0.06425
0.9998493658605029,0.0625
0.9998503034701556,0.0602
0.9998514187211305,0.0622
0.9998527395380569,0.066
0.9998542929013835,0.06875
0.9998559861650068,0.07135
0.9998579050033226,0.0751
0.9998599862603352,0.0748
0.9998622260435508,0.0753
0.9998646775614946,0.0821
0.9998672493009996,0.0883
0.9998699934410772,0.08835
0.9998729037774065,0.0859
0.9998759186767312,0.08775
0.9998790874458007,0.09375
0.9998823758977066,0.0979
0.9998857773436987,0.09755
0.9998892847660349,0.0967
0.9998928652721496,0.1006
0.9998965627226539,0.1054
0.9999003184993512,0.1018
0.9999041257030966,0.0966
0.9999080245545365,0.09935
0.9999119351537005,0.10355
0.999915896673336,0.10585
0.9999198554414891,0.10645
0.9999238480722328,0.10155
0.9999278225992205,0.10075
0.9999318129559892,0.10585
0.9999357690036479,0.11205
0.9999396835410498,0.1212
0.9999435492207985,0.1281
0.9999473764558688,0.1263
0.9999511383990947,0.1275
0.9999548272277727,0.1293
0.9999584190584353,0.13425
0.9999619230641713,0.14395
0.9999653164854454,0.1569
0.9999686069022075,0.16785
0.9999717727215158,0.17315
0.9999748075003717,0.17855
0.999977693057422,0.1851
0.9999804359247139,0.1948
0.9999830294399107,0.21115
0.9999854574473185,0.22865
0.9999877154138468,0.24575
0.9999897987698658,0.2559
0.9999917029092094,0.2658
0.9999934168577174,0.2823
0.9999949438363879,0.302
0.999996274385053,0.31995
0.9999974061457146,0.33575
0.9999983367512718,0.3536
0.9999990614357993,0.3746
0.9999995833915378,0.3967
0.999999895449211,0.41905
1.0,0.4362
