,Energy
10000,-32.39929268130329
10001,-32.3992926708263
10002,-32.39929268130329
10003,-32.39929269134202
10004,-32.39929270093561
10005,-32.39929269134202
10006,-32.39929268130329
10007,-32.39929269134202
10008,-32.39929270093561
10009,-32.39929271007749
10010,-32.39929271876139
10011,-32.39929271007749
10012,-32.39929270093561
10013,-32.39929271007749
10014,-32.39929271007749
10015,-32.39929270093561
10016,-32.39929271007749
10017,-32.39929270093561
10018,-32.39929269134202
10019,-32.39929268130329
10020,-32.39929269134202
10021,-32.39929268130329
10022,-32.39929269134202
10023,-32.39929270093561
10024,-32.39929271007749
10025,-32.39929271876139
10026,-32.399292726981365
10027,-32.39929273473176
10028,-32.399292726981365
10029,-32.39929273473176
10030,-32.39929274200729
10031,-32.39929273473176
10032,-32.399292726981365
10033,-32.39929271876139
10034,-32.39929271007749
10035,-32.39929270093561
10036,-32.39929271007749
10037,-32.39929270093561
10038,-32.39929271007749
10039,-32.39929270093561
10040,-32.39929271007749
10041,-32.39929270093561
10042,-32.39929271007749
10043,-32.39929270093561
10044,-32.39929271007749
10045,-32.39929270093561
10046,-32.39929269134202
10047,-32.39929270093561
10048,-32.39929271007749
10049,-32.39929271007749
10050,-32.39929270093561
10051,-32.39929270093561
10052,-32.39929269134202
10053,-32.39929268130329
10054,-32.3992926708263
10055,-32.39929268130329
10056,-32.39929269134202
10057,-32.39929268130329
10058,-32.3992926708263
10059,-32.39929268130329
10060,-32.39929269134202
10061,-32.39929268130329
10062,-32.39929269134202
10063,-32.39929270093561
10064,-32.39929271007749
10065,-32.39929271876139
10066,-32.399292726981365
10067,-32.39929273473176
10068,-32.399292726981365
10069,-32.39929271876139
10070,-32.39929271007749
10071,-32.39929270093561
10072,-32.39929271007749
10073,-32.39929271876139
10074,-32.39929271007749
10075,-32.39929270093561
10076,-32.39929271007749
10077,-32.39929270093561
10078,-32.39929269134202
10079,-32.39929270093561
10080,-32.39929271007749
10081,-32.39929271876139
10082,-32.39929271007749
10083,-32.39929271876139
10084,-32.39929271007749
10085,-32.39929271876139
10086,-32.39929271007749
10087,-32.39929271876139
10088,-32.399292726981365
10089,-32.39929271876139
10090,-32.39929271007749
10091,-32.39929271876139
10092,-32.399292726981365
10093,-32.39929271876139
10094,-32.39929271007749
10095,-32.39929270093561
10096,-32.39929269134202
10097,-32.39929270093561
10098,-32.39929269134202
10099,-32.39929268130329
10100,-32.3992926708263
10101,-32.399292659918224
10102,-32.39929264858656
10103,-32.399292659918224
10104,-32.3992926708263
10105,-32.39929268130329
10106,-32.39929269134202
10107,-32.39929268130329
10108,-32.3992926708263
10109,-32.399292659918224
10110,-32.39929264858656
10111,-32.399292659918224
10112,-32.39929264858656
10113,-32.399292659918224
10114,-32.3992926708263
10115,-32.399292659918224
10116,-32.3992926708263
10117,-32.399292659918224
10118,-32.39929264858656
10119,-32.399292659918224
10120,-32.39929264858656
10121,-32.39929263683904
10122,-32.39929264858656
10123,-32.399292659918224
10124,-32.3992926708263
10125,-32.39929268130329
10126,-32.3992926708263
10127,-32.39929268130329
10128,-32.39929269134202
10129,-32.39929270093561
10130,-32.39929271007749
10131,-32.39929271876139
10132,-32.399292726981365
10133,-32.39929273473176
10134,-32.39929274200729
10135,-32.39929273473176
10136,-32.399292726981365
10137,-32.39929273473176
10138,-32.39929274200729
10139,-32.39929274880296
10140,-32.39929274200729
10141,-32.39929274880296
10142,-32.399292755114104
10143,-32.399292760936405
10144,-32.399292755114104
10145,-32.399292760936405
10146,-32.399292766265866
10147,-32.399292760936405
10148,-32.399292755114104
10149,-32.39929274880296
10150,-32.39929274200729
10151,-32.39929274880296
10152,-32.39929274200729
10153,-32.39929274880296
10154,-32.39929274200729
10155,-32.39929273473176
10156,-32.399292726981365
10157,-32.39929273473176
10158,-32.399292726981365
10159,-32.39929273473176
10160,-32.39929274200729
10161,-32.39929273473176
10162,-32.39929274200729
10163,-32.39929274880296
10164,-32.399292755114104
10165,-32.39929274880296
10166,-32.399292755114104
10167,-32.39929274880296
10168,-32.399292755114104
10169,-32.39929274880296
10170,-32.39929274200729
10171,-32.39929273473176
10172,-32.399292726981365
10173,-32.39929271876139
10174,-32.399292726981365
10175,-32.39929271876139
10176,-32.399292726981365
10177,-32.39929271876139
10178,-32.39929271007749
10179,-32.39929271876139
10180,-32.39929271007749
10181,-32.39929270093561
10182,-32.39929271007749
10183,-32.39929271876139
10184,-32.399292726981365
10185,-32.39929271876139
10186,-32.39929271007749
10187,-32.39929271876139
10188,-32.399292726981365
10189,-32.39929273473176
10190,-32.399292726981365
10191,-32.39929271876139
10192,-32.39929271007749
10193,-32.39929271876139
10194,-32.399292726981365
10195,-32.39929271876139
