,Energy
10000,10.799763769413204
10001,10.799763768136403
10002,10.799763767028068
10003,10.799763768136403
10004,10.799763769413204
10005,10.799763770857595
10006,10.799763770857595
10007,10.799763769413204
10008,10.799763770857595
10009,10.799763772468589
10010,10.799763770857595
10011,10.799763770857595
10012,10.799763772468589
10013,10.799763772468589
10014,10.799763774245076
10015,10.799763772468589
10016,10.799763774245076
10017,10.79976377618584
10018,10.799763774245076
10019,10.79976377618584
10020,10.799763778289556
10021,10.79976377618584
10022,10.799763774245076
10023,10.799763772468589
10024,10.799763770857595
10025,10.799763769413204
10026,10.799763770857595
10027,10.799763772468589
10028,10.799763772468589
10029,10.799763774245076
10030,10.79976377618584
10031,10.799763778289556
10032,10.79976377618584
10033,10.799763778289556
10034,10.799763780554779
10035,10.799763778289556
10036,10.799763778289556
10037,10.799763778289556
10038,10.799763778289556
10039,10.79976377618584
10040,10.799763774245076
10041,10.79976377618584
10042,10.799763774245076
10043,10.79976377618584
10044,10.799763774245076
10045,10.799763772468589
10046,10.799763770857595
10047,10.799763769413204
10048,10.799763770857595
10049,10.799763769413204
10050,10.799763770857595
10051,10.799763770857595
10052,10.799763772468589
10053,10.799763774245076
10054,10.799763774245076
10055,10.79976377618584
10056,10.799763774245076
10057,10.79976377618584
10058,10.799763774245076
10059,10.79976377618584
10060,10.799763774245076
10061,10.799763772468589
10062,10.799763770857595
10063,10.799763769413204
10064,10.799763770857595
10065,10.799763769413204
10066,10.799763768136403
10067,10.799763767028068
10068,10.799763766088956
10069,10.799763767028068
10070,10.799763766088956
10071,10.799763765319714
10072,10.799763764720865
10073,10.799763764292823
10074,10.79976376403588
10075,10.799763764292823
10076,10.79976376403588
10077,10.799763764292823
10078,10.799763764720865
10079,10.799763765319714
10080,10.799763764720865
10081,10.799763764292823
10082,10.799763764720865
10083,10.799763764292823
10084,10.79976376403588
10085,10.799763763950214
10086,10.79976376403588
10087,10.799763763950214
10088,10.79976376403588
10089,10.799763764292823
10090,10.79976376403588
10091,10.799763764292823
10092,10.79976376403588
10093,10.799763764292823
10094,10.79976376403588
10095,10.799763764292823
10096,10.79976376403588
10097,10.799763764292823
10098,10.79976376403588
10099,10.799763764292823
10100,10.79976376403588
10101,10.799763763950214
10102,10.79976376403588
10103,10.799763763950214
10104,10.79976376403588
10105,10.799763763950214
10106,10.79976376403588
10107,10.799763763950214
10108,10.79976376403588
10109,10.799763763950214
10110,10.79976376403588
10111,10.799763764292823
10112,10.799763764720865
10113,10.799763765319714
10114,10.799763766088956
10115,10.799763765319714
10116,10.799763766088956
10117,10.799763767028068
10118,10.799763768136403
10119,10.799763767028068
10120,10.799763768136403
10121,10.799763767028068
10122,10.799763768136403
10123,10.799763767028068
10124,10.799763766088956
10125,10.799763765319714
10126,10.799763766088956
10127,10.799763767028068
10128,10.799763768136403
10129,10.799763767028068
10130,10.799763766088956
10131,10.799763765319714
10132,10.799763764720865
10133,10.799763765319714
10134,10.799763764720865
10135,10.799763764720865
10136,10.799763764292823
10137,10.79976376403588
10138,10.799763763950214
10139,10.79976376403588
10140,10.799763763950214
10141,10.79976376403588
10142,10.799763763950214
10143,10.79976376403588
10144,10.799763763950214
10145,10.79976376403588
10146,10.799763764292823
10147,10.799763764720863
10148,10.799763765319714
10149,10.799763766088954
10150,10.799763767028068
10151,10.799763768136405
10152,10.799763768136405
10153,10.799763769413204
10154,10.799763770857595
10155,10.799763770857595
10156,10.799763770857595
10157,10.799763772468589
10158,10.799763772468589
10159,10.799763774245076
10160,10.799763776185841
10161,10.799763778289556
10162,10.799763776185841
10163,10.799763774245076
10164,10.799763776185841
10165,10.799763774245076
10166,10.799763772468589
10167,10.799763770857595
10168,10.799763769413204
10169,10.799763770857595
10170,10.799763769413204
10171,10.799763769413204
10172,10.799763770857595
10173,10.799763772468589
10174,10.799763774245076
10175,10.799763772468589
10176,10.799763774245076
10177,10.799763772468589
10178,10.799763774245076
10179,10.799763776185841
10180,10.799763774245076
10181,10.799763774245076
10182,10.799763772468589
10183,10.799763774245076
10184,10.799763772468589
10185,10.799763770857595
10186,10.799763772468589
10187,10.799763770857595
10188,10.799763769413204
10189,10.799763770857595
10190,10.799763769413204
10191,10.799763768136405
10192,10.799763767028068
10193,10.799763766088954
10194,10.799763765319714
10195,10.799763764720863
10196,10.799763765319714
10197,10.799763764720863
10198,10.799763764292823
10199,10.799763764720863
10200,10.799763765319714
10201,10.799763764720863
10202,10.799763765319714
10203,10.799763766088954
10204,10.799763767028068
10205,10.799763766088954
10206,10.799763767028068
10207,10.799763766088954
10208,10.799763767028068
10209,10.799763767028068
10210,10.799763766088954
10211,10.799763767028068
10212,10.799763768136405
10213,10.799763769413204
10214,10.799763768136405
10215,10.799763767028068
10216,10.799763766088954
10217,10.799763767028068
10218,10.799763768136405
10219,10.799763767028068
10220,10.799763768136405
10221,10.799763769413204
10222,10.799763768136405
10223,10.799763767028068
10224,10.799763768136405
10225,10.799763767028068
10226,10.799763768136405
10227,10.799763768136405
10228,10.799763767028068
10229,10.799763768136405
10230,10.799763767028068
10231,10.799763766088954
10232,10.799763765319714
10233,10.799763766088954
10234,10.799763765319714
10235,10.799763764720863
10236,10.799763765319714
10237,10.799763764720863
10238,10.799763764292823
10239,10.79976376403588
10240,10.799763764292823
10241,10.79976376403588
10242,10.79976376403588
10243,10.799763763950214
10244,10.79976376403588
10245,10.799763763950214
10246,10.79976376403588
10247,10.799763763950214
10248,10.79976376403588
10249,10.799763763950214
10250,10.79976376403588
10251,10.799763764292823
10252,10.799763764720865
10253,10.799763765319714
10254,10.799763766088956
10255,10.799763765319714
10256,10.799763764720865
10257,10.799763764292823
10258,10.79976376403588
10259,10.799763764292823
10260,10.799763764720865
10261,10.799763764292823
10262,10.799763764720865
10263,10.799763764292823
10264,10.79976376403588
10265,10.799763763950214
10266,10.79976376403588
10267,10.799763763950214
10268,10.79976376403588
10269,10.799763763950214
10270,10.79976376403588
10271,10.799763764292823
10272,10.79976376403588
10273,10.799763764292823
10274,10.79976376403588
10275,10.799763764292823
10276,10.79976376403588
10277,10.799763763950214
10278,10.79976376403588
10279,10.799763764292823
10280,10.799763764720863
10281,10.799763765319714
10282,10.799763766088954
10283,10.799763765319714
10284,10.799763764720863
10285,10.799763765319714
10286,10.799763766088954
10287,10.799763765319714
10288,10.799763766088954
10289,10.799763767028068
10290,10.799763766088954
10291,10.799763765319714
10292,10.799763764720863
10293,10.799763765319714
10294,10.799763764720863
10295,10.799763764292823
10296,10.79976376403588
10297,10.799763763950214
10298,10.79976376403588
10299,10.799763763950214
10300,10.79976376403588
10301,10.799763763950214
10302,10.79976376403588
10303,10.799763763950214
10304,10.79976376403588
10305,10.799763763950214
10306,10.79976376403588
10307,10.799763764292823
10308,10.79976376403588
10309,10.799763764292823
10310,10.799763764720863
10311,10.799763764292823
10312,10.799763764720863
10313,10.799763764292823
10314,10.79976376403588
10315,10.799763764292823
10316,10.79976376403588
10317,10.799763763950214
10318,10.79976376403588
10319,10.799763763950214
10320,10.79976376403588
10321,10.799763763950214
10322,10.79976376403588
10323,10.799763764292823
10324,10.799763764720865
10325,10.799763764292823
10326,10.79976376403588
10327,10.799763764292823
10328,10.799763764720865
10329,10.799763765319714
10330,10.799763764720865
10331,10.799763764720865
10332,10.799763765319714
10333,10.799763764720865
10334,10.799763764292823
10335,10.799763764720865
10336,10.799763765319714
10337,10.799763766088956
10338,10.799763765319714
10339,10.799763764720865
10340,10.799763764292823
10341,10.79976376403588
10342,10.799763764292823
10343,10.79976376403588
10344,10.799763764292823
10345,10.799763764720865
10346,10.799763764292823
10347,10.799763764720865
10348,10.799763765319714
10349,10.799763766088956
10350,10.799763765319714
10351,10.799763766088956
10352,10.799763767028068
10353,10.799763766088956
10354,10.799763766088956
10355,10.799763767028068
10356,10.799763768136403
10357,10.799763767028068
10358,10.799763766088956
10359,10.799763767028068
10360,10.799763766088956
10361,10.799763767028068
10362,10.799763768136403
10363,10.799763769413204
10364,10.799763770857595
10365,10.799763772468589
10366,10.799763774245076
10367,10.799763772468589
10368,10.799763772468589
10369,10.799763770857595
10370,10.799763769413204
10371,10.799763770857595
10372,10.799763772468589
10373,10.799763770857595
10374,10.799763769413204
10375,10.799763768136403
10376,10.799763768136403
10377,10.799763769413204
10378,10.799763770857595
10379,10.799763769413204
10380,10.799763768136403
10381,10.799763767028068
10382,10.799763768136403
10383,10.799763769413204
10384,10.799763770857595
10385,10.799763769413204
10386,10.799763770857595
10387,10.799763769413204
10388,10.799763768136403
10389,10.799763767028068
10390,10.799763766088956
10391,10.799763765319714
10392,10.799763766088956
10393,10.799763765319714
10394,10.799763766088956
10395,10.799763767028068
10396,10.799763766088956
10397,10.799763765319714
10398,10.799763765319714
10399,10.799763765319714
10400,10.799763764720865
10401,10.799763764292823
10402,10.79976376403588
10403,10.799763764292823
10404,10.79976376403588
10405,10.799763764292823
10406,10.799763764720865
10407,10.799763765319714
10408,10.799763766088956
10409,10.799763765319714
10410,10.799763764720865
10411,10.799763765319714
10412,10.799763764720865
10413,10.799763764292823
10414,10.79976376403588
10415,10.799763764292823
10416,10.799763764720865
10417,10.799763764292823
10418,10.799763764720865
10419,10.799763764720865
10420,10.799763764720865
10421,10.799763764292823
10422,10.799763764720865
10423,10.799763764292823
10424,10.79976376403588
10425,10.799763763950214
10426,10.79976376403588
10427,10.799763763950214
10428,10.79976376403588
10429,10.799763763950214
10430,10.79976376403588
10431,10.799763763950214
10432,10.79976376403588
10433,10.799763763950214
10434,10.79976376403588
10435,10.799763763950214
10436,10.79976376403588
10437,10.799763763950214
10438,10.79976376403588
10439,10.799763764292823
10440,10.799763764720865
10441,10.799763765319714
10442,10.799763766088956
10443,10.799763765319714
10444,10.799763766088956
10445,10.799763767028068
10446,10.799763766088956
10447,10.799763767028068
10448,10.799763766088956
10449,10.799763765319714
10450,10.799763764720865
10451,10.799763765319714
10452,10.799763765319714
10453,10.799763766088956
10454,10.799763767028068
10455,10.799763766088956
10456,10.799763765319714
10457,10.799763766088956
10458,10.799763765319714
10459,10.799763764720865
10460,10.799763764292823
10461,10.799763764720865
10462,10.799763764720865
10463,10.799763765319714
10464,10.799763764720865
10465,10.799763765319714
10466,10.799763766088956
10467,10.799763767028068
10468,10.799763766088956
10469,10.799763765319714
10470,10.799763766088956
10471,10.799763765319714
10472,10.799763764720865
10473,10.799763764292823
10474,10.79976376403588
10475,10.799763763950214
10476,10.79976376403588
10477,10.799763763950214
10478,10.79976376403588
10479,10.799763764292823
10480,10.79976376403588
10481,10.799763763950214
