,Angle
10000,6.5
10001,7.0
10002,6.5
10003,7.0
10004,6.5
10005,6.0
10006,5.5
10007,5.0
10008,5.5
10009,5.0
10010,5.5
10011,5.0
10012,5.5
10013,5.0
10014,5.5
10015,5.0
10016,5.5
10017,5.0
10018,4.5
10019,5.0
10020,5.5
10021,6.0
10022,6.5
10023,7.0
10024,7.5
10025,8.0
10026,7.5
10027,8.0
10028,7.5
10029,8.0
10030,7.5
10031,8.0
10032,7.5
10033,7.0
10034,7.5
10035,8.0
10036,8.5
10037,9.0
10038,8.5
10039,9.0
10040,9.5
10041,9.0
10042,9.5
10043,9.0
10044,9.5
10045,9.0
10046,8.5
10047,8.0
10048,8.5
10049,9.0
10050,8.5
10051,9.0
10052,9.5
10053,9.0
10054,8.5
10055,8.0
10056,7.5
10057,7.0
10058,6.5
10059,7.0
10060,6.5
10061,6.0
10062,5.5
10063,5.0
10064,5.5
10065,6.0
10066,6.5
10067,7.0
10068,6.5
10069,6.0
10070,6.5
10071,6.5
10072,7.0
10073,6.5
10074,6.5
10075,7.0
10076,6.5
10077,6.0
10078,6.5
10079,6.0
10080,6.5
10081,7.0
10082,7.5
10083,8.0
10084,7.5
10085,8.0
10086,7.5
10087,8.0
10088,8.5
10089,9.0
10090,8.5
10091,8.0
10092,8.5
10093,8.0
10094,8.0
10095,7.5
10096,7.0
10097,6.5
10098,6.0
10099,6.5
10100,6.0
10101,5.5
10102,5.0
10103,4.5
10104,5.0
10105,4.5
10106,5.0
10107,4.5
10108,5.0
10109,5.5
10110,6.0
10111,5.5
10112,5.0
10113,4.5
10114,5.0
10115,4.5
10116,5.0
10117,4.5
10118,5.0
10119,4.5
10120,4.0
10121,3.5
10122,4.0
10123,4.5
10124,4.0
10125,3.5
10126,3.0
10127,3.5
10128,3.0
10129,3.5
10130,4.0
10131,4.5
10132,5.0
10133,5.5
10134,6.0
10135,5.5
10136,5.0
10137,4.5
10138,5.0
10139,4.5
10140,5.0
10141,5.5
10142,6.0
10143,6.5
10144,7.0
10145,6.5
10146,6.0
10147,6.5
10148,6.0
10149,6.5
10150,7.0
10151,7.5
10152,8.0
10153,7.5
10154,7.0
10155,7.5
10156,7.0
10157,7.0
10158,6.5
10159,7.0
10160,6.5
10161,7.0
10162,6.5
10163,7.0
10164,7.5
10165,8.0
10166,7.5
10167,8.0
10168,8.5
10169,8.0
10170,8.5
10171,9.0
10172,8.5
10173,8.0
10174,8.5
10175,9.0
10176,8.5
10177,9.0
10178,9.5
10179,10.0
10180,10.5
10181,11.0
10182,11.5
10183,11.0
10184,10.5
10185,11.0
10186,10.5
10187,11.0
10188,11.5
10189,11.0
10190,11.5
10191,12.0
10192,11.5
10193,11.0
10194,11.5
10195,12.0
10196,12.5
10197,12.0
10198,12.5
10199,13.0
10200,13.5
10201,13.0
10202,12.5
10203,12.0
10204,11.5
10205,11.0
10206,10.5
10207,10.0
10208,9.5
10209,10.0
10210,9.5
10211,9.0
10212,8.5
10213,8.0
10214,8.5
10215,9.0
10216,8.5
10217,8.0
10218,8.5
10219,9.0
10220,9.5
10221,10.0
10222,9.5
10223,10.0
10224,10.5
10225,11.0
10226,10.5
10227,10.0
10228,10.5
10229,10.0
