,Count,Count2
0.0,0.055888,0.054334
0.5,0.055404,0.053642
1.0,0.053661,0.051967
1.5,0.050686,0.049608
2.0,0.047435,0.046586
2.5,0.043456,0.042723
3.0,0.038423,0.038635
3.5,0.033149,0.034463
4.0,0.028035,0.029574
4.5,0.023341,0.025042
5.0,0.019412,0.020742
5.5,0.015945,0.016969
6.0,0.012715,0.013741
6.5,0.00992,0.010836
7.0,0.0077,0.00832
7.5,0.005777,0.00644
8.0,0.004313,0.004725
8.5,0.00327,0.003431
9.0,0.002437,0.002482
9.5,0.001728,0.00172
10.0,0.001219,0.001159
10.5,0.00085,0.000806
11.0,0.00053,0.000599
11.5,0.000349,0.000398
12.0,0.000224,0.000232
12.5,0.000146,0.000157
13.0,0.000116,9.9e-05
13.5,6e-05,6.4e-05
14.0,4.4e-05,5e-05
14.5,2.8e-05,3e-05
15.0,2.5e-05,9e-06
15.5,2.1e-05,3e-06
16.0,7e-06,4e-06
16.5,1e-06,2e-06
17.0,0.0,6e-06
17.5,0.0,4e-06
18.0,0.0,3e-06
18.5,0.0,0.0
19.0,0.0,0.0
19.5,0.0,0.0
20.0,0.0,0.0
20.5,0.0,0.0
21.0,0.0,0.0
21.5,0.0,0.0
22.0,0.0,0.0
22.5,0.0,0.0
23.0,0.0,0.0
23.5,0.0,0.0
24.0,0.0,0.0
24.5,0.0,0.0
25.0,0.0,0.0
25.5,0.0,0.0
26.0,0.0,0.0
26.5,0.0,0.0
27.0,0.0,0.0
27.5,0.0,0.0
28.0,0.0,0.0
28.5,0.0,0.0
29.0,0.0,0.0
29.5,0.0,0.0
30.0,0.0,0.0
30.5,0.0,0.0
31.0,0.0,0.0
31.5,0.0,0.0
32.0,0.0,0.0
32.5,0.0,0.0
33.0,0.0,0.0
33.5,0.0,0.0
34.0,0.0,0.0
34.5,0.0,0.0
35.0,0.0,0.0
35.5,0.0,0.0
36.0,0.0,0.0
36.5,0.0,0.0
37.0,0.0,0.0
37.5,0.0,0.0
38.0,0.0,0.0
38.5,0.0,0.0
39.0,0.0,0.0
39.5,0.0,0.0
