,Count
0.0,0.0306445
0.5,0.030651
1.0,0.0304465
1.5,0.030177
2.0,0.0296935
2.5,0.029033
3.0,0.028212
3.5,0.0268585
4.0,0.025374
4.5,0.024083
5.0,0.022551
5.5,0.0210855
6.0,0.0197125
6.5,0.018376
7.0,0.0172235
7.5,0.0157865
8.0,0.0142305
8.5,0.0126025
9.0,0.0110955
9.5,0.009734
10.0,0.0085605
10.5,0.007595
11.0,0.006669
11.5,0.0058555
12.0,0.0051025
12.5,0.004405
13.0,0.0037795
13.5,0.003224
14.0,0.002753
14.5,0.002324
15.0,0.0019925
15.5,0.001692
16.0,0.0014455
16.5,0.0011995
17.0,0.000995
17.5,0.000838
18.0,0.000663
18.5,0.000548
19.0,0.000439
19.5,0.0003695
20.0,0.000299
20.5,0.0002465
21.0,0.000185
21.5,0.000141
22.0,9.75e-05
22.5,6.85e-05
23.0,4.95e-05
23.5,4.5e-05
24.0,4.05e-05
24.5,3.05e-05
25.0,2.5e-05
25.5,1.75e-05
26.0,9e-06
26.5,3e-06
27.0,0.0
27.5,0.0
28.0,0.0
28.5,0.0
29.0,0.0
29.5,0.0
30.0,0.0
30.5,0.0
31.0,0.0
31.5,0.0
32.0,0.0
32.5,0.0
33.0,0.0
33.5,0.0
34.0,0.0
34.5,0.0
35.0,0.0
35.5,0.0
36.0,0.0
36.5,0.0
37.0,0.0
37.5,0.0
38.0,0.0
38.5,0.0
39.0,0.0
39.5,0.0
40.0,0.0
40.5,0.0
41.0,0.0
41.5,0.0
42.0,0.0
42.5,0.0
43.0,0.0
43.5,0.0
44.0,0.0
44.5,0.0
45.0,0.0
45.5,0.0
46.0,0.0
46.5,0.0
47.0,0.0
47.5,0.0
48.0,0.0
48.5,0.0
49.0,0.0
49.5,0.0
50.0,0.0
50.5,0.0
51.0,0.0
51.5,0.0
52.0,0.0
52.5,0.0
53.0,0.0
53.5,0.0
54.0,0.0
54.5,0.0
55.0,0.0
55.5,0.0
56.0,0.0
56.5,0.0
57.0,0.0
57.5,0.0
58.0,0.0
58.5,0.0
59.0,0.0
59.5,0.0
60.0,0.0
60.5,0.0
61.0,0.0
61.5,0.0
62.0,0.0
62.5,0.0
63.0,0.0
63.5,0.0
64.0,0.0
64.5,0.0
65.0,0.0
65.5,0.0
66.0,0.0
66.5,0.0
67.0,0.0
67.5,0.0
68.0,0.0
68.5,0.0
69.0,0.0
69.5,0.0
70.0,0.0
70.5,0.0
71.0,0.0
71.5,0.0
72.0,0.0
72.5,0.0
73.0,0.0
73.5,0.0
74.0,0.0
74.5,0.0
75.0,0.0
75.5,0.0
76.0,0.0
76.5,0.0
77.0,0.0
77.5,0.0
78.0,0.0
78.5,0.0
79.0,0.0
79.5,0.0
80.0,0.0
80.5,0.0
81.0,0.0
81.5,0.0
82.0,0.0
82.5,0.0
83.0,0.0
83.5,0.0
84.0,0.0
84.5,0.0
85.0,0.0
85.5,0.0
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.0
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,1.5e-06
92.0,4.5e-06
92.5,6e-06
93.0,5.5e-06
93.5,8.5e-06
94.0,1.65e-05
94.5,2.05e-05
95.0,2.05e-05
95.5,2.85e-05
96.0,4.6e-05
96.5,5.9e-05
97.0,8.05e-05
97.5,0.00011
98.0,0.0001465
98.5,0.0001775
99.0,0.0002235
99.5,0.0002745
100.0,0.000339
100.5,0.0003995
101.0,0.0004645
101.5,0.000564
102.0,0.0006905
102.5,0.0007755
103.0,0.000885
103.5,0.0010795
104.0,0.001358
104.5,0.001713
105.0,0.002127
105.5,0.002444
106.0,0.00277
106.5,0.0033455
107.0,0.00414
107.5,0.0048625
108.0,0.00567
108.5,0.006644
109.0,0.00745
109.5,0.0083325
110.0,0.0093525
110.5,0.010535
111.0,0.011745
111.5,0.0131805
112.0,0.0146335
112.5,0.015944
113.0,0.017227
113.5,0.018726
114.0,0.0202795
114.5,0.0215195
115.0,0.0229895
115.5,0.0245465
116.0,0.025856
116.5,0.0272475
117.0,0.0284
117.5,0.0291415
118.0,0.02972
118.5,0.0304
119.0,0.0310315
119.5,0.0309635
