,Energy
10000,-43.19905605578106
10001,-43.19905605578106
10002,-43.19905605578106
10003,-43.19905605578106
10004,-43.199056055781064
10005,-43.19905605578106
10006,-43.19905605578106
10007,-43.19905605578106
10008,-43.199056055781064
10009,-43.199056055781064
10010,-43.199056055781064
10011,-43.19905605578106
10012,-43.199056055781064
10013,-43.19905605578106
10014,-43.199056055781064
10015,-43.199056055781064
10016,-43.19905605578106
10017,-43.199056055781064
10018,-43.19905605578106
10019,-43.19905605578107
10020,-43.19905605578106
10021,-43.199056055781064
10022,-43.199056055781064
10023,-43.19905605578106
10024,-43.19905605578106
10025,-43.19905605578106
10026,-43.199056055781064
10027,-43.19905605578106
10028,-43.19905605578106
10029,-43.199056055781064
10030,-43.19905605578106
10031,-43.199056055781064
10032,-43.19905605578106
10033,-43.199056055781064
10034,-43.19905605578106
10035,-43.199056055781064
10036,-43.19905605578106
10037,-43.19905605578106
10038,-43.19905605578106
10039,-43.19905605578106
10040,-43.19905605578107
10041,-43.199056055781064
10042,-43.199056055781064
10043,-43.19905605578106
10044,-43.19905605578106
10045,-43.199056055781064
10046,-43.19905605578106
10047,-43.199056055781064
10048,-43.19905605578106
10049,-43.19905605578106
10050,-43.19905605578106
10051,-43.199056055781064
10052,-43.19905605578106
10053,-43.199056055781064
10054,-43.19905605578106
10055,-43.19905605578106
10056,-43.19905605578106
10057,-43.19905605578106
10058,-43.199056055781064
10059,-43.199056055781064
10060,-43.199056055781064
10061,-43.19905605578106
10062,-43.19905605578106
10063,-43.199056055781064
10064,-43.199056055781064
10065,-43.19905605578107
10066,-43.199056055781064
10067,-43.199056055781064
10068,-43.19905605578106
10069,-43.19905605578106
10070,-43.199056055781064
10071,-43.19905605578106
10072,-43.19905605578106
10073,-43.19905605578106
10074,-43.199056055781064
10075,-43.199056055781064
10076,-43.19905605578107
10077,-43.199056055781064
10078,-43.199056055781064
10079,-43.19905605578106
10080,-43.19905605578106
10081,-43.19905605578106
10082,-43.199056055781064
10083,-43.199056055781064
10084,-43.199056055781064
10085,-43.199056055781064
10086,-43.199056055781064
10087,-43.199056055781064
10088,-43.19905605578107
10089,-43.19905605578106
10090,-43.19905605578106
10091,-43.199056055781064
10092,-43.19905605578106
10093,-43.19905605578106
10094,-43.19905605578107
10095,-43.19905605578106
10096,-43.19905605578107
10097,-43.19905605578106
10098,-43.19905605578107
10099,-43.19905605578106
10100,-43.19905605578106
10101,-43.19905605578106
10102,-43.19905605578106
10103,-43.199056055781064
10104,-43.19905605578106
10105,-43.19905605578106
10106,-43.199056055781064
10107,-43.19905605578106
10108,-43.19905605578106
10109,-43.199056055781064
10110,-43.19905605578106
10111,-43.19905605578106
10112,-43.19905605578106
10113,-43.199056055781064
10114,-43.19905605578106
10115,-43.19905605578106
10116,-43.19905605578107
10117,-43.19905605578106
10118,-43.19905605578106
10119,-43.199056055781064
10120,-43.19905605578106
10121,-43.199056055781064
10122,-43.19905605578106
10123,-43.19905605578106
10124,-43.19905605578106
10125,-43.199056055781064
10126,-43.19905605578106
10127,-43.199056055781064
10128,-43.19905605578106
10129,-43.19905605578106
10130,-43.19905605578106
10131,-43.19905605578106
10132,-43.19905605578107
10133,-43.199056055781064
10134,-43.19905605578107
10135,-43.199056055781064
10136,-43.199056055781064
10137,-43.199056055781064
10138,-43.199056055781064
10139,-43.19905605578106
10140,-43.199056055781064
10141,-43.199056055781064
10142,-43.19905605578107
10143,-43.19905605578106
10144,-43.19905605578106
10145,-43.19905605578106
10146,-43.19905605578107
10147,-43.19905605578106
10148,-43.19905605578106
10149,-43.199056055781064
10150,-43.19905605578106
10151,-43.19905605578106
10152,-43.19905605578107
10153,-43.199056055781064
10154,-43.199056055781064
10155,-43.199056055781064
10156,-43.199056055781064
10157,-43.199056055781064
10158,-43.19905605578107
10159,-43.199056055781064
10160,-43.19905605578107
10161,-43.199056055781064
10162,-43.199056055781064
10163,-43.199056055781064
10164,-43.19905605578107
10165,-43.19905605578106
10166,-43.19905605578106
