,occurences
-0.026176948307873545,1.3118
0.0,1.3053
0.026176948307873153,1.304
-0.05233595624294437,1.32355
-0.07845909572784475,1.32555
-0.10452846326765342,1.3171
-0.13052619222005168,1.3065
-0.1564344650402311,1.29345
-0.18223552549214783,1.28385
-0.20791169081775987,1.26175
-0.2334453638559052,1.2273
-0.2588190451025207,1.1999
-0.2840153447039227,1.16965
0.052335956242943835,1.329
0.07845909572784494,1.34795
0.10452846326765347,1.3483
0.13052619222005157,0.0316
0.15643446504023087,1.3519
-0.3090169943749477,1.13965
0.18223552549214747,1.3354
0.20791169081775934,1.2995
0.2334453638559054,1.26715
0.25881904510252074,1.232
-0.3338068592337713,1.1148
-0.35836794954530077,1.094
-0.38268343236508956,1.0933
-0.40673664307580015,1.08725
-0.4305110968082952,1.06175
-0.45399049973954697,1.02765
-0.47715876025960874,0.9856
-0.5000000000000004,0.95985
-0.5224985647159487,0.05005
-0.544639035015027,0.9164
-0.5664062369248329,0.0465
-0.5877852522924734,0.88545
-0.608761429008721,0.8699
-0.6293203910498378,0.82845
-0.6494480483301834,0.803
-0.6691306063588581,0.79425
-0.688354575693754,0.77785
0.28401534470392265,1.18975
0.3090169943749474,1.16445
0.3338068592337709,1.13695
0.35836794954530027,1.1019
0.3826834323650898,1.0765
0.4067366430758002,1.05675
0.43051109680829514,1.04765
0.45399049973954675,1.03225
0.4771587602596084,1.0202
0.49999999999999994,0.03985
0.5224985647159488,0.9912
0.5446390350150271,0.96475
0.5664062369248328,0.0429
0.5877852522924731,0.8951
0.6087614290087207,0.8702
0.6293203910498374,0.04395
0.6494480483301837,0.85445
0.6691306063588582,0.8161
0.6883545756937539,0.0477
0.7071067811865476,0.0525
0.7253743710122876,0.70525
0.7431448254773942,0.05565
-0.7071067811865477,0.75745
-0.7253743710122879,0.74875
-0.7431448254773946,0.7384
-0.7604059656000308,0.714
-0.7771459614569708,0.69125
-0.7933533402912352,0.665
-0.8090169943749476,0.6391
-0.8241261886220158,0.62255
-0.8386705679454243,0.6012
-0.8526401643540921,0.58125
-0.8660254037844386,0.5511
-0.8788171126619654,0.5214
-0.891006524188368,0.50765
-0.9025852843498607,0.4949
-0.9135454576426011,0.4716
-0.9238795325112866,0.4507
-0.9335804264972017,0.4321
-0.9426414910921784,0.40555
-0.9510565162951536,0.3823
