,occurences
0.99966,10.9735
0.99863,10.6437
0.99692,10.123
0.99452,9.44335
1.0,5.5388
0.99144,8.64225
0.98769,7.78115
0.98325,6.873
0.97815,5.96765
0.97237,5.0668
0.96593,4.21135
0.95882,3.43525
0.95106,2.76765
0.94264,2.1738
0.93358,1.6696
0.92388,1.2825
0.91355,0.9698
0.90259,0.7115
0.89101,0.51385
0.87882,0.36755
0.86603,0.2603
0.85264,0.1818
0.83867,0.1309
0.82413,0.09505
0.80902,0.0675
0.79335,0.04285
0.77715,0.0255
0.76041,0.0161
0.74314,0.0105
0.72537,0.0061
0.70711,0.00335
0.68835,0.00255
0.66913,0.001
0.64945,0.0004
0.62932,5e-05
