,Count
0.0,0.0128445
0.5,0.0126675
1.0,0.012412
1.5,0.0123025
2.0,0.0123765
2.5,0.012343
3.0,0.012316
3.5,0.0123465
4.0,0.012055
4.5,0.011583
5.0,0.0113715
5.5,0.011241
6.0,0.010976
6.5,0.0106755
7.0,0.010576
7.5,0.0104055
8.0,0.0101515
8.5,0.009941
9.0,0.0096155
9.5,0.009191
10.0,0.0087295
10.5,0.0085405
11.0,0.0085235
11.5,0.0084025
12.0,0.0081245
12.5,0.007893
13.0,0.0076425
13.5,0.007383
14.0,0.007232
14.5,0.0070965
15.0,0.0068385
15.5,0.0064665
16.0,0.006133
16.5,0.005838
17.0,0.005597
17.5,0.0053705
18.0,0.005155
18.5,0.0049735
19.0,0.004786
19.5,0.0046805
20.0,0.004544
20.5,0.00434
21.0,0.004231
21.5,0.0041195
22.0,0.004003
22.5,0.003825
23.0,0.0036425
23.5,0.003557
24.0,0.003464
24.5,0.003406
25.0,0.0033565
25.5,0.00323
26.0,0.003088
26.5,0.0029575
27.0,0.0027825
27.5,0.0026265
28.0,0.002538
28.5,0.0024115
29.0,0.0022855
29.5,0.0022525
30.0,0.002172
30.5,0.0020045
31.0,0.0018675
31.5,0.0017825
32.0,0.001684
32.5,0.001548
33.0,0.0014315
33.5,0.0013475
34.0,0.00129
34.5,0.0012745
35.0,0.001241
35.5,0.0012015
36.0,0.001193
36.5,0.0011995
37.0,0.0011615
37.5,0.0011295
38.0,0.0010775
38.5,0.001049
39.0,0.0010545
39.5,0.0010175
40.0,0.000963
40.5,0.000922
41.0,0.0008825
41.5,0.000855
42.0,0.000844
42.5,0.00081
43.0,0.0007725
43.5,0.000749
44.0,0.000723
44.5,0.000687
45.0,0.000634
45.5,0.0005865
46.0,0.0005785
46.5,0.000601
47.0,0.0006215
47.5,0.0005955
48.0,0.0005755
48.5,0.000538
49.0,0.000473
49.5,0.0004385
50.0,0.0004145
50.5,0.0003845
51.0,0.0003695
51.5,0.000406
52.0,0.00045
52.5,0.000461
53.0,0.000475
53.5,0.000506
54.0,0.000502
54.5,0.0004765
55.0,0.0004855
55.5,0.0004895
56.0,0.00048
56.5,0.000462
57.0,0.0004575
57.5,0.000438
58.0,0.0004135
58.5,0.0004375
59.0,0.0004265
59.5,0.0003815
60.0,0.0003765
60.5,0.00042
61.0,0.000442
61.5,0.000419
62.0,0.000388
62.5,0.000372
63.0,0.0003835
63.5,0.0004095
64.0,0.0004505
64.5,0.000492
65.0,0.000547
65.5,0.0006125
66.0,0.0006545
66.5,0.000649
67.0,0.0006305
67.5,0.0006285
68.0,0.0006515
68.5,0.0006955
69.0,0.0007275
69.5,0.0007125
70.0,0.000708
70.5,0.0007525
71.0,0.0007845
71.5,0.000853
72.0,0.000883
72.5,0.0008705
73.0,0.0008505
73.5,0.000879
74.0,0.000936
74.5,0.0009205
75.0,0.0008835
75.5,0.0008925
76.0,0.0009265
76.5,0.0009455
77.0,0.000926
77.5,0.000917
78.0,0.0009435
78.5,0.0009905
79.0,0.001023
79.5,0.0010605
80.0,0.001133
80.5,0.001223
81.0,0.0012815
81.5,0.001326
82.0,0.0013545
82.5,0.00136
83.0,0.001411
83.5,0.00149
84.0,0.0015975
84.5,0.001723
85.0,0.0017335
85.5,0.001784
86.0,0.0018515
86.5,0.001888
87.0,0.0019565
87.5,0.0020365
88.0,0.002056
88.5,0.002146
89.0,0.0022595
89.5,0.0023455
90.0,0.002406
90.5,0.0024655
91.0,0.002535
91.5,0.002643
92.0,0.0027865
92.5,0.0028715
93.0,0.002975
93.5,0.003067
94.0,0.0031855
94.5,0.003381
95.0,0.00359
95.5,0.003764
96.0,0.003937
96.5,0.003971
97.0,0.0041225
97.5,0.0043435
98.0,0.0044875
98.5,0.004713
99.0,0.004919
99.5,0.0051535
100.0,0.005488
100.5,0.0057135
101.0,0.0058655
101.5,0.006038
102.0,0.0062225
102.5,0.006354
103.0,0.0064705
103.5,0.0068085
104.0,0.0070565
104.5,0.0072275
105.0,0.007458
105.5,0.0077225
106.0,0.007951
106.5,0.008242
107.0,0.0085605
107.5,0.008817
108.0,0.008917
108.5,0.00906
109.0,0.0094515
109.5,0.0098995
110.0,0.0102545
110.5,0.0105995
111.0,0.0108605
111.5,0.0110625
112.0,0.0111785
112.5,0.011357
113.0,0.0115985
113.5,0.011792
114.0,0.012038
114.5,0.012092
115.0,0.012073
115.5,0.0120885
116.0,0.012114
116.5,0.0121265
117.0,0.0121125
117.5,0.0121975
118.0,0.01251
118.5,0.012791
119.0,0.012989
119.5,0.0130095
