,Count,Count2
89.5,0.00177,0.002069
90.0,0.001802,0.002402
90.5,0.001878,0.002647
91.0,0.001985,0.002776
91.5,0.002074,0.002836
92.0,0.002156,0.002821
92.5,0.00223,0.002831
93.0,0.002404,0.00296
93.5,0.00251,0.003057
94.0,0.002589,0.003113
94.5,0.002771,0.003242
95.0,0.003085,0.003433
95.5,0.003259,0.003683
96.0,0.003288,0.003988
96.5,0.003463,0.004031
97.0,0.003716,0.004184
97.5,0.003966,0.004384
98.0,0.004157,0.004483
98.5,0.00436,0.004658
99.0,0.004721,0.004975
99.5,0.004789,0.005184
100.0,0.005008,0.005241
100.5,0.005466,0.005213
101.0,0.005771,0.005438
101.5,0.005799,0.005758
102.0,0.006047,0.005936
102.5,0.006429,0.006139
103.0,0.00654,0.00647
103.5,0.00664,0.006732
104.0,0.006904,0.006767
104.5,0.007142,0.006793
105.0,0.007347,0.006995
105.5,0.007368,0.007261
106.0,0.007542,0.00759
106.5,0.008071,0.007937
107.0,0.00858,0.008337
107.5,0.009024,0.008685
108.0,0.009381,0.008943
108.5,0.009545,0.009206
109.0,0.009636,0.009323
109.5,0.009646,0.009556
110.0,0.009863,0.009893
110.5,0.010003,0.010116
111.0,0.01016,0.010339
111.5,0.010325,0.010288
112.0,0.010362,0.010429
112.5,0.010559,0.010674
113.0,0.010995,0.010744
113.5,0.011436,0.010914
114.0,0.011494,0.011112
114.5,0.011472,0.011156
115.0,0.011555,0.011343
115.5,0.011723,0.011507
116.0,0.01194,0.011378
116.5,0.012031,0.011424
117.0,0.01212,0.011548
117.5,0.012306,0.011495
118.0,0.012398,0.011472
118.5,0.012528,0.011433
119.0,0.012748,0.011264
119.5,0.012771,0.011061
