,Count,Count2
0.0,0.012638,0.010904
0.5,0.012402,0.010807
1.0,0.012334,0.010737
1.5,0.0123,0.010838
2.0,0.012344,0.010799
2.5,0.01241,0.01077
3.0,0.012414,0.010972
3.5,0.012488,0.010958
4.0,0.012553,0.010828
4.5,0.012386,0.010786
5.0,0.012107,0.010707
5.5,0.011847,0.010547
6.0,0.011643,0.010356
6.5,0.011497,0.010199
7.0,0.011368,0.010125
7.5,0.011199,0.009951
8.0,0.011038,0.009703
8.5,0.010908,0.009514
9.0,0.010564,0.00958
9.5,0.010194,0.009746
10.0,0.010074,0.009657
10.5,0.009953,0.009512
11.0,0.009709,0.009495
11.5,0.009481,0.009495
12.0,0.009186,0.009278
12.5,0.008901,0.008983
13.0,0.008578,0.008763
13.5,0.008326,0.008621
14.0,0.008131,0.008346
14.5,0.007861,0.008071
15.0,0.007579,0.007869
15.5,0.007513,0.007555
16.0,0.007329,0.007208
16.5,0.007003,0.006936
17.0,0.006745,0.006727
17.5,0.006336,0.00647
18.0,0.005909,0.006282
18.5,0.005608,0.006215
19.0,0.005296,0.006108
19.5,0.004983,0.006037
20.0,0.004876,0.005905
20.5,0.004879,0.005718
21.0,0.004817,0.005563
21.5,0.004727,0.005486
22.0,0.004634,0.005359
22.5,0.004446,0.005201
23.0,0.004315,0.005054
23.5,0.004232,0.004942
24.0,0.003921,0.004912
24.5,0.003459,0.004721
25.0,0.003287,0.004429
25.5,0.003093,0.004179
26.0,0.002916,0.003916
26.5,0.002888,0.003642
27.0,0.002773,0.003345
27.5,0.002791,0.003251
28.0,0.002793,0.003249
28.5,0.002538,0.003199
29.0,0.002422,0.002961
29.5,0.002357,0.002818
30.0,0.002294,0.002733
30.5,0.002237,0.002602
31.0,0.002135,0.002526
31.5,0.00201,0.002438
32.0,0.001887,0.002422
32.5,0.001798,0.002377
33.0,0.001686,0.002334
33.5,0.001549,0.002331
34.0,0.001415,0.002263
34.5,0.001334,0.002204
35.0,0.001256,0.002177
35.5,0.001182,0.002108
36.0,0.001137,0.002088
36.5,0.001094,0.002023
37.0,0.001004,0.00187
37.5,0.000927,0.00173
38.0,0.000845,0.001596
38.5,0.000798,0.001456
39.0,0.000759,0.001357
39.5,0.000713,0.001275
40.0,0.000736,0.001225
40.5,0.000751,0.001119
41.0,0.000792,0.00105
41.5,0.00081,0.00102
42.0,0.000732,0.000913
42.5,0.000732,0.00083
43.0,0.000762,0.000806
43.5,0.000696,0.000802
44.0,0.000617,0.000774
44.5,0.000626,0.000706
45.0,0.000655,0.000658
45.5,0.000638,0.000574
46.0,0.000645,0.000541
46.5,0.000656,0.000552
47.0,0.000698,0.000546
47.5,0.000721,0.00054
48.0,0.000667,0.00053
48.5,0.000627,0.000555
49.0,0.000611,0.000561
49.5,0.000582,0.000536
50.0,0.000578,0.00048
50.5,0.000554,0.000456
51.0,0.000521,0.000453
51.5,0.000526,0.000424
52.0,0.000517,0.000388
52.5,0.000462,0.000376
53.0,0.000388,0.000362
53.5,0.000332,0.000322
54.0,0.000277,0.000302
54.5,0.000271,0.000331
55.0,0.00029,0.000354
55.5,0.000282,0.000349
56.0,0.000289,0.000332
56.5,0.000301,0.000348
57.0,0.000302,0.000354
57.5,0.000302,0.000316
58.0,0.000305,0.000295
58.5,0.000304,0.000278
59.0,0.000329,0.000286
59.5,0.000335,0.000297
60.0,0.0003,0.000294
60.5,0.000298,0.000293
61.0,0.000309,0.000292
61.5,0.000291,0.000322
62.0,0.000284,0.000367
62.5,0.000327,0.000394
63.0,0.000376,0.000406
63.5,0.000383,0.000412
64.0,0.000376,0.000393
64.5,0.000402,0.000335
65.0,0.000422,0.000305
65.5,0.000425,0.000358
66.0,0.000448,0.000349
66.5,0.000442,0.0003
67.0,0.000468,0.000296
67.5,0.000517,0.000322
68.0,0.000491,0.000368
68.5,0.000464,0.000386
69.0,0.000456,0.000416
69.5,0.000455,0.000406
70.0,0.000492,0.000396
70.5,0.000507,0.000469
71.0,0.000532,0.000464
71.5,0.000597,0.000449
72.0,0.000634,0.000457
72.5,0.000634,0.000428
73.0,0.000669,0.000427
73.5,0.000689,0.000464
74.0,0.000679,0.0005
74.5,0.000721,0.000519
75.0,0.000776,0.000527
75.5,0.000777,0.000552
76.0,0.000773,0.000595
76.5,0.000777,0.000634
77.0,0.000785,0.00073
77.5,0.000843,0.000782
78.0,0.000847,0.000813
78.5,0.000831,0.000869
79.0,0.000902,0.000847
79.5,0.000974,0.000831
80.0,0.000994,0.000913
80.5,0.000993,0.00099
81.0,0.001003,0.001004
81.5,0.001038,0.001041
82.0,0.001063,0.001068
82.5,0.001061,0.00117
83.0,0.001103,0.001252
83.5,0.001186,0.001249
84.0,0.001243,0.001307
84.5,0.001339,0.001302
85.0,0.001401,0.001338
85.5,0.001444,0.00142
86.0,0.001515,0.001428
86.5,0.001541,0.001489
87.0,0.001565,0.001537
87.5,0.001689,0.001599
88.0,0.00177,0.00171
88.5,0.00174,0.001764
89.0,0.001713,0.001829
