,Count,Count2
0.0,0.003704,0.003534
0.5,0.003671,0.003619
1.0,0.00366,0.003609
1.5,0.003676,0.003527
2.0,0.0036,0.003418
2.5,0.00355,0.003419
3.0,0.003569,0.003523
3.5,0.00364,0.003551
4.0,0.003736,0.003509
4.5,0.003816,0.003531
5.0,0.003785,0.003641
5.5,0.003861,0.003693
6.0,0.003939,0.003752
6.5,0.003907,0.004026
7.0,0.003906,0.004266
7.5,0.00382,0.004395
8.0,0.003795,0.004456
8.5,0.003888,0.004393
9.0,0.003781,0.004316
9.5,0.003688,0.004418
10.0,0.003785,0.004471
10.5,0.003806,0.00435
11.0,0.00373,0.004297
11.5,0.003665,0.004254
12.0,0.003781,0.00431
12.5,0.003897,0.004437
13.0,0.003817,0.004486
13.5,0.003624,0.004554
14.0,0.003577,0.004684
14.5,0.003698,0.004844
15.0,0.003742,0.005019
15.5,0.003742,0.005173
16.0,0.003857,0.005369
16.5,0.003978,0.005437
17.0,0.004108,0.005351
17.5,0.004128,0.005282
18.0,0.004087,0.005195
18.5,0.004087,0.005218
19.0,0.003945,0.005235
19.5,0.003891,0.005131
20.0,0.003949,0.00505
20.5,0.004101,0.005128
21.0,0.004199,0.005117
21.5,0.004145,0.004869
22.0,0.004129,0.004673
22.5,0.004059,0.004723
23.0,0.003972,0.004793
23.5,0.003887,0.00483
24.0,0.003868,0.004858
24.5,0.003937,0.004743
25.0,0.003933,0.004693
25.5,0.003865,0.004726
26.0,0.00378,0.004678
26.5,0.003579,0.004515
27.0,0.003453,0.004433
27.5,0.003492,0.004397
28.0,0.0035,0.004367
28.5,0.003467,0.004465
29.0,0.003581,0.004539
29.5,0.003669,0.004542
30.0,0.00363,0.004539
30.5,0.003658,0.004539
31.0,0.003597,0.004524
31.5,0.003507,0.004507
32.0,0.003446,0.004512
32.5,0.003452,0.004644
33.0,0.003533,0.004817
33.5,0.003522,0.004895
34.0,0.00352,0.004893
34.5,0.003627,0.004925
35.0,0.003737,0.004909
35.5,0.003857,0.004883
36.0,0.003994,0.004863
36.5,0.004171,0.004802
37.0,0.004205,0.004831
37.5,0.004175,0.004838
38.0,0.004243,0.004783
38.5,0.004361,0.004707
39.0,0.004467,0.004677
39.5,0.004394,0.00471
40.0,0.004339,0.004672
40.5,0.004347,0.004549
41.0,0.004321,0.004546
41.5,0.004363,0.004641
42.0,0.004377,0.004785
42.5,0.004414,0.004857
43.0,0.00444,0.004871
43.5,0.004438,0.00497
44.0,0.004426,0.005047
44.5,0.004536,0.004938
45.0,0.004744,0.004787
45.5,0.004828,0.004818
46.0,0.00472,0.004914
46.5,0.004574,0.004901
47.0,0.004642,0.004839
47.5,0.004665,0.004901
48.0,0.004658,0.005045
48.5,0.004646,0.005176
49.0,0.00461,0.005247
49.5,0.004518,0.00522
50.0,0.004459,0.005194
50.5,0.004486,0.005168
51.0,0.004478,0.005169
51.5,0.004485,0.005184
52.0,0.004513,0.005052
52.5,0.004609,0.004959
53.0,0.004736,0.004935
53.5,0.004863,0.004986
54.0,0.00488,0.005082
54.5,0.004822,0.005121
55.0,0.00483,0.005113
55.5,0.004845,0.004986
56.0,0.00484,0.004987
56.5,0.004889,0.00512
57.0,0.004927,0.00506
57.5,0.004861,0.005039
58.0,0.004731,0.005007
58.5,0.00464,0.004911
59.0,0.004732,0.004933
59.5,0.004761,0.004912
60.0,0.004661,0.004761
60.5,0.004766,0.004586
61.0,0.004965,0.004608
61.5,0.005126,0.004624
62.0,0.005241,0.004421
62.5,0.005356,0.00432
63.0,0.005426,0.004365
63.5,0.005277,0.004234
64.0,0.005017,0.004109
64.5,0.004856,0.004156
65.0,0.004891,0.004196
65.5,0.004967,0.00408
66.0,0.004946,0.003996
66.5,0.004908,0.003936
67.0,0.004993,0.003888
67.5,0.005161,0.003849
68.0,0.005249,0.003692
68.5,0.005187,0.003591
69.0,0.005103,0.003565
69.5,0.005252,0.003615
70.0,0.00542,0.003679
70.5,0.005412,0.003745
71.0,0.005335,0.003707
71.5,0.005379,0.003644
72.0,0.005298,0.003692
72.5,0.005003,0.003733
73.0,0.004931,0.003756
73.5,0.004889,0.003729
74.0,0.004811,0.003605
74.5,0.004821,0.003532
75.0,0.004913,0.003575
75.5,0.004885,0.003527
76.0,0.004789,0.003469
76.5,0.004796,0.00343
77.0,0.004811,0.003366
77.5,0.004852,0.003452
78.0,0.004848,0.003565
78.5,0.004808,0.003585
79.0,0.004731,0.003556
79.5,0.004785,0.003681
80.0,0.004805,0.003838
80.5,0.004633,0.003838
81.0,0.004611,0.003788
81.5,0.004653,0.003815
82.0,0.004563,0.003936
82.5,0.004369,0.003889
83.0,0.004199,0.003721
83.5,0.004073,0.003569
84.0,0.004028,0.003434
84.5,0.004147,0.003437
85.0,0.004261,0.003523
85.5,0.004287,0.003574
86.0,0.004205,0.003621
86.5,0.004036,0.003604
87.0,0.003818,0.00351
87.5,0.003746,0.003512
88.0,0.00386,0.003612
88.5,0.003818,0.003688
89.0,0.003764,0.003596
89.5,0.00383,0.003412
90.0,0.003861,0.003417
90.5,0.003885,0.00341
91.0,0.003945,0.00343
91.5,0.004003,0.00349
92.0,0.004072,0.003571
92.5,0.004048,0.003666
93.0,0.003959,0.00367
93.5,0.003946,0.003725
94.0,0.003858,0.003771
94.5,0.00385,0.003755
95.0,0.003923,0.00378
95.5,0.003868,0.003723
96.0,0.003753,0.003606
96.5,0.00373,0.003556
97.0,0.003715,0.003525
97.5,0.003651,0.00349
98.0,0.00363,0.003578
98.5,0.003648,0.003658
99.0,0.003711,0.003672
99.5,0.003755,0.003733
100.0,0.003688,0.003764
100.5,0.003587,0.003766
101.0,0.003583,0.003767
101.5,0.003597,0.003828
102.0,0.003688,0.003806
102.5,0.003827,0.00378
103.0,0.003871,0.003765
103.5,0.003834,0.003667
104.0,0.003858,0.00368
104.5,0.003957,0.003765
105.0,0.004027,0.00374
105.5,0.00409,0.003657
106.0,0.004122,0.003574
106.5,0.004023,0.003555
107.0,0.003956,0.003563
107.5,0.004017,0.003542
108.0,0.004026,0.003481
108.5,0.00391,0.003438
109.0,0.003886,0.003325
109.5,0.003943,0.003198
110.0,0.003959,0.003296
110.5,0.003956,0.003419
111.0,0.003911,0.003448
111.5,0.003852,0.003433
112.0,0.003671,0.003333
112.5,0.003433,0.003204
113.0,0.003411,0.003191
113.5,0.003399,0.003148
114.0,0.003302,0.003086
114.5,0.003306,0.003119
115.0,0.003284,0.003233
115.5,0.003321,0.003373
116.0,0.00332,0.003352
116.5,0.003289,0.003262
117.0,0.003361,0.003327
117.5,0.003495,0.003444
118.0,0.003584,0.003435
118.5,0.003529,0.003367
119.0,0.003529,0.003389
119.5,0.003625,0.003445
