,R,Delta,Order,Theta
60,30.0,1.0,0.9621104692924555,-0.07512591926430176
61,30.0,1.0,0.9646363672472662,0.02022467483310407
62,30.0,1.0,0.9662158768990209,0.002719349806129916
63,30.0,1.0,0.9654138873683523,0.035537899714625246
64,30.0,1.0,0.9637290425918015,-0.039300617251218244
65,30.0,1.0,0.9658478045744429,0.0011895209458885948
66,30.0,1.0,0.9628477722930453,0.01786893851345034
67,30.0,1.0,0.9636409684324158,-0.014011757894780551
68,30.0,1.0,0.9650623196679599,-0.02881433169584713
69,30.0,1.0,0.9651650072251792,-0.024043389406597105
70,30.0,1.0,0.9665958695546999,0.008822976580030352
71,30.0,1.0,0.9632049954676957,0.004512262587766802
72,30.0,1.0,0.9660083621239834,-0.02342059721851098
73,30.0,1.0,0.9662046855441239,-0.057568137603677114
74,30.0,1.0,0.9631995618834248,-0.009447944863700654
75,30.0,1.0,0.9638309051241927,-0.03949837570152656
76,30.0,1.0,0.9639738172614113,-0.02470767238517913
77,30.0,1.0,0.9644255132725762,0.0010145887792984557
78,30.0,1.0,0.964352848332047,-0.03756331062948246
79,30.0,1.0,0.9643701192182362,0.003806397519855922
80,30.0,1.0,0.9652181200169785,0.02070280672069944
81,30.0,1.0,0.9633955947802921,0.018027198130827742
82,30.0,1.0,0.9659511110169273,-0.001125113030648664
83,30.0,1.0,0.9647796757707523,-0.014765527858012722
84,30.0,1.0,0.9628311672369002,-0.03375257653141819
85,30.0,1.0,0.9660760683840455,-0.06074641896968273
86,30.0,1.0,0.964375005661812,-0.04884600222368971
87,30.0,1.0,0.9611758872479752,0.010412019418728628
88,30.0,1.0,0.9636129370148941,0.009110869210121265
89,30.0,1.0,0.9649741840350049,0.002586334611225463
90,30.0,1.0,0.9648879413741225,0.006394234148599188
91,30.0,1.0,0.9632762051713567,0.028848567982375475
92,30.0,1.0,0.9640651163131427,0.027089203563694042
93,30.0,1.0,0.966194113066936,0.019041086900686392
94,30.0,1.0,0.9634053365775078,-0.015320376165938027
95,30.0,1.0,0.9644311345258341,0.0053684045208682255
96,30.0,1.0,0.9645421072639995,-0.015149089875143008
97,30.0,1.0,0.9620966090577066,-0.01261950527393492
98,30.0,1.0,0.9653848561981705,0.018613306106457186
99,30.0,1.0,0.9641922729560854,-0.02789838904066834
100,30.0,5.0,0.9622369077354958,0.1328843542729673
101,30.0,5.0,0.9711155645224091,0.11491783889566645
102,30.0,5.0,0.9627768874808247,0.008899463985538073
103,30.0,5.0,0.965977727172791,0.2952066732186292
104,30.0,5.0,0.9556081819794855,-0.007196404783785295
105,30.0,5.0,0.9591963163243908,0.019806601964544784
106,30.0,5.0,0.9502024675030298,-0.13648765517430642
107,30.0,5.0,0.9542645204210477,0.21391719617927546
