,Count
0.0,0.0557225
0.5,0.0553015
1.0,0.0538305
1.5,0.051558
2.0,0.0483085
2.5,0.043948
3.0,0.039112
3.5,0.0344055
4.0,0.029502
4.5,0.024911
5.0,0.020694
5.5,0.016864
6.0,0.0134735
6.5,0.010456
7.0,0.007899
7.5,0.005884
8.0,0.0043285
8.5,0.003199
9.0,0.0023085
9.5,0.0016315
10.0,0.001106
10.5,0.000727
11.0,0.0004775
11.5,0.0002825
12.0,0.0001685
12.5,0.0001075
13.0,7.55e-05
13.5,5.05e-05
14.0,3.6e-05
14.5,2.6e-05
15.0,2.25e-05
15.5,1.3e-05
16.0,9e-06
16.5,5.5e-06
17.0,5.5e-06
17.5,5e-06
18.0,5.5e-06
18.5,2.5e-06
19.0,0.0
19.5,0.0
20.0,0.0
20.5,0.0
21.0,0.0
21.5,0.0
22.0,0.0
22.5,0.0
23.0,0.0
23.5,0.0
24.0,0.0
24.5,0.0
25.0,0.0
25.5,0.0
26.0,0.0
26.5,0.0
27.0,0.0
27.5,0.0
28.0,0.0
28.5,0.0
29.0,0.0
29.5,0.0
30.0,0.0
30.5,0.0
31.0,0.0
31.5,0.0
32.0,0.0
32.5,0.0
33.0,0.0
33.5,0.0
34.0,0.0
34.5,0.0
35.0,0.0
35.5,0.0
36.0,0.0
36.5,0.0
37.0,0.0
37.5,0.0
38.0,0.0
38.5,0.0
39.0,0.0
39.5,0.0
40.0,0.0
40.5,0.0
41.0,0.0
41.5,0.0
42.0,0.0
42.5,0.0
43.0,0.0
43.5,0.0
44.0,0.0
44.5,0.0
45.0,0.0
45.5,0.0
46.0,0.0
46.5,0.0
47.0,0.0
47.5,0.0
48.0,0.0
48.5,0.0
49.0,0.0
49.5,0.0
50.0,0.0
50.5,0.0
51.0,0.0
51.5,0.0
52.0,0.0
52.5,0.0
53.0,0.0
53.5,0.0
54.0,0.0
54.5,0.0
55.0,0.0
55.5,0.0
56.0,0.0
56.5,0.0
57.0,0.0
57.5,0.0
58.0,0.0
58.5,0.0
59.0,0.0
59.5,0.0
60.0,0.0
60.5,0.0
61.0,0.0
61.5,0.0
62.0,0.0
62.5,0.0
63.0,0.0
63.5,0.0
64.0,0.0
64.5,0.0
65.0,0.0
65.5,0.0
66.0,0.0
66.5,0.0
67.0,0.0
67.5,0.0
68.0,0.0
68.5,0.0
69.0,0.0
69.5,0.0
70.0,0.0
70.5,0.0
71.0,0.0
71.5,0.0
72.0,0.0
72.5,0.0
73.0,0.0
73.5,0.0
74.0,0.0
74.5,0.0
75.0,0.0
75.5,0.0
76.0,0.0
76.5,0.0
77.0,0.0
77.5,0.0
78.0,0.0
78.5,0.0
79.0,0.0
79.5,0.0
80.0,0.0
80.5,0.0
81.0,0.0
81.5,0.0
82.0,0.0
82.5,0.0
83.0,0.0
83.5,0.0
84.0,0.0
84.5,0.0
85.0,0.0
85.5,0.0
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.0
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,0.0
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
101.0,0.0
101.5,0.0
102.0,0.0
102.5,0.0
103.0,5e-07
103.5,4.5e-06
104.0,7e-06
104.5,8e-06
105.0,1.2e-05
105.5,1.25e-05
106.0,2.9e-05
106.5,4.45e-05
107.0,6.55e-05
107.5,0.000144
108.0,0.000251
108.5,0.0003785
109.0,0.000574
109.5,0.0007915
110.0,0.001141
110.5,0.0016165
111.0,0.002307
111.5,0.00325
112.0,0.0044665
112.5,0.0059585
113.0,0.007996
113.5,0.010554
114.0,0.01341
114.5,0.016947
115.0,0.021047
115.5,0.0253945
116.0,0.0300305
116.5,0.034805
117.0,0.0396685
117.5,0.0443135
118.0,0.0480775
118.5,0.051222
119.0,0.0537655
119.5,0.055244
