,Angle
10000,10.5
10001,10.0
10002,9.5
10003,9.0
10004,8.5
10005,8.0
10006,8.5
10007,9.0
10008,9.5
10009,9.0
10010,9.5
10011,10.0
10012,9.5
10013,10.0
10014,9.5
10015,10.0
10016,9.5
10017,9.0
10018,9.5
10019,10.0
10020,10.5
10021,11.0
10022,10.5
10023,11.0
10024,11.5
10025,12.0
10026,12.5
10027,13.0
10028,13.5
10029,13.0
10030,13.5
10031,13.0
10032,12.5
10033,12.0
10034,11.5
10035,11.0
10036,11.5
10037,12.0
10038,11.5
10039,11.0
10040,11.5
10041,12.0
10042,11.5
10043,12.0
10044,12.5
10045,13.0
10046,12.5
10047,13.0
10048,12.5
10049,12.0
10050,11.5
10051,12.0
10052,12.5
10053,12.0
10054,11.5
10055,12.0
10056,11.5
10057,11.0
10058,10.5
10059,11.0
10060,10.5
10061,11.0
10062,11.5
10063,12.0
10064,11.5
10065,11.0
10066,11.5
10067,11.0
10068,11.5
10069,11.0
10070,10.5
10071,10.0
10072,9.5
10073,10.0
10074,9.5
10075,9.0
10076,8.5
10077,8.0
10078,7.5
10079,7.0
10080,6.5
10081,6.0
10082,6.5
10083,6.0
10084,6.5
10085,6.0
10086,5.5
10087,6.0
10088,6.5
10089,6.0
10090,5.5
10091,6.0
10092,6.5
10093,7.0
10094,7.5
10095,7.0
10096,7.5
10097,7.0
10098,7.5
10099,8.0
10100,7.5
10101,8.0
10102,7.5
10103,8.0
10104,8.5
10105,8.0
10106,8.5
10107,8.0
10108,7.5
10109,7.0
10110,6.5
10111,6.0
10112,6.5
10113,6.0
10114,6.5
10115,6.0
10116,5.5
10117,5.0
10118,4.5
10119,5.0
10120,5.5
10121,6.0
10122,5.5
10123,6.0
10124,6.5
10125,6.0
10126,5.5
10127,5.0
10128,5.5
10129,5.0
10130,4.5
10131,4.0
10132,3.5
10133,4.0
10134,3.5
10135,3.0
10136,3.5
10137,4.0
10138,4.5
10139,4.0
10140,4.5
10141,4.0
10142,3.5
10143,3.0
10144,3.5
10145,3.0
10146,3.5
10147,4.0
10148,4.5
10149,5.0
10150,5.5
10151,6.0
10152,6.5
10153,7.0
10154,7.5
10155,8.0
10156,8.5
10157,8.0
10158,8.5
10159,8.0
10160,7.5
10161,8.0
10162,8.5
10163,9.0
10164,8.5
10165,9.0
10166,8.5
10167,8.0
10168,8.5
10169,9.0
10170,8.5
10171,9.0
10172,9.5
10173,9.0
10174,8.5
10175,8.0
10176,7.5
10177,8.0
10178,7.5
10179,8.0
10180,7.5
10181,7.0
10182,7.5
10183,7.0
10184,7.5
10185,8.0
10186,7.5
10187,7.0
10188,7.5
10189,8.0
10190,7.5
10191,8.0
10192,8.5
10193,8.0
10194,7.5
10195,8.0
10196,8.5
10197,8.0
10198,7.5
10199,7.0
10200,6.5
10201,7.0
10202,6.5
10203,6.0
10204,5.5
10205,5.0
10206,5.5
10207,6.0
10208,5.5
10209,6.0
10210,6.5
10211,6.0
10212,6.5
10213,7.0
10214,7.5
10215,7.0
10216,6.5
10217,7.0
10218,7.5
10219,8.0
10220,8.5
10221,9.0
10222,8.5
10223,9.0
10224,8.5
10225,9.0
10226,8.5
10227,8.0
10228,7.5
10229,7.0
10230,7.5
10231,8.0
10232,7.5
10233,8.0
10234,7.5
10235,8.0
10236,8.5
10237,9.0
10238,8.5
10239,8.0
10240,8.5
10241,9.0
10242,9.5
10243,10.0
10244,9.5
10245,9.0
10246,8.5
10247,8.0
10248,8.5
10249,8.0
10250,7.5
10251,7.0
10252,7.5
10253,7.0
10254,7.5
10255,8.0
10256,8.5
10257,9.0
10258,8.5
10259,9.0
10260,9.5
10261,10.0
10262,10.5
10263,10.0
10264,10.5
10265,11.0
10266,10.5
10267,10.0
10268,9.5
10269,10.0
10270,10.5
10271,10.0
10272,9.5
10273,10.0
10274,9.5
10275,10.0
10276,9.5
10277,9.0
10278,9.5
10279,9.0
10280,8.5
10281,9.0
10282,8.5
10283,8.0
10284,8.5
10285,9.0
10286,8.5
10287,9.0
10288,8.5
10289,8.0
10290,8.5
10291,8.0
10292,8.5
10293,9.0
10294,8.5
10295,8.0
10296,7.5
10297,7.0
10298,7.5
10299,7.0
10300,7.5
10301,8.0
10302,7.5
10303,7.0
10304,7.5
10305,7.0
10306,7.5
10307,8.0
10308,8.5
10309,8.0
10310,8.5
10311,8.0
10312,7.5
10313,7.0
10314,6.5
10315,7.0
10316,6.5
10317,6.0
10318,6.5
10319,6.0
10320,6.5
10321,7.0
10322,6.5
10323,6.0
10324,6.5
10325,7.0
10326,6.5
10327,6.0
10328,5.5
10329,5.0
10330,4.5
10331,5.0
10332,5.5
10333,6.0
10334,5.5
10335,5.0
10336,5.5
10337,6.0
10338,6.5
10339,7.0
10340,7.5
10341,7.0
10342,6.5
10343,7.0
10344,6.5
10345,7.0
10346,6.5
10347,7.0
10348,6.5
10349,7.0
10350,7.5
10351,7.0
10352,7.5
10353,8.0
10354,7.5
10355,7.0
10356,7.5
10357,8.0
10358,8.5
10359,8.0
10360,7.5
10361,8.0
10362,8.5
10363,8.0
10364,8.5
10365,8.0
10366,8.5
10367,8.0
10368,7.5
10369,8.0
10370,8.5
10371,9.0
10372,9.5
10373,10.0
10374,10.5
10375,10.0
10376,10.5
10377,10.0
10378,9.5
10379,10.0
10380,10.5
10381,11.0
10382,10.5
10383,10.0
10384,10.5
10385,11.0
10386,10.5
10387,10.0
10388,10.5
10389,11.0
10390,10.5
10391,10.0
10392,9.5
10393,9.0
10394,9.5
10395,9.0
10396,8.5
10397,8.0
10398,7.5
10399,8.0
10400,8.5
10401,8.0
10402,8.5
10403,8.0
10404,7.5
10405,8.0
10406,8.5
10407,8.0
10408,8.5
10409,9.0
10410,8.5
10411,9.0
10412,8.5
10413,9.0
10414,9.5
10415,9.0
10416,9.5
10417,9.0
10418,9.5
10419,9.0
10420,9.5
10421,9.0
10422,9.5
10423,9.0
10424,8.5
10425,9.0
10426,9.5
10427,10.0
10428,10.5
10429,11.0
10430,11.5
10431,12.0
10432,12.5
10433,13.0
10434,13.5
10435,13.0
10436,13.5
10437,14.0
10438,13.5
10439,13.0
10440,12.5
10441,12.0
10442,12.5
10443,13.0
10444,12.5
10445,12.0
10446,12.5
10447,13.0
10448,12.5
10449,13.0
10450,13.5
10451,13.0
10452,13.5
10453,14.0
10454,14.5
