,Angle
10000,-8.5
10001,-8.0
10002,-8.5
10003,-8.0
10004,-8.5
10005,-8.0
10006,-8.5
10007,-9.0
10008,-9.5
10009,-10.0
10010,-9.5
10011,-9.0
10012,-8.5
10013,-8.0
10014,-7.5
10015,-7.0
10016,-7.5
10017,-7.0
10018,-6.5
10019,-6.0
10020,-6.5
10021,-6.0
10022,-6.5
10023,-7.0
10024,-7.5
10025,-8.0
10026,-8.5
10027,-8.0
10028,-8.5
10029,-8.0
10030,-8.5
10031,-9.0
10032,-8.5
10033,-9.0
10034,-8.5
10035,-9.0
10036,-9.5
10037,-9.0
10038,-9.5
10039,-10.0
10040,-9.5
10041,-9.0
10042,-8.5
10043,-9.0
10044,-8.5
10045,-8.0
10046,-7.5
10047,-8.0
10048,-7.5
10049,-8.0
10050,-8.5
10051,-9.0
10052,-9.5
10053,-9.0
10054,-9.5
10055,-9.0
10056,-8.5
10057,-9.0
10058,-9.5
10059,-10.0
10060,-10.5
10061,-10.0
10062,-10.5
10063,-10.0
10064,-10.5
10065,-10.0
10066,-10.5
10067,-10.0
10068,-10.5
10069,-10.0
10070,-10.5
10071,-11.0
10072,-11.5
10073,-12.0
10074,-11.5
10075,-12.0
10076,-11.5
10077,-11.0
10078,-11.5
10079,-11.0
10080,-11.5
10081,-12.0
10082,-11.5
10083,-12.0
10084,-11.5
10085,-12.0
10086,-11.5
10087,-11.0
10088,-10.5
10089,-10.0
10090,-9.5
10091,-9.0
10092,-8.5
10093,-8.0
10094,-7.5
10095,-7.0
10096,-6.5
10097,-6.0
10098,-6.5
10099,-6.0
10100,-6.5
10101,-6.0
10102,-5.5
10103,-5.0
10104,-5.5
10105,-6.0
10106,-6.5
10107,-7.0
10108,-7.5
10109,-7.0
10110,-6.5
10111,-6.0
10112,-6.5
10113,-6.0
10114,-5.5
10115,-6.0
10116,-5.5
10117,-5.0
10118,-4.5
10119,-5.0
10120,-5.5
10121,-6.0
10122,-6.5
10123,-6.0
10124,-6.5
10125,-6.0
10126,-6.5
10127,-7.0
10128,-7.5
10129,-8.0
10130,-8.5
10131,-9.0
10132,-8.5
10133,-8.0
10134,-7.5
10135,-8.0
10136,-8.5
10137,-8.0
10138,-7.5
10139,-8.0
10140,-7.5
10141,-8.0
10142,-8.5
10143,-9.0
10144,-9.5
10145,-10.0
10146,-10.5
10147,-10.0
10148,-10.5
10149,-11.0
10150,-11.5
10151,-11.0
10152,-11.5
10153,-12.0
10154,-11.5
10155,-11.0
10156,-11.5
10157,-12.0
10158,-11.5
10159,-12.0
10160,-12.5
10161,-13.0
10162,-13.5
10163,-13.0
10164,-12.5
10165,-13.0
10166,-12.5
10167,-12.0
10168,-11.5
10169,-11.0
10170,-10.5
10171,-11.0
10172,-11.5
10173,-12.0
10174,-11.5
10175,-11.0
10176,-11.5
10177,-11.0
10178,-11.5
10179,-12.0
10180,-12.5
10181,-12.0
10182,-11.5
10183,-12.0
10184,-12.5
10185,-12.0
10186,-11.5
10187,-11.0
10188,-11.5
10189,-11.0
10190,-10.5
10191,-10.0
10192,-10.5
10193,-11.0
10194,-10.5
10195,-10.0
10196,-9.5
10197,-10.0
10198,-10.5
10199,-10.0
10200,-9.5
10201,-9.0
10202,-9.5
10203,-9.0
10204,-8.5
10205,-8.0
10206,-7.5
10207,-7.0
10208,-7.5
10209,-7.0
10210,-6.5
10211,-7.0
10212,-7.5
10213,-7.0
10214,-6.5
10215,-6.0
10216,-5.5
10217,-5.0
10218,-5.5
10219,-5.0
10220,-4.5
10221,-5.0
10222,-5.5
10223,-6.0
10224,-6.5
10225,-6.0
10226,-6.5
10227,-6.0
10228,-5.5
10229,-5.0
10230,-4.5
10231,-5.0
10232,-5.5
10233,-6.0
10234,-5.5
10235,-5.0
10236,-5.5
10237,-5.0
10238,-4.5
10239,-5.0
10240,-5.5
10241,-6.0
10242,-5.5
10243,-5.0
10244,-4.5
10245,-5.0
10246,-4.5
10247,-5.0
10248,-5.5
10249,-6.0
10250,-5.5
10251,-6.0
10252,-6.5
10253,-6.0
10254,-6.5
10255,-6.0
10256,-6.5
10257,-6.0
10258,-5.5
10259,-6.0
10260,-5.5
10261,-5.0
10262,-5.5
10263,-6.0
10264,-5.5
10265,-5.0
10266,-4.5
10267,-5.0
10268,-4.5
10269,-5.0
10270,-5.5
10271,-6.0
10272,-5.5
10273,-5.0
10274,-4.5
10275,-4.0
10276,-3.5
10277,-3.0
10278,-3.5
10279,-4.0
10280,-4.5
10281,-4.0
10282,-3.5
10283,-4.0
10284,-4.5
10285,-5.0
10286,-5.5
10287,-5.0
10288,-4.5
10289,-4.0
10290,-3.5
10291,-4.0
10292,-3.5
10293,-4.0
10294,-3.5
10295,-3.0
10296,-3.5
10297,-3.0
10298,-2.5
10299,-2.0
10300,-2.5
10301,-2.0
10302,-1.5
10303,-1.0
10304,-1.5
10305,-1.0
10306,-0.5
10307,-1.0
10308,-0.5
10309,0.0
10310,-0.5
10311,-1.0
10312,-1.5
10313,-2.0
10314,-2.5
10315,-3.0
10316,-3.5
10317,-4.0
10318,-4.5
10319,-4.0
10320,-3.5
10321,-3.0
10322,-3.5
10323,-4.0
10324,-3.5
10325,-3.0
10326,-2.5
10327,-2.0
10328,-1.5
10329,-2.0
10330,-2.5
10331,-3.0
10332,-2.5
10333,-2.0
10334,-1.5
10335,-2.0
10336,-1.5
10337,-2.0
10338,-1.5
10339,-1.0
10340,-0.5
10341,0.0
10342,0.5
10343,1.0
10344,0.5
10345,0.0
10346,-0.5
10347,0.0
10348,0.5
10349,1.0
10350,1.5
10351,1.0
10352,0.5
10353,1.0
10354,1.5
10355,1.0
10356,1.5
