,Angle
10000,119.5
10001,119.5
10002,119.5
10003,119.5
10004,0.0
10005,119.5
10006,0.0
10007,0.0
10008,0.0
10009,0.0
10010,119.5
10011,119.5
10012,119.0
10013,119.5
10014,119.5
10015,0.0
10016,119.5
10017,119.5
10018,119.0
10019,119.0
10020,119.5
10021,0.0
10022,0.5
10023,0.5
10024,0.0
10025,119.5
10026,119.5
10027,119.5
10028,119.5
10029,0.0
10030,0.0
10031,0.0
10032,119.5
10033,119.5
10034,0.0
10035,119.5
10036,119.5
10037,119.5
10038,0.0
10039,0.0
10040,119.5
10041,119.0
10042,119.5
10043,0.0
10044,119.5
10045,119.5
10046,0.0
10047,119.5
10048,0.0
10049,0.5
10050,0.0
10051,0.0
10052,0.0
10053,0.5
10054,0.0
10055,0.0
10056,0.5
10057,0.0
10058,0.0
10059,0.5
10060,1.0
10061,0.5
10062,0.0
10063,0.5
10064,0.5
10065,0.0
10066,0.5
10067,0.5
10068,0.0
10069,0.5
10070,0.5
10071,0.0
10072,0.0
10073,0.0
10074,119.5
10075,0.0
10076,0.0
10077,0.0
10078,0.0
10079,119.5
10080,119.0
10081,118.5
10082,119.0
10083,119.5
10084,119.5
10085,119.5
10086,119.5
10087,119.0
10088,119.0
10089,119.5
10090,119.0
10091,119.5
10092,0.0
10093,0.5
10094,0.0
10095,0.0
10096,0.5
10097,0.0
10098,0.5
10099,0.0
10100,0.5
10101,0.0
10102,0.5
10103,0.5
10104,1.0
10105,0.5
10106,0.5
10107,0.5
10108,1.0
10109,0.5
10110,0.5
10111,0.5
10112,0.0
10113,0.5
10114,0.5
10115,0.0
10116,0.0
10117,0.5
10118,0.5
10119,0.0
10120,119.5
10121,0.0
10122,0.5
10123,0.0
10124,0.0
10125,119.5
10126,119.5
10127,0.0
10128,119.5
10129,119.5
10130,119.5
10131,119.0
10132,119.0
10133,119.0
10134,119.0
10135,119.0
10136,118.5
10137,118.5
10138,119.0
10139,118.5
10140,118.5
10141,118.5
10142,119.0
10143,119.5
10144,0.0
10145,0.5
10146,0.5
10147,0.5
10148,0.5
10149,0.0
10150,0.5
10151,0.0
10152,0.0
10153,119.5
10154,0.0
10155,0.0
10156,0.5
10157,0.0
10158,0.0
10159,0.0
10160,0.0
10161,119.5
10162,119.5
10163,119.0
10164,119.0
10165,119.0
10166,119.0
10167,119.0
10168,119.5
10169,119.5
10170,119.5
10171,0.0
10172,0.5
10173,0.5
10174,0.5
10175,0.0
10176,0.5
10177,0.0
10178,119.5
10179,119.5
10180,119.5
10181,0.0
10182,0.0
10183,0.0
10184,0.5
10185,0.0
10186,0.0
10187,0.5
10188,0.0
10189,0.0
10190,0.5
10191,0.0
10192,0.5
10193,0.0
10194,0.5
10195,0.0
10196,0.0
10197,119.5
10198,119.0
10199,119.5
10200,119.5
10201,0.0
10202,119.5
10203,0.0
10204,119.5
10205,119.0
10206,119.5
10207,119.5
10208,0.0
10209,119.5
10210,119.5
10211,119.5
10212,0.0
10213,119.5
10214,0.0
10215,0.5
10216,0.5
10217,0.0
10218,0.5
10219,0.5
10220,0.5
10221,0.5
10222,0.5
10223,0.5
10224,0.0
10225,0.0
10226,119.5
10227,119.5
10228,119.5
10229,119.0
10230,119.5
10231,0.0
10232,0.0
10233,0.0
10234,0.0
10235,0.0
10236,0.0
10237,0.5
10238,0.5
10239,0.0
10240,119.5
10241,0.0
10242,0.5
10243,0.0
10244,119.5
10245,119.5
10246,0.0
10247,0.0
10248,0.5
10249,0.5
10250,1.0
10251,0.5
10252,0.0
10253,119.5
10254,0.0
10255,119.5
10256,119.5
10257,0.0
10258,119.5
10259,119.0
10260,118.5
10261,119.0
10262,119.5
10263,0.0
10264,0.0
10265,0.0
10266,0.0
10267,119.5
10268,0.0
10269,0.5
10270,0.0
10271,0.0
10272,119.5
10273,0.0
10274,0.0
10275,0.0
10276,0.5
10277,1.0
10278,0.5
10279,0.0
10280,119.5
10281,119.5
10282,119.5
10283,0.0
10284,0.0
10285,119.5
10286,0.0
10287,0.0
10288,0.0
10289,0.0
10290,119.5
10291,0.0
10292,0.5
10293,0.5
10294,0.0
10295,0.0
10296,119.5
10297,119.5
10298,0.0
10299,0.0
10300,119.5
10301,119.0
10302,119.5
10303,0.0
10304,119.5
10305,119.0
10306,119.0
10307,119.5
10308,0.0
10309,0.0
10310,0.5
10311,0.5
10312,1.0
10313,0.5
10314,0.0
10315,0.0
10316,0.0
10317,0.5
10318,0.5
10319,0.0
10320,119.5
10321,119.0
10322,119.0
10323,119.0
10324,119.0
10325,118.5
10326,119.0
10327,119.5
10328,0.0
10329,0.0
10330,0.0
10331,119.5
10332,119.5
10333,0.0
10334,0.0
10335,0.5
10336,1.0
10337,0.5
10338,1.0
10339,0.5
10340,0.0
10341,119.5
10342,0.0
10343,0.5
10344,0.0
10345,119.5
10346,119.5
10347,0.0
10348,0.0
10349,0.0
10350,0.5
10351,1.0
10352,1.0
10353,0.5
10354,0.0
10355,119.5
10356,119.5
10357,119.5
10358,119.0
10359,119.0
10360,119.5
10361,0.0
10362,119.5
10363,0.0
10364,0.5
10365,0.0
10366,119.5
10367,0.0
10368,0.5
10369,0.0
10370,0.0
10371,0.5
10372,0.0
10373,119.5
10374,0.0
10375,0.0
10376,0.5
10377,0.0
10378,0.0
10379,0.0
10380,0.0
10381,119.5
10382,119.0
10383,119.0
10384,119.0
10385,119.5
10386,119.5
10387,0.0
10388,119.5
10389,0.0
10390,0.0
10391,0.0
10392,0.0
10393,0.0
10394,119.5
10395,119.5
10396,0.0
10397,119.5
10398,0.0
10399,0.0
10400,0.0
10401,119.5
10402,0.0
10403,119.5
10404,0.0
10405,119.5
10406,119.5
10407,0.0
10408,0.0
10409,119.5
10410,0.0
10411,0.0
10412,0.5
10413,0.5
10414,0.0
10415,0.0
10416,0.5
10417,0.0
10418,0.5
10419,0.0
10420,0.0
10421,0.0
10422,0.5
10423,1.0
10424,1.0
10425,1.0
10426,0.5
10427,0.0
10428,0.5
10429,1.0
10430,0.5
10431,0.0
10432,0.0
10433,0.0
10434,119.5
10435,0.0
10436,0.5
10437,0.5
10438,0.0
10439,0.0
10440,119.5
10441,119.5
10442,119.5
10443,119.5
10444,0.0
10445,0.5
10446,0.5
10447,0.0
10448,0.5
10449,0.5
10450,0.5
10451,1.0
10452,1.0
10453,1.0
10454,1.0
10455,0.5
10456,1.0
10457,1.0
10458,0.5
10459,0.5
10460,0.0
10461,119.5
10462,119.0
10463,119.5
10464,119.5
10465,0.0
10466,0.0
10467,0.5
10468,0.5
10469,0.5
10470,0.0
10471,0.5
10472,0.5
10473,0.0
10474,119.5
10475,0.0
10476,0.0
10477,119.5
10478,0.0
10479,0.0
10480,0.5
10481,0.0
10482,119.5
10483,0.0
10484,119.5
10485,119.5
10486,119.0
10487,119.0
10488,119.0
10489,119.0
10490,119.5
10491,0.0
10492,0.0
10493,119.5
10494,0.0
10495,0.5
10496,1.0
10497,1.0
10498,0.5
10499,0.0
10500,119.5
10501,0.0
10502,0.0
10503,0.5
10504,0.5
10505,0.5
10506,0.5
10507,0.0
10508,0.0
10509,0.5
10510,0.0
10511,119.5
10512,0.0
10513,0.0
10514,119.5
10515,0.0
10516,0.0
10517,0.5
10518,0.5
10519,0.5
10520,0.0
10521,0.5
10522,0.5
10523,0.5
10524,0.5
10525,1.0
10526,0.5
10527,0.0
10528,0.5
10529,0.5
10530,1.0
10531,0.5
10532,0.5
10533,0.0
10534,119.5
10535,119.5
10536,119.5
10537,119.0
10538,119.0
10539,119.0
10540,119.5
10541,0.0
10542,0.5
10543,0.0
10544,0.0
10545,119.5
10546,119.5
10547,0.0
10548,119.5
10549,119.5
10550,119.5
10551,0.0
10552,0.0
10553,119.5
10554,119.5
10555,119.0
10556,119.0
10557,119.0
10558,119.5
10559,119.5
10560,119.0
10561,119.5
10562,0.0
10563,0.0
10564,0.5
10565,0.5
10566,1.0
10567,0.5
10568,0.5
10569,1.0
10570,0.5
10571,0.0
10572,119.5
10573,0.0
10574,0.0
10575,119.5
10576,119.5
10577,119.5
10578,0.0
10579,119.5
10580,0.0
10581,0.0
10582,119.5
10583,119.5
10584,119.5
10585,119.0
10586,119.5
10587,0.0
10588,119.5
10589,0.0
10590,119.5
10591,119.5
10592,119.5
10593,0.0
10594,119.5
10595,0.0
10596,0.0
10597,0.5
10598,0.5
10599,0.5
10600,0.0
10601,0.5
10602,1.0
10603,0.5
10604,0.0
10605,0.0
10606,0.5
10607,1.0
10608,1.0
10609,0.5
10610,0.5
10611,0.5
10612,0.0
10613,119.5
10614,0.0
10615,119.5
10616,119.0
10617,119.5
10618,0.0
10619,119.5
10620,0.0
10621,0.5
10622,1.0
10623,1.0
10624,1.0
10625,1.0
10626,1.0
10627,0.5
10628,0.0
10629,0.0
10630,119.5
10631,0.0
10632,0.0
10633,0.0
10634,119.5
10635,119.5
10636,0.0
10637,0.5
10638,0.5
10639,0.5
10640,0.0
10641,0.0
10642,0.0
10643,0.0
10644,119.5
10645,0.0
10646,119.5
10647,119.5
10648,119.5
10649,0.0
10650,0.0
10651,0.0
10652,119.5
10653,0.0
10654,0.0
10655,0.5
10656,1.0
10657,1.0
10658,0.5
10659,0.0
10660,0.5
10661,0.5
10662,0.5
10663,0.0
10664,0.0
10665,0.0
10666,119.5
10667,119.5
10668,119.5
10669,0.0
10670,0.5
10671,0.0
10672,119.5
10673,119.0
10674,119.5
10675,119.5
10676,119.0
10677,118.5
10678,119.0
10679,119.0
10680,119.5
10681,119.5
10682,0.0
10683,0.5
10684,1.0
10685,0.5
10686,0.5
10687,0.0
10688,119.5
10689,0.0
10690,0.0
10691,119.5
10692,119.5
10693,0.0
10694,0.5
10695,0.5
10696,0.0
10697,0.5
10698,0.0
10699,119.5
10700,0.0
10701,0.5
10702,0.0
10703,0.5
10704,0.0
10705,119.5
10706,119.5
10707,0.0
10708,0.5
10709,0.0
10710,119.5
10711,0.0
10712,119.5
10713,0.0
10714,0.0
10715,0.5
10716,0.5
10717,0.0
10718,119.5
10719,0.0
10720,0.0
10721,0.0
10722,0.0
10723,0.5
10724,0.5
