,Angle
10000,109.0
10001,108.5
10002,108.0
10003,108.5
10004,108.0
10005,108.0
10006,108.0
10007,108.5
10008,109.0
10009,108.5
10010,108.0
10011,108.5
10012,108.0
10013,107.5
10014,108.0
10015,108.5
10016,109.0
10017,108.5
10018,108.5
10019,108.0
10020,107.5
10021,107.0
10022,106.5
10023,106.0
10024,106.5
10025,107.0
10026,106.5
10027,106.0
10028,106.5
10029,107.0
10030,106.5
10031,106.0
10032,106.0
10033,105.5
10034,105.0
10035,104.5
10036,105.0
10037,104.5
10038,104.0
10039,103.5
10040,103.0
10041,102.5
10042,103.0
10043,102.5
10044,103.0
10045,103.5
10046,103.0
10047,103.5
10048,104.0
10049,104.5
10050,105.0
10051,104.5
10052,105.0
10053,105.5
10054,106.0
10055,106.5
10056,107.0
10057,107.5
10058,108.0
10059,107.5
10060,108.0
10061,108.5
10062,109.0
10063,108.5
10064,109.0
10065,109.5
10066,109.0
10067,109.5
10068,110.0
10069,110.5
10070,111.0
10071,110.5
10072,111.0
10073,111.5
10074,111.0
10075,110.5
10076,110.0
10077,109.5
10078,109.0
10079,108.5
10080,109.0
10081,108.5
10082,108.0
10083,108.5
10084,109.0
10085,108.5
10086,108.0
10087,108.5
10088,108.0
10089,107.5
10090,107.0
10091,107.5
10092,108.0
10093,108.0
10094,108.5
10095,109.0
10096,108.5
10097,108.0
10098,108.5
10099,108.0
10100,108.5
10101,109.0
10102,108.5
10103,109.0
10104,108.5
10105,109.0
10106,109.5
10107,110.0
10108,110.5
10109,111.0
10110,110.5
10111,110.0
10112,109.5
10113,109.0
10114,109.5
10115,110.0
10116,110.5
10117,110.0
10118,109.5
10119,110.0
10120,110.5
10121,110.0
10122,110.5
10123,111.0
10124,111.5
10125,111.0
10126,111.5
10127,111.0
10128,110.5
10129,110.0
10130,110.5
10131,110.0
10132,110.5
10133,110.0
10134,109.5
10135,109.0
10136,108.5
10137,109.0
10138,109.5
10139,110.0
10140,110.5
10141,111.0
10142,111.5
10143,112.0
10144,111.5
10145,112.0
10146,112.0
10147,112.5
10148,113.0
10149,113.5
10150,113.0
10151,113.5
10152,114.0
10153,114.5
10154,115.0
10155,115.5
10156,115.0
10157,114.5
10158,114.0
10159,114.5
10160,114.0
10161,113.5
10162,114.0
10163,114.5
10164,114.0
10165,113.5
10166,114.0
10167,114.5
10168,115.0
10169,115.5
10170,116.0
10171,116.5
10172,117.0
10173,117.5
10174,117.0
10175,117.5
10176,118.0
10177,117.5
10178,118.0
10179,118.0
10180,118.5
10181,119.0
10182,119.5
10183,0.0
10184,119.5
10185,0.0
10186,0.5
10187,0.0
10188,0.5
10189,1.0
10190,0.5
10191,0.0
10192,119.5
10193,119.0
10194,119.5
10195,119.0
10196,119.5
10197,0.0
10198,119.5
10199,119.0
10200,119.5
10201,0.0
10202,0.5
10203,1.0
10204,0.5
10205,0.0
10206,119.5
10207,119.0
10208,119.5
10209,119.0
10210,118.5
10211,119.0
10212,118.5
10213,118.0
10214,118.5
10215,119.0
10216,118.5
10217,118.0
10218,118.5
10219,119.0
10220,118.5
10221,118.0
10222,118.5
10223,119.0
10224,118.5
10225,119.0
10226,119.5
10227,119.0
10228,118.5
10229,119.0
10230,118.5
10231,119.0
10232,119.5
10233,0.0
10234,119.5
10235,119.0
10236,118.5
10237,119.0
10238,118.5
10239,119.0
10240,119.5
10241,0.0
10242,0.5
10243,0.0
10244,0.5
10245,1.0
10246,1.5
10247,1.0
10248,0.5
10249,0.0
10250,119.5
10251,0.0
10252,0.5
10253,1.0
10254,1.5
10255,2.0
10256,2.5
10257,2.0
10258,2.5
10259,2.0
10260,1.5
10261,1.0
10262,1.5
10263,2.0
10264,2.5
10265,2.0
10266,2.5
10267,2.0
10268,2.5
10269,2.0
10270,2.5
10271,2.0
10272,1.5
10273,2.0
10274,1.5
10275,2.0
10276,2.5
10277,2.0
10278,2.5
10279,2.0
10280,2.5
10281,3.0
10282,3.5
10283,4.0
10284,4.5
10285,5.0
10286,4.5
10287,4.0
10288,3.5
10289,3.0
10290,3.5
10291,4.0
10292,3.5
10293,4.0
10294,3.5
10295,4.0
10296,3.5
10297,4.0
10298,3.5
10299,3.0
10300,2.5
10301,2.0
10302,1.5
10303,1.0
10304,0.5
10305,1.0
10306,1.5
10307,1.0
10308,0.5
10309,1.0
10310,1.5
10311,1.0
10312,1.5
10313,1.0
10314,0.5
10315,0.0
10316,0.5
10317,1.0
10318,0.5
10319,1.0
10320,1.5
10321,2.0
10322,1.5
10323,1.0
10324,0.5
10325,0.0
10326,119.5
10327,119.0
10328,118.5
10329,118.0
10330,117.5
10331,117.0
10332,116.5
10333,117.0
10334,116.5
