,Energy
10000,-32.3992926708263
10001,-32.399292659918224
10002,-32.39929264858656
10003,-32.399292659918224
10004,-32.39929264858656
10005,-32.39929264858656
10006,-32.39929264858656
10007,-32.399292659918224
10008,-32.3992926708263
10009,-32.399292659918224
10010,-32.39929264858656
10011,-32.399292659918224
10012,-32.39929264858656
10013,-32.39929263683904
10014,-32.39929264858656
10015,-32.399292659918224
10016,-32.3992926708263
10017,-32.399292659918224
10018,-32.399292659918224
10019,-32.39929264858656
10020,-32.39929263683904
10021,-32.39929262468375
10022,-32.399292612128995
10023,-32.3992925991834
10024,-32.399292612128995
10025,-32.39929262468375
10026,-32.399292612128995
10027,-32.3992925991834
10028,-32.399292612128995
10029,-32.39929262468375
10030,-32.399292612128995
10031,-32.3992925991834
10032,-32.3992925991834
10033,-32.39929258585582
10034,-32.3992925721554
10035,-32.399292558091524
10036,-32.3992925721554
10037,-32.399292558091524
10038,-32.39929254367383
10039,-32.399292528912206
10040,-32.399292513816754
10041,-32.39929249839784
10042,-32.399292513816754
10043,-32.39929249839784
10044,-32.399292513816754
10045,-32.399292528912206
10046,-32.399292513816754
10047,-32.399292528912206
10048,-32.39929254367383
10049,-32.399292558091524
10050,-32.3992925721554
10051,-32.399292558091524
10052,-32.3992925721554
10053,-32.39929258585582
10054,-32.3992925991834
10055,-32.399292612128995
10056,-32.39929262468375
10057,-32.39929263683904
10058,-32.39929264858656
10059,-32.39929263683904
10060,-32.39929264858656
10061,-32.399292659918224
10062,-32.3992926708263
10063,-32.399292659918224
10064,-32.3992926708263
10065,-32.39929268130329
10066,-32.3992926708263
10067,-32.39929268130329
10068,-32.39929269134202
10069,-32.39929270093561
10070,-32.39929271007749
10071,-32.39929270093561
10072,-32.39929271007749
10073,-32.39929271876139
10074,-32.39929271007749
10075,-32.39929270093561
10076,-32.39929269134202
10077,-32.39929268130329
10078,-32.3992926708263
10079,-32.399292659918224
10080,-32.3992926708263
10081,-32.399292659918224
10082,-32.39929264858656
10083,-32.399292659918224
10084,-32.3992926708263
10085,-32.399292659918224
10086,-32.39929264858656
10087,-32.399292659918224
10088,-32.39929264858656
10089,-32.39929263683904
10090,-32.39929262468375
10091,-32.39929263683904
10092,-32.39929264858656
10093,-32.39929264858656
10094,-32.399292659918224
10095,-32.3992926708263
10096,-32.399292659918224
10097,-32.39929264858656
10098,-32.399292659918224
10099,-32.39929264858656
10100,-32.399292659918224
10101,-32.3992926708263
10102,-32.399292659918224
10103,-32.3992926708263
10104,-32.399292659918224
10105,-32.3992926708263
10106,-32.39929268130329
10107,-32.39929269134202
10108,-32.39929270093561
10109,-32.39929271007749
10110,-32.39929270093561
10111,-32.39929269134202
10112,-32.39929268130329
10113,-32.3992926708263
10114,-32.39929268130329
10115,-32.39929269134202
10116,-32.39929270093561
10117,-32.39929269134202
10118,-32.39929268130329
10119,-32.39929269134202
10120,-32.39929270093561
10121,-32.39929269134202
10122,-32.39929270093561
10123,-32.39929271007749
10124,-32.39929271876139
10125,-32.39929271007749
10126,-32.39929271876139
10127,-32.39929271007749
10128,-32.39929270093561
10129,-32.39929269134202
10130,-32.39929270093561
10131,-32.39929269134202
10132,-32.39929270093561
10133,-32.39929269134202
10134,-32.39929268130329
10135,-32.3992926708263
10136,-32.399292659918224
10137,-32.3992926708263
10138,-32.39929268130329
10139,-32.39929269134202
10140,-32.39929270093561
10141,-32.39929271007749
10142,-32.39929271876139
10143,-32.399292726981365
