,Energy
10000,-64.80520899225559
10001,-64.80520932531739
10002,-64.80520932531739
10003,-64.80520943636337
10004,-64.80520943636337
10005,-64.80520932531739
10006,-64.80520943636337
10007,-64.80520943636337
10008,-64.80520943636337
10009,-64.80520943636337
10010,-64.80520943636337
10011,-64.80520932531739
10012,-64.80520943636337
10013,-64.80520932531739
10014,-64.80520943636337
10015,-64.80520932531739
10016,-64.80520943636337
10017,-64.80520932531739
10018,-64.80520932531739
10019,-64.80520932531739
10020,-64.80520943636337
10021,-64.80520932531739
10022,-64.80520943636337
10023,-64.80520932531739
10024,-64.80520932531739
10025,-64.80520943636337
10026,-64.80520932531739
10027,-64.80520943636337
10028,-64.80520932531739
10029,-64.80520943636337
10030,-64.80520932531739
10031,-64.80520899225559
10032,-64.80520843740624
10033,-64.80520899225559
10034,-64.80520932531739
10035,-64.80520943636337
10036,-64.80520932531739
10037,-64.80520932531739
10038,-64.80520943636337
10039,-64.80520932531739
10040,-64.80520943636337
10041,-64.80520932531739
10042,-64.80520932531739
10043,-64.80520943636337
10044,-64.80520932531739
10045,-64.80520932531739
10046,-64.80520943636337
10047,-64.80520943636337
10048,-64.80520932531739
10049,-64.80520899225559
10050,-64.80520932531739
10051,-64.80520943636337
10052,-64.80520932531739
10053,-64.80520943636337
10054,-64.80520932531739
10055,-64.80520899225559
10056,-64.80520932531739
10057,-64.80520943636337
10058,-64.80520932531739
10059,-64.80520943636337
10060,-64.80520943636337
10061,-64.80520932531739
10062,-64.80520943636337
10063,-64.80520932531739
10064,-64.80520943636337
10065,-64.80520943636337
10066,-64.80520932531739
10067,-64.80520943636337
10068,-64.80520932531739
10069,-64.80520943636337
10070,-64.80520932531739
10071,-64.80520943636337
10072,-64.80520943636337
10073,-64.80520932531739
10074,-64.80520899225559
10075,-64.80520843740624
10076,-64.80520899225559
10077,-64.80520932531739
10078,-64.80520899225559
10079,-64.80520932531739
10080,-64.80520932531739
10081,-64.80520899225559
10082,-64.80520899225559
10083,-64.80520899225559
10084,-64.80520843740624
10085,-64.80520899225559
10086,-64.80520899225559
10087,-64.80520932531739
10088,-64.80520932531739
10089,-64.80520899225559
10090,-64.80520932531739
10091,-64.80520943636337
10092,-64.80520943636337
10093,-64.80520932531739
10094,-64.80520943636337
10095,-64.80520932531739
10096,-64.80520943636337
10097,-64.80520932531739
10098,-64.80520943636337
10099,-64.80520932531739
10100,-64.80520943636337
10101,-64.80520932531739
10102,-64.80520932531739
10103,-64.80520932531739
10104,-64.80520899225559
10105,-64.80520843740622
10106,-64.80520899225559
10107,-64.80520899225559
10108,-64.80520843740622
10109,-64.80520899225559
10110,-64.80520932531739
10111,-64.80520899225559
