,Count
0.0,1e-06
0.5,3e-06
1.0,4e-06
1.5,3.5e-06
2.0,3.5e-06
2.5,4e-06
3.0,4.5e-06
3.5,3.5e-06
4.0,5e-06
4.5,3e-06
5.0,2e-06
5.5,2.5e-06
6.0,3e-06
6.5,5e-07
7.0,5e-07
7.5,1e-06
8.0,1e-06
8.5,1.5e-06
9.0,3e-06
9.5,4e-06
10.0,6e-06
10.5,2.5e-06
11.0,3.5e-06
11.5,9e-06
12.0,1.05e-05
12.5,7.5e-06
13.0,8.5e-06
13.5,8e-06
14.0,1.15e-05
14.5,9e-06
15.0,6e-06
15.5,2.5e-06
16.0,1e-06
16.5,1e-06
17.0,1e-06
17.5,2e-06
18.0,4.5e-06
18.5,2e-06
19.0,2.5e-06
19.5,1.5e-06
20.0,1e-06
20.5,2.5e-06
21.0,3.5e-06
21.5,5.5e-06
22.0,6.5e-06
22.5,6.5e-06
23.0,6e-06
23.5,2e-06
24.0,3e-06
24.5,3e-06
25.0,2e-06
25.5,2e-06
26.0,2.5e-06
26.5,2.5e-06
27.0,2.5e-06
27.5,2e-06
28.0,2.5e-06
28.5,3e-06
29.0,2e-06
29.5,2e-06
30.0,1.5e-06
30.5,1.5e-06
31.0,1e-06
31.5,1.5e-06
32.0,2e-06
32.5,5e-07
33.0,1e-06
33.5,5e-07
34.0,1e-06
34.5,1e-06
35.0,5e-07
35.5,5e-07
36.0,5e-07
36.5,5e-07
37.0,5e-07
37.5,5e-07
38.0,1.5e-06
38.5,3.5e-06
39.0,1.5e-06
39.5,5e-07
40.0,2.5e-06
40.5,5e-06
41.0,3.5e-06
41.5,4e-06
42.0,2e-06
42.5,1e-06
43.0,1.5e-06
43.5,1e-06
44.0,5e-07
44.5,2e-06
45.0,5e-06
45.5,1e-05
46.0,2e-05
46.5,4e-05
47.0,7.75e-05
47.5,0.000153
48.0,0.0002365
48.5,0.0003535
49.0,0.0005475
49.5,0.000843
50.0,0.001206
50.5,0.001715
51.0,0.0024925
51.5,0.003394
52.0,0.004475
52.5,0.006027
53.0,0.0080365
53.5,0.0105325
54.0,0.013514
54.5,0.017042
55.0,0.020853
55.5,0.025208
56.0,0.0303835
56.5,0.035449
57.0,0.039991
57.5,0.0440365
58.0,0.048205
58.5,0.051718
59.0,0.053966
59.5,0.055246
60.0,0.05547
60.5,0.054737
61.0,0.052897
61.5,0.0502965
62.0,0.047061
62.5,0.0430555
63.0,0.0383115
63.5,0.033673
64.0,0.0292055
64.5,0.0247845
65.0,0.020643
65.5,0.0170305
66.0,0.013847
66.5,0.0109315
67.0,0.0084615
67.5,0.0065075
68.0,0.0050245
68.5,0.003756
69.0,0.0027445
69.5,0.001917
70.0,0.0012725
70.5,0.0008815
71.0,0.0005765
71.5,0.0003425
72.0,0.0002395
72.5,0.000144
73.0,7.45e-05
73.5,3.15e-05
74.0,2.1e-05
74.5,1.3e-05
75.0,4e-06
75.5,2.5e-06
76.0,3e-06
76.5,1.5e-06
77.0,0.0
77.5,0.0
78.0,0.0
78.5,0.0
79.0,0.0
79.5,0.0
80.0,0.0
80.5,0.0
81.0,0.0
81.5,0.0
82.0,0.0
82.5,0.0
83.0,0.0
83.5,0.0
84.0,0.0
84.5,0.0
85.0,0.0
85.5,0.0
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.0
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,0.0
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
101.0,0.0
101.5,0.0
102.0,0.0
102.5,0.0
103.0,0.0
103.5,0.0
104.0,0.0
104.5,0.0
105.0,0.0
105.5,0.0
106.0,0.0
106.5,0.0
107.0,0.0
107.5,0.0
108.0,0.0
108.5,0.0
109.0,0.0
109.5,0.0
110.0,0.0
110.5,0.0
111.0,0.0
111.5,0.0
112.0,0.0
112.5,0.0
113.0,0.0
113.5,0.0
114.0,0.0
114.5,0.0
115.0,0.0
115.5,0.0
116.0,0.0
116.5,0.0
117.0,0.0
117.5,0.0
118.0,0.0
118.5,0.0
119.0,0.0
119.5,5e-07
