,occurences
0.9996573249755573,1.304
1.0,1.3053
0.9986295347545738,1.329
0.996917333733128,1.34795
0.9945218953682733,1.3483
0.9914448613738104,1.352
0.9876883405951377,1.29345
0.9832549075639545,1.28385
0.9781476007338056,1.26175
0.9723699203976767,1.2273
0.9659258262890683,1.232
0.958819734868193,1.18975
0.9876883405951378,1.3519
0.9510565162951535,1.16445
0.9832549075639546,1.3354
0.9781476007338057,1.2995
0.9723699203976766,1.26715
0.9426414910921783,1.1148
0.9335804264972015,1.094
0.9238795325112868,1.0933
0.913545457642601,1.08725
0.9025852843498606,1.04765
0.8910065241883678,1.02765
0.8788171126619652,0.9856
0.8660254037844384,0.95985
0.8526401643540923,0.9912
0.838670567945424,0.96475
0.8241261886220156,0.8963
0.8090169943749473,0.88545
0.7933533402912349,0.8699
0.7771459614569706,0.82845
0.760405965600031,0.803
0.7431448254773942,0.8161
0.7253743710122875,0.77785
0.9426414910921784,1.13695
0.9335804264972017,1.1019
0.9238795325112867,1.0765
0.9135454576426009,1.05675
0.8910065241883679,1.03225
0.8788171126619654,1.0202
0.8660254037844387,1.006
0.8241261886220157,0.93245
0.8090169943749475,0.8951
0.7933533402912352,0.8702
0.7771459614569709,0.8706
0.7604059656000309,0.85445
0.7253743710122877,0.7789
0.7071067811865476,0.7368
0.6883545756937539,0.70525
0.6691306063588582,0.68585
0.7071067811865474,0.75745
0.6883545756937537,0.74875
0.6691306063588578,0.7384
0.6494480483301839,0.714
0.6293203910498375,0.65055
0.6087614290087205,0.665
0.5877852522924729,0.6391
0.5664062369248325,0.62255
0.5446390350150266,0.6012
0.522498564715949,0.58125
0.5000000000000001,0.51815
0.47715876025960835,0.5214
0.45399049973954664,0.50765
0.4305110968082948,0.4949
0.40673664307579976,0.4716
0.38268343236509,0.4507
0.3583679495453004,0.3755
0.3338068592337709,0.35135
0.30901699437494723,0.3823
0.2840153447039223,0.36755
0.2588190451025203,0.35375
0.23344536385590567,0.3384
0.20791169081775943,0.31845
0.18223552549214742,0.3054
0.15643446504023067,0.2886
0.13052619222005127,0.2668
0.10452846326765299,0.24935
0.07845909572784521,0.2293
0.052335956242943946,0.21225
0.026176948307873114,0.2072
-1.8369701987210297e-16,0.1989
-0.026176948307873482,0.1822
-0.052335956242944306,0.1657
-0.07845909572784468,0.15265
-0.10452846326765336,0.14765
-0.13052619222005163,0.1462
-0.15643446504023104,0.14365
-0.18223552549214778,0.13905
-0.2079116908177598,0.13765
-0.23344536385590514,0.13855
-0.25881904510252063,0.133
-0.28401534470392265,0.09255
-0.30901699437494756,0.1156
-0.33380685923377124,0.10985
-0.3583679495453007,0.10165
-0.3826834323650895,0.0941
-0.4067366430758001,0.09095
-0.43051109680829514,0.0914
-0.4539904997395469,0.0895
-0.4771587602596087,0.08375
-0.5000000000000004,0.07715
-0.5224985647159486,0.0739
0.6494480483301837,0.6635
0.6087614290087207,0.63225
0.5877852522924731,0.6078
0.5664062369248328,0.58875
0.5446390350150271,0.55925
0.5224985647159489,0.53515
0.4771587602596084,0.48865
0.4539904997395468,0.4614
0.43051109680829525,0.4388
0.4067366430758002,0.41285
0.38268343236508984,0.392
0.30901699437494745,0.3238
0.28401534470392276,0.30805
0.25881904510252074,0.2943
0.23344536385590547,0.28285
0.20791169081775945,0.27225
0.18223552549214744,0.2558
0.15643446504023092,0.2365
0.1305261922200517,0.217
0.10452846326765346,0.2044
0.078459095727845,0.1987
0.052335956242943966,0.19375
0.02617694830787314,0.18805
6.123233995736766e-17,0.1814
-0.026176948307873017,0.1686
-0.05233595624294384,0.15635
-0.07845909572784487,0.15095
-0.10452846326765355,0.1417
-0.1305261922200516,0.1308
-0.1564344650402308,0.1241
-0.18223552549214753,0.1156
-0.20791169081775934,0.10645
-0.23344536385590534,0.1008
-0.25881904510252085,0.0946
-0.30901699437494734,0.092
-0.333806859233771,0.08765
-0.35836794954530027,0.08375
-0.3826834323650897,0.08185
-0.40673664307580026,0.07955
-0.4305110968082949,0.0748
-0.45399049973954675,0.07395
-0.47715876025960846,0.075
-0.4999999999999998,0.076
-0.5224985647159488,0.0752
-0.5446390350150271,0.0706
-0.5664062369248326,0.06485
-0.587785252292473,0.06285
-0.6087614290087207,0.0609
-0.6293203910498373,0.06045
-0.6494480483301835,0.059
-0.6691306063588582,0.05565
-0.6883545756937538,0.0548
-0.7071067811865475,0.0525
-0.7253743710122876,0.0477
-0.7431448254773941,0.04675
-0.7604059656000309,0.04605
-0.7771459614569709,0.04395
-0.793353340291235,0.04345
-0.8090169943749473,0.04185
-0.8241261886220157,0.0429
-0.8386705679454239,0.0441
-0.8526401643540922,0.0432
-0.8660254037844387,0.03985
-0.8788171126619653,0.0369
-0.8910065241883678,0.03545
-0.9025852843498606,0.034
-0.544639035015027,0.07255
-0.5664062369248328,0.06815
-0.5877852522924732,0.06555
-0.6087614290087209,0.06385
-0.6293203910498378,0.0622
-0.6494480483301834,0.06005
-0.6691306063588581,0.0584
-0.6883545756937539,0.05655
-0.7071067811865477,0.0566
-0.7253743710122875,0.056
-0.7431448254773942,0.0533
-0.760405965600031,0.05035
-0.7771459614569708,0.0502
-0.7933533402912352,0.0501
-0.8090169943749475,0.0474
-0.8241261886220156,0.0465
-0.838670567945424,0.0501
-0.8526401643540923,0.05005
-0.8660254037844386,0.0466
-0.9135454576426008,0.032
-0.9238795325112867,0.03365
-0.9335804264972017,0.0383
-0.9426414910921783,0.037
-0.9510565162951535,0.0385
-0.958819734868193,0.0351
-0.9659258262890682,0.03715
-0.9723699203976766,0.0356
-0.9781476007338057,0.033
-0.9832549075639545,0.0319
-0.9876883405951377,0.0312
-0.9914448613738104,0.0316
-0.9945218953682733,0.03325
-0.996917333733128,0.0316
-0.9986295347545738,0.03045
-0.9996573249755573,0.0324
-1.0,0.03395
-0.9914448613738105,0.03365
-0.9876883405951378,0.0358
-0.9832549075639546,0.0374
-0.9781476007338056,0.0348
-0.9723699203976767,0.03065
-0.9659258262890683,0.031
-0.9510565162951536,0.03645
-0.9426414910921784,0.03645
-0.9238795325112868,0.0411
-0.9135454576426009,0.04415
-0.9025852843498605,0.04755
-0.8910065241883679,0.04755
-0.8788171126619654,0.0457
