,Angle
10000,-11.5
10001,-11.0
10002,-10.5
10003,-11.0
10004,-10.5
10005,-11.0
10006,-10.5
10007,-11.0
10008,-10.5
10009,-10.0
10010,-9.5
10011,-10.0
10012,-9.5
10013,-9.0
10014,-8.5
10015,-9.0
10016,-9.5
10017,-10.0
10018,-10.5
10019,-10.0
10020,-10.5
10021,-10.0
10022,-10.5
10023,-10.0
10024,-9.5
10025,-9.0
10026,-9.5
10027,-9.0
10028,-9.5
10029,-9.0
10030,-9.5
10031,-10.0
10032,-10.5
10033,-11.0
10034,-11.5
10035,-12.0
10036,-12.5
10037,-13.0
10038,-13.5
10039,-14.0
10040,-13.5
10041,-14.0
10042,-14.5
10043,-15.0
10044,-15.5
10045,-16.0
10046,-15.5
10047,-15.0
10048,-14.5
10049,-15.0
10050,-14.5
10051,-15.0
10052,-14.5
10053,-14.0
10054,-14.5
10055,-14.0
10056,-13.5
10057,-14.0
10058,-13.5
10059,-14.0
10060,-13.5
10061,-14.0
10062,-13.5
10063,-14.0
10064,-13.5
10065,-14.0
10066,-14.5
10067,-14.0
10068,-13.5
10069,-13.0
10070,-13.5
10071,-13.0
10072,-12.5
10073,-12.0
10074,-11.5
10075,-12.0
10076,-12.5
10077,-13.0
10078,-13.5
10079,-14.0
10080,-13.5
10081,-14.0
10082,-13.5
10083,-13.0
10084,-12.5
10085,-13.0
10086,-12.5
10087,-12.0
10088,-11.5
10089,-11.0
10090,-11.5
10091,-11.0
10092,-10.5
10093,-11.0
10094,-11.5
10095,-11.0
10096,-10.5
10097,-11.0
10098,-11.5
10099,-11.0
10100,-11.5
10101,-11.0
10102,-11.5
10103,-12.0
10104,-12.5
10105,-13.0
10106,-13.5
10107,-14.0
10108,-14.5
10109,-14.0
10110,-13.5
10111,-14.0
10112,-14.5
10113,-14.0
10114,-13.5
10115,-13.0
10116,-13.5
10117,-14.0
10118,-13.5
10119,-13.0
10120,-12.5
10121,-12.0
10122,-11.5
10123,-11.0
10124,-10.5
10125,-11.0
10126,-11.5
10127,-12.0
10128,-11.5
10129,-11.0
10130,-10.5
10131,-11.0
10132,-11.5
10133,-12.0
10134,-12.5
10135,-13.0
10136,-12.5
10137,-13.0
10138,-12.5
10139,-12.0
10140,-12.5
10141,-12.0
10142,-11.5
10143,-12.0
10144,-12.5
10145,-12.0
10146,-12.5
10147,-13.0
10148,-13.5
10149,-14.0
10150,-13.5
10151,-14.0
10152,-13.5
10153,-13.0
10154,-12.5
10155,-13.0
10156,-13.5
10157,-14.0
10158,-13.5
10159,-13.0
10160,-12.5
10161,-12.0
10162,-11.5
10163,-11.0
10164,-11.5
10165,-12.0
10166,-12.5
10167,-12.0
10168,-11.5
10169,-11.0
10170,-10.5
10171,-11.0
10172,-10.5
10173,-10.0
10174,-10.5
10175,-11.0
10176,-11.5
10177,-11.0
10178,-10.5
10179,-10.0
10180,-9.5
10181,-9.0
10182,-8.5
10183,-8.0
10184,-8.5
10185,-8.0
10186,-8.5
10187,-8.0
10188,-8.5
10189,-8.0
10190,-8.5
10191,-9.0
10192,-8.5
10193,-8.0
10194,-7.5
10195,-8.0
10196,-8.5
10197,-8.0
10198,-7.5
10199,-8.0
10200,-8.5
10201,-8.0
10202,-8.5
10203,-8.0
10204,-7.5
10205,-7.0
10206,-7.5
10207,-8.0
10208,-7.5
10209,-7.0
10210,-6.5
10211,-6.0
10212,-6.5
10213,-6.0
10214,-5.5
10215,-5.0
10216,-4.5
10217,-5.0
10218,-5.5
10219,-6.0
10220,-6.5
10221,-7.0
10222,-6.5
10223,-6.0
10224,-6.5
10225,-7.0
10226,-6.5
10227,-7.0
10228,-6.5
10229,-6.0
10230,-6.5
10231,-7.0
10232,-7.5
10233,-7.0
10234,-6.5
10235,-6.0
10236,-5.5
10237,-6.0
10238,-5.5
10239,-6.0
10240,-6.5
10241,-7.0
10242,-7.5
10243,-7.0
10244,-6.5
10245,-6.0
10246,-6.5
10247,-7.0
10248,-7.5
10249,-7.0
10250,-7.5
